sample,grupo,mu142Nd_ppm,err_2se_ppm
DR0101,Fani Maore,3.0468,1.473
DR0105,Fani Maore,4.421,1.4999
DR080104 (mean),Fani Maore,2.8228,6.5374
DR100101,Fani Maore,2.1602,1.3263
DR100511 (mean),Fani Maore,5.1638,6.8109
DR100803,Fani Maore,3.5929,1.7576
DR110101,Fani Maore,2.5211,1.635
DR11010202,Fani Maore,0.7893,1.3924
DR120202 (mean),Fani Maore,4.0543,3.728
DR1402,Fani Maore,5.0445,1.5529
DR140401,Fani Maore,1.5641,1.3788
DR150203-1,Fani Maore,0.4401,1.4216
DR1802-1,Fani Maore,5.5402,1.8596
