genotipo,ancho_base_trasera_cm
Control,2.5
Control,2.6
Control,2.5
Control,2.7
Control,2.4
Control,2.3
Control,2.9
Control,2.8
Control,2.5
Control,2.5
Control,2.6
Control,2.8
Control,2.2
Control,2.4
Control,2.3
Control,2.3
Control,2.6
Control,2.2
Control,2.4
Control,2.9
Control,2.7
Control,2.5
Control,2.5
Control,3.1
Control,2.8
Control,2.8
Control,3.2
Control,2.5
Control,2.5
Control,2.3
Control,2.6
Control,2.3
Control,2.4
Control,2.5
Control,2.7
Control,2.9
Control,2.7
Control,2.8
Control,2.6
Control,2.6
Control,2.5
Control,2.7
Control,2.5
Control,2.6
Control,2.2
Control,2.6
Control,2.7
Control,2.8
Control,2.8
Control,2.7
Control,2.7
Control,2.9
Control,2.8
Control,2.5
Control,2.4
Control,2.4
Control,2.5
Control,2.6
Control,2.4
Control,2.8
Control,2.5
Control,2.6
Control,2.4
Control,2.5
Control,2.5
Control,2.6
Control,2.7
Control,2.6
Control,2.5
Control,2.4
Control,2.5
Control,2.6
Control,2.7
Control,1.5
Lig4 KO (ND1-Cre),2.5
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.2
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.7
Lig4 KO (ND1-Cre),3.6
Lig4 KO (ND1-Cre),3.8
Lig4 KO (ND1-Cre),3.8
Lig4 KO (ND1-Cre),3.8
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.7
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),3.7
Lig4 KO (ND1-Cre),2.8
Lig4 KO (ND1-Cre),3.8
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),3.9
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.6
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),2.6
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),3.2
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),2.5
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.4
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),2.8
Lig4 KO (ND1-Cre),2.8
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),3.4
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),3.2
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.7
Lig4 KO (ND1-Cre),3.5
Lig4 KO (ND1-Cre),3.2
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),2.8
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),3.2
Lig4 KO (ND1-Cre),3
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),2.7
Lig4 KO (ND1-Cre),2.9
Lig4 KO (ND1-Cre),2.8
Lig4 KO (ND1-Cre),3.1
Lig4 KO (ND1-Cre),3.3
Lig4 KO (ND1-Cre),1.7
Lig4 KO (ND1-Cre),1.7
Lig4 KO (ND1-Cre),1.5
Lig4 KO (ND1-Cre),1.8
Lig4 KO (ND1-Cre),1.6
Lig4 KO (ND1-Cre),1.7
Lig4 KO (ND1-Cre),1.5
Lig4 KO (ND1-Cre),1.6
