estadio,dia_postnatal,capa,gamma_h2ax_pct
P4,4,outerEGL,42.7
P4,4,outerEGL,47.27
P4,4,outerEGL,49.15
P4,4,outerEGL,60.98
P4,4,outerEGL,43.08
P4,4,EGL,28
P4,4,EGL,15.58
P4,4,EGL,19.64
P4,4,EGL,19.67
P4,4,EGL,12.86
P4,4,ML,64.29
P4,4,ML,35.29
P4,4,ML,40
P4,4,ML,31.82
P4,4,ML,31.58
P4,4,IGL,40.54
P4,4,IGL,26.6
P4,4,IGL,32.5
P4,4,IGL,30.77
P4,4,IGL,31.43
P6,6,outerEGL,54.39
P6,6,outerEGL,58.68
P6,6,outerEGL,46.55
P6,6,outerEGL,46.67
P6,6,outerEGL,48.28
P6,6,EGL,13.04
P6,6,EGL,16.9
P6,6,EGL,29.09
P6,6,EGL,22.08
P6,6,EGL,22.22
P6,6,ML,24.14
P6,6,ML,37.5
P6,6,ML,35.14
P6,6,ML,41.86
P6,6,ML,36.36
P6,6,IGL,24.39
P6,6,IGL,30.12
P6,6,IGL,31.82
P6,6,IGL,32.38
P6,6,IGL,26.39
P8,8,outerEGL,42.11
P8,8,outerEGL,34.69
P8,8,outerEGL,34.31
P8,8,outerEGL,43.97
P8,8,outerEGL,46.02
P8,8,EGL,28.42
P8,8,EGL,29.77
P8,8,EGL,15.28
P8,8,EGL,23.73
P8,8,EGL,22.81
P8,8,ML,44.68
P8,8,ML,38.78
P8,8,ML,25
P8,8,ML,41.67
P8,8,ML,31.03
P8,8,IGL,40.17
P8,8,IGL,38.14
P8,8,IGL,34.55
P8,8,IGL,28.07
P8,8,IGL,26.53
P11,11,outerEGL,34.21
P11,11,outerEGL,29.69
P11,11,outerEGL,44.16
P11,11,outerEGL,33.87
P11,11,outerEGL,23.26
P11,11,EGL,24.14
P11,11,EGL,11.94
P11,11,EGL,12.7
P11,11,EGL,4.76
P11,11,EGL,17.91
P11,11,ML,15.87
P11,11,ML,11.86
P11,11,ML,15.38
P11,11,ML,28.57
P11,11,ML,31.58
P11,11,IGL,10.74
P11,11,IGL,12.59
P11,11,IGL,12.55
P11,11,IGL,14.55
P11,11,IGL,11.92
P15,15,outerEGL,23.81
P15,15,outerEGL,18.75
P15,15,outerEGL,32.65
P15,15,outerEGL,14.52
P15,15,outerEGL,5.56
P15,15,EGL,15.22
P15,15,EGL,9.84
P15,15,EGL,7.25
P15,15,EGL,8.7
P15,15,EGL,0
P15,15,ML,31.15
P15,15,ML,18.97
P15,15,ML,21.67
P15,15,ML,9.52
P15,15,ML,24.53
P15,15,IGL,15.65
P15,15,IGL,11.16
P15,15,IGL,9.56
P15,15,IGL,13.52
P15,15,IGL,15.84
P30,30,ML,0
P30,30,ML,0.11
P30,30,ML,0.97
P30,30,ML,0
P30,30,ML,0.13
P30,30,IGL,0
P30,30,IGL,1.0
P30,30,IGL,0.37
P30,30,IGL,0.94
P30,30,IGL,0.9
