Participant,Notes,Platform,Num Trials,Total Time (s),Error 1 Total,Error 2 Total,Error 3 Total,Error 4 Total,Error 5 Total,Error 6 Total
Participant 1,,dVRK,6,314,5,1,0,0,8,2
Participant 1,,Humanoid,6,495,2,3,1,1,2,0
Participant 1,,Manual,6,344,5,2,0,0,3,0
Participant 2,,dVRK,6,254,2,1,0,0,4,1
Participant 2,,Humanoid,6,599,4,2,0,1,2,3
Participant 2,,Manual,6,499,9,5,0,0,8,1
Participant 3,,dVRK,6,541,3,2,0,1,15,1
Participant 3,,Humanoid,6,781,6,8,1,3,3,0
Participant 3,,Manual,6,566,9,0,0,2,0,0
Participant 4,,dVRK,6,252,3,0,0,0,9,0
Participant 4,,Humanoid,6,436,2,1,1,0,1,0
Participant 4,,Manual,6,1041,3,14,2,1,14,1
Participant 5,,dVRK,6,457,3,0,0,1,3,0
Participant 5,,Humanoid,6,719,3,9,0,0,3,0
Participant 5,,Manual,6,542,1,6,2,0,4,0
Participant 6,,dVRK,6,318,7,2,0,0,10,1
Participant 6,,Humanoid,6,739,1,1,0,0,3,0
Participant 6,,Manual,6,234,0,5,1,0,3,0
Participant 7,,dVRK,6,260,4,0,0,0,15,0
Participant 7,,Humanoid,6,590,11,3,0,1,1,0
Participant 7,,Manual,6,364,8,3,0,1,9,0
Participant 8,,dVRK,6,316,0,0,0,0,2,1
Participant 8,,Humanoid,6,409,7,5,1,0,8,0
Participant 8,,Manual,6,473,5,3,1,0,6,0
Participant 9,Surgeon,dVRK,6,367,2,2,0,0,12,2
Participant 9,Surgeon,Humanoid,6,444,4,2,1,0,5,0
Participant 9,Surgeon,Manual,6,360,1,6,1,0,8,0
Participant 10,,dVRK,6,589,8,2,0,1,13,0
Participant 10,,Humanoid,6,1496,17,2,2,3,5,0
Participant 10,,Manual,6,947,10,10,1,2,14,0
Participant 11,Surgeon,dVRK,6,259,2,0,0,0,1,0
Participant 11,Surgeon,Humanoid,6,546,1,0,0,1,0,0
Participant 11,Surgeon,Manual,6,306,4,0,0,0,4,0
Participant 12,,dVRK,6,272,3,0,1,0,7,0
Participant 12,,Humanoid,6,705,7,2,0,2,2,1
Participant 12,,Manual,6,369,2,2,0,0,4,1
Participant 13,,dVRK,6,184,3,0,0,0,1,1
Participant 13,,Humanoid,6,425,13,1,0,1,2,0
Participant 13,,Manual,6,701,16,7,3,1,20,1
Participant 14,,dVRK,6,516,5,2,3,2,12,0
Participant 14,,Humanoid,6,953,10,3,0,4,14,1
Participant 14,,Manual,6,864,12,19,3,3,17,0
Participant 15,Surgeon,dVRK,6,206,2,0,0,0,7,0
Participant 15,Surgeon,Humanoid,6,230,3,1,0,0,3,0
Participant 15,Surgeon,Manual,6,172,8,3,0,3,2,0
Participant 16,Surgeon,dVRK,6,232,2,0,0,0,5,1
Participant 16,Surgeon,Humanoid,6,222,3,0,0,1,2,0
Participant 16,Surgeon,Manual,6,373,9,5,1,0,8,0
Participant 17,Surgeon,dVRK,6,192,1,1,0,0,5,1
Participant 17,Surgeon,Humanoid,6,145,0,0,0,0,1,1
Participant 17,Surgeon,Manual,6,235,5,0,0,2,1,0
Participant 18,Surgeon,dVRK,6,279,2,1,0,0,5,1
Participant 18,Surgeon,Humanoid,6,273,4,0,0,2,3,0
Participant 18,Surgeon,Manual,6,230,3,3,0,0,4,1
