test,conc_cell_L,dead,total,replicate,source,mortality
Rotifers,2516.666667,12.0,12.0,1,WL,1.0
Rotifers,838.8888889,15.0,15.0,1,WL,1.0
Rotifers,279.6296296,14.0,14.0,1,WL,1.0
Rotifers,93.20987654,11.0,11.0,1,WL,1.0
Rotifers,31.06995885,14.0,14.0,1,WL,1.0
Rotifers,10.35665295,12.0,16.0,1,WL,0.75
Rotifers,3.45221765,10.0,13.0,1,WL,0.7692307692307693
Rotifers,1.150739217,3.0,15.0,1,WL,0.2
Rotifers,0.383579739,7.0,15.0,1,WL,0.4666666666666667
Rotifers,0.127859913,1.0,6.0,1,WL,0.16666666666666666
Rotifers,0.0,0.0,9.0,1,WL,0.0
Rotifers,2516.666667,13.0,13.0,2,WL,1.0
Rotifers,838.8888889,7.0,7.0,2,WL,1.0
Rotifers,279.6296296,7.0,7.0,2,WL,1.0
Rotifers,93.20987654,15.0,15.0,2,WL,1.0
Rotifers,31.06995885,9.0,9.0,2,WL,1.0
Rotifers,10.35665295,11.0,11.0,2,WL,1.0
Rotifers,3.45221765,6.0,14.0,2,WL,0.42857142857142855
Rotifers,1.150739217,4.0,14.0,2,WL,0.2857142857142857
Rotifers,0.383579739,1.0,8.0,2,WL,0.125
Rotifers,0.127859913,0.0,9.0,2,WL,0.0
Rotifers,0.0,1.0,14.0,2,WL,0.07142857142857142
Rotifers,2516.666667,5.0,5.0,3,WL,1.0
Rotifers,838.8888889,24.0,24.0,3,WL,1.0
Rotifers,279.6296296,15.0,15.0,3,WL,1.0
Rotifers,93.20987654,13.0,13.0,3,WL,1.0
Rotifers,31.06995885,5.0,5.0,3,WL,1.0
Rotifers,10.35665295,21.0,24.0,3,WL,0.875
Rotifers,3.45221765,10.0,16.0,3,WL,0.625
Rotifers,1.150739217,6.0,18.0,3,WL,0.3333333333333333
Rotifers,0.383579739,2.0,25.0,3,WL,0.08
Rotifers,0.127859913,3.0,18.0,3,WL,0.16666666666666666
Rotifers,0.0,1.0,15.0,3,WL,0.06666666666666667
Rotifers,2516.666667,9.0,9.0,4,WL,1.0
Rotifers,838.8888889,11.0,11.0,4,WL,1.0
Rotifers,279.6296296,15.0,15.0,4,WL,1.0
Rotifers,93.20987654,11.0,12.0,4,WL,0.9166666666666666
Rotifers,31.06995885,21.0,21.0,4,WL,1.0
Rotifers,10.35665295,12.0,12.0,4,WL,1.0
Rotifers,3.45221765,7.0,12.0,4,WL,0.5833333333333334
Rotifers,1.150739217,1.0,13.0,4,WL,0.07692307692307693
Rotifers,0.383579739,3.0,13.0,4,WL,0.23076923076923078
Rotifers,0.127859913,1.0,19.0,4,WL,0.05263157894736842
Rotifers,0.0,0.0,17.0,4,WL,0.0
Rotifers,13125.0,6.0,6.0,1,KC,1.0
Rotifers,4375.0,8.0,8.0,1,KC,1.0
Rotifers,1458.333333,8.0,8.0,1,KC,1.0
Rotifers,486.1111111,7.0,7.0,1,KC,1.0
Rotifers,162.037037,6.0,6.0,1,KC,1.0
Rotifers,54.01234568,13.0,14.0,1,KC,0.9285714285714286
Rotifers,18.00411523,8.0,8.0,1,KC,1.0
Rotifers,6.001371742,8.0,15.0,1,KC,0.5333333333333333
Rotifers,2.000457247,7.0,15.0,1,KC,0.4666666666666667
Rotifers,0.666819082,4.0,8.0,1,KC,0.5
Rotifers,0.0,0.0,11.0,1,KC,0.0
Rotifers,13125.0,8.0,8.0,2,KC,1.0
Rotifers,4375.0,8.0,8.0,2,KC,1.0
Rotifers,1458.333333,10.0,10.0,2,KC,1.0
Rotifers,486.1111111,7.0,7.0,2,KC,1.0
Rotifers,162.037037,12.0,12.0,2,KC,1.0
Rotifers,54.01234568,13.0,16.0,2,KC,0.8125
Rotifers,18.00411523,8.0,13.0,2,KC,0.6153846153846154
Rotifers,6.001371742,6.0,12.0,2,KC,0.5
Rotifers,2.000457247,4.0,14.0,2,KC,0.2857142857142857
Rotifers,0.666819082,0.0,10.0,2,KC,0.0
Rotifers,0.0,1.0,21.0,2,KC,0.047619047619047616
Rotifers,13125.0,8.0,8.0,3,KC,1.0
Rotifers,4375.0,8.0,8.0,3,KC,1.0
Rotifers,1458.333333,7.0,7.0,3,KC,1.0
Rotifers,486.1111111,5.0,5.0,3,KC,1.0
Rotifers,162.037037,10.0,10.0,3,KC,1.0
Rotifers,54.01234568,9.0,9.0,3,KC,1.0
Rotifers,18.00411523,8.0,9.0,3,KC,0.8888888888888888
Rotifers,6.001371742,2.0,5.0,3,KC,0.4
Rotifers,2.000457247,3.0,17.0,3,KC,0.17647058823529413
Rotifers,0.666819082,1.0,13.0,3,KC,0.07692307692307693
Rotifers,0.0,1.0,8.0,3,KC,0.125
Rotifers,13125.0,5.0,5.0,4,KC,1.0
Rotifers,4375.0,3.0,3.0,4,KC,1.0
Rotifers,1458.333333,10.0,10.0,4,KC,1.0
Rotifers,486.1111111,14.0,14.0,4,KC,1.0
Rotifers,162.037037,15.0,16.0,4,KC,0.9375
Rotifers,54.01234568,7.0,9.0,4,KC,0.7777777777777778
Rotifers,18.00411523,7.0,8.0,4,KC,0.875
Rotifers,6.001371742,5.0,11.0,4,KC,0.45454545454545453
Rotifers,2.000457247,0.0,5.0,4,KC,0.0
Rotifers,0.666819082,3.0,18.0,4,KC,0.16666666666666666
Rotifers,0.0,0.0,9.0,4,KC,0.0
Artemia,2516.666667,8.0,10.0,1,WL,0.8
Artemia,838.8888889,7.0,12.0,1,WL,0.5833333333333334
Artemia,279.6296296,4.0,5.0,1,WL,0.8
Artemia,93.20987654,5.0,5.0,1,WL,1.0
Artemia,31.06995885,7.0,8.0,1,WL,0.875
Artemia,10.35665295,5.0,5.0,1,WL,1.0
Artemia,3.45221765,4.0,7.0,1,WL,0.5714285714285714
Artemia,1.150739217,7.0,10.0,1,WL,0.7
Artemia,0.383579739,3.0,6.0,1,WL,0.5
Artemia,0.127859913,0.0,12.0,1,WL,0.0
Artemia,0.0,2.0,8.0,1,WL,0.25
Artemia,2516.666667,8.0,10.0,2,WL,0.8
Artemia,838.8888889,10.0,13.0,2,WL,0.7692307692307693
Artemia,279.6296296,6.0,7.0,2,WL,0.8571428571428571
Artemia,93.20987654,4.0,7.0,2,WL,0.5714285714285714
Artemia,31.06995885,2.0,4.0,2,WL,0.5
Artemia,10.35665295,6.0,8.0,2,WL,0.75
Artemia,3.45221765,8.0,10.0,2,WL,0.8
Artemia,1.150739217,1.0,8.0,2,WL,0.125
Artemia,0.383579739,5.0,10.0,2,WL,0.5
Artemia,0.127859913,3.0,10.0,2,WL,0.3
Artemia,0.0,1.0,9.0,2,WL,0.1111111111111111
Artemia,2516.666667,5.0,8.0,3,WL,0.625
Artemia,838.8888889,5.0,6.0,3,WL,0.8333333333333334
Artemia,279.6296296,9.0,10.0,3,WL,0.9
Artemia,93.20987654,7.0,8.0,3,WL,0.875
Artemia,31.06995885,2.0,2.0,3,WL,1.0
Artemia,10.35665295,2.0,3.0,3,WL,0.6666666666666666
Artemia,3.45221765,6.0,6.0,3,WL,1.0
Artemia,1.150739217,3.0,9.0,3,WL,0.3333333333333333
Artemia,0.383579739,3.0,3.0,3,WL,1.0
Artemia,0.127859913,0.0,2.0,3,WL,0.0
Artemia,0.0,0.0,2.0,3,WL,0.0
Artemia,2516.666667,3.0,5.0,4,WL,0.6
Artemia,838.8888889,6.0,7.0,4,WL,0.8571428571428571
Artemia,279.6296296,8.0,9.0,4,WL,0.8888888888888888
Artemia,93.20987654,8.0,9.0,4,WL,0.8888888888888888
Artemia,31.06995885,8.0,9.0,4,WL,0.8888888888888888
Artemia,10.35665295,4.0,4.0,4,WL,1.0
Artemia,3.45221765,4.0,5.0,4,WL,0.8
Artemia,1.150739217,1.0,4.0,4,WL,0.25
