treatment,conc_cell_mL,conc_cell_L,viability_pct
LIVE 479 EX,567.0,567000.0,0.0
LIVE 479 EX,567.0,567000.0,0.0
LIVE 479 EX,567.0,567000.0,0.025548138901073287
LIVE 479 EX,567.0,567000.0,0.029286151068962013
LIVE 479 EX,567.0,567000.0,0.023038404442372224
LIVE 479 EX,283.5,283500.0,0.00199282003894413
LIVE 479 EX,283.5,283500.0,0.018099785975168026
LIVE 479 EX,283.5,283500.0,0.0
LIVE 479 EX,283.5,283500.0,0.007296201782750114
LIVE 479 EX,283.5,283500.0,0.016566373756817545
LIVE 479 EX,141.75,141750.0,0.01101141104445846
LIVE 479 EX,141.75,141750.0,0.021961383236772016
LIVE 479 EX,141.75,141750.0,0.007279848603682741
LIVE 479 EX,141.75,141750.0,0.007561389594954694
LIVE 479 EX,141.75,141750.0,0.049207652064435704
LIVE 479 EX,70.875,70875.0,0.07166855626333081
LIVE 479 EX,70.875,70875.0,0.05626506830500269
LIVE 479 EX,70.875,70875.0,0.08699897505513922
LIVE 479 EX,70.875,70875.0,0.10995992035544064
LIVE 479 EX,70.875,70875.0,0.1120849598002032
LIVE 479 EX,35.4375,35437.5,0.30736871544051547
LIVE 479 EX,35.4375,35437.5,0.3294857035452838
LIVE 479 EX,35.4375,35437.5,0.2768716593144284
LIVE 479 EX,35.4375,35437.5,0.287904604125216
LIVE 479 EX,35.4375,35437.5,0.2990772375419308
LIVE 479 EX,17.71875,17718.75,0.8384008804584897
LIVE 479 EX,17.71875,17718.75,0.9135922152542743
LIVE 479 EX,17.71875,17718.75,0.7486962448794106
LIVE 479 EX,17.71875,17718.75,0.8272816341378144
LIVE 479 EX,17.71875,17718.75,0.8047658864528869
LIVE 479 EX,8.859375,8859.375,1.1612314434849216
LIVE 479 EX,8.859375,8859.375,0.8680346302077044
LIVE 479 EX,8.859375,8859.375,0.7415742481454275
LIVE 479 EX,8.859375,8859.375,0.8731168487282457
LIVE 479 EX,8.859375,8859.375,0.7002151857826208
LIVE 479 EX,4.4296875,4429.6875,1.2306925910465842
LIVE 479 EX,4.4296875,4429.6875,0.9690001148259481
LIVE 479 EX,4.4296875,4429.6875,0.9762193568003393
LIVE 479 EX,4.4296875,4429.6875,0.9530088694774755
LIVE 479 EX,4.4296875,4429.6875,1.1322701298011741
