Span,Amplitude,Windspeed,AoA,Freq setpoint,Lift,Drag,Power,Body thrust,ESC freq,Data freq
33,60,0,20,10,0.921060443,2.074337643,48.04536932,2.264261001,8.660685357,8.653122649
33,60,0,20,2,0.027713887,0.019081169,-0.403161211,0.027409141,1.990117423,
33,60,0,20,4,0.104572426,0.236951622,4.230462968,0.258427567,3.98409815,3.972194638
33,60,0,20,6,0.350539935,0.802272607,15.48884881,0.873781368,5.988243255,5.952380952
33,60,0,20,8,0.735539691,1.699999416,29.87889636,1.849046297,7.981153659,7.942811755
33,60,3,20,10,2.062417697,1.008401181,34.75164029,1.652975544,9.149194898,9.132420091
33,60,3,20,2,0.627064484,-0.262808752,0.275225919,-0.03249076,1.988320695,
33,60,3,20,4,0.958147542,-0.246814423,5.365693655,0.095776068,3.983772782,
33,60,3,20,6,1.337572855,-0.010885607,14.35316002,0.447247735,5.983340128,5.957836847
33,60,3,20,8,1.75798833,0.56722351,25.01431287,1.134283167,7.986030014,7.943143813
33,60,6,20,10,3.79533005,0.375476675,23.39224826,1.650911988,9.939235547,9.925558313
33,60,6,20,2,1.6947245,-0.574989889,0.589007477,0.03931616,1.988010467,
33,60,6,20,4,2.087799054,-0.564787698,6.192626194,0.1833425,3.981374703,3.232222775
33,60,6,20,6,2.603793749,-0.479291022,14.40237281,0.440163675,5.986606265,5.949547834
33,60,6,20,8,3.205943525,-0.18829832,17.01974737,0.919554722,7.986587312,7.949125596
43,60,0,20,10,1.504463328,3.112605358,47.62592586,3.439449049,8.72504791,8.64012021
43,60,0,20,2,0.058894199,0.141610617,0.521601108,0.153213454,1.988255015,
43,60,0,20,4,0.476740426,1.020668135,11.06672946,1.122169143,3.985625266,3.970223325
43,60,0,20,6,0.941775297,2.122648312,24.30878852,2.316743077,5.988583376,5.955006617
43,60,0,20,8,1.372864469,2.801838122,33.53123923,3.10241391,7.979985319,7.936507937
43,60,3,20,10,2.998356893,1.888824128,40.29389074,2.80041255,9.133545944,9.127789047
43,60,3,20,2,1.045196707,-0.262227933,0.690371533,0.111064674,1.98668881,
43,60,3,20,4,1.675371075,0.031062966,8.1774837,0.602200295,3.983439498,3.974167909
43,60,3,20,6,2.357560813,0.803650685,21.36832827,1.561517906,5.991741267,5.958055291
43,60,3,20,8,2.90427425,1.463048262,36.58460798,2.36813595,7.979069079,7.919520548
43,60,6,20,10,4.786551638,0.724673939,40.54848258,2.318067831,8.963883186,8.935508936
43,60,6,20,2,2.380669848,-0.55975861,1.515738175,0.288236007,1.989827655,
43,60,6,20,4,3.074297555,-0.411911986,7.979156605,0.664401036,3.986688157,3.982080637
43,60,6,20,6,3.91534762,-0.073116944,18.54406495,1.270420301,5.983475963,5.958055291
43,60,6,20,8,4.649476551,0.432984161,33.75680739,1.997086657,7.973020098,7.954545455
53,60,0,20,10,1.414413466,3.124109757,43.47666611,3.419460782,9.810506517,9.838998211
53,60,0,20,2,0.167708319,0.485129788,2.950160712,0.513232505,1.988898584,1.994301994
53,60,0,20,4,0.760761007,1.650896986,13.81044386,1.811531304,3.98086693,3.975265018
53,60,0,20,6,1.013243141,2.388207128,21.01950918,2.590730179,5.984514184,5.95510765
53,60,0,20,8,1.380847876,3.145299094,39.27804079,3.427892137,7.948369882,7.894736842
53,60,3,20,10,3.173066055,1.683205862,46.09176018,2.666948635,9.936196455,9.950248756
53,60,3,20,2,1.672578642,-0.182643413,2.010288945,0.400426919,1.989436789,
53,60,3,20,4,2.421242671,0.339703139,10.90326114,1.147330299,3.99627972,3.970107426
53,60,3,20,6,2.672325536,1.091231789,22.93017303,1.939411623,5.97762793,5.97874225
53,60,3,20,8,2.994155659,1.846403506,46.19313677,2.759113297,7.989762671,7.883817427
53,60,6,20,10,5.0214686,0.962876537,55.13941634,2.622251386,9.64217954,9.638554217
53,60,6,20,2,2.816124525,-0.443532622,2.160997215,0.546386982,1.986742361,
53,60,6,20,4,3.578555389,-0.098888374,9.759636634,1.131013352,3.984308546,3.972457627
53,60,6,20,6,3.946943727,0.35948166,22.80637008,1.687736522,5.981338347,5.960264901
53,60,6,20,8,4.388308351,0.907383232,52.00564647,2.353551178,7.98925522,7.936507937
