full_name,e,a,i_deg,q_au,A1,A2,A3,pha,tisserand_J
433 Eros (A898 PA),0.2229,1.458,10.83,1.133,,,,N,4.5828
719 Albert (A911 TB),0.5466,2.637,11.57,1.196,,,,N,3.1414
887 Alinda (A918 AA),0.5711,2.474,9.4,1.061,,,,N,3.2202
1036 Ganymed (A924 UB),0.5335,2.664,26.69,1.243,,,,N,3.0347
1221 Amor (1932 EA1),0.4347,1.92,11.87,1.085,,-7.2e-15,,N,3.781
1566 Icarus (1949 MA),0.827,1.078,22.8,0.186,,-3.7e-15,,Y,5.2991
1580 Betulia (1950 KA),0.4876,2.195,52.19,1.125,,-3e-15,,N,3.066
1620 Geographos (1951 RA),0.3355,1.246,13.34,0.828,,-3.7e-15,,Y,5.0735
1627 Ivar (1929 SH),0.3973,1.863,8.46,1.123,,1.8e-15,,N,3.8795
1685 Toro (1948 OA),0.436,1.368,9.38,0.771,,-2.4e-15,,N,4.7145
1862 Apollo (1932 HA),0.5602,1.471,6.35,0.647,,-3.7e-15,,Y,4.413
1863 Antinous (1948 EA),0.6062,2.259,18.38,0.89,,,,N,3.2981
1864 Daedalus (1971 FA),0.6145,1.461,22.22,0.563,,,,N,4.3358
1865 Cerberus (1971 UA),0.4669,1.08,16.1,0.576,,-4.3e-15,,N,5.5925
1866 Sisyphus (1972 XA),0.5381,1.893,41.21,0.875,,,,N,3.5139
1915 Quetzalcoatl (1953 EA),0.5703,2.545,20.4,1.094,,,,N,3.1216
1916 Boreas (1953 RA),0.4491,2.273,12.88,1.252,,,,N,3.4407
1917 Cuyo (1968 AA),0.5054,2.149,23.96,1.063,,,,N,3.435
1943 Anteros (1973 EC),0.2562,1.431,8.71,1.064,,,,N,4.6386
1980 Tezcatlipoca (1950 LA),0.3647,1.71,26.87,1.086,,,,N,3.9954
1981 Midas (1973 EA),0.6504,1.776,39.82,0.621,,,,Y,3.6117
2059 Baboquivari (1963 UA),0.5314,2.642,11.02,1.238,,,,N,3.1546
2061 Anza (1960 UA),0.5359,2.265,3.8,1.051,,,,N,3.409
2062 Aten (1976 AA),0.1829,0.967,18.94,0.79,,-1.1e-14,,N,6.1831
2063 Bacchus (1977 HB),0.3492,1.078,9.43,0.701,,-8.1e-15,,N,5.6687
2100 Ra-Shalom (1978 RA),0.4365,0.832,15.76,0.469,,-5.2e-15,,N,6.947
2101 Adonis (1936 CA),0.7641,1.874,1.32,0.442,,-3.3e-14,,Y,3.5509
2102 Tantalus (1975 YA),0.2994,1.29,64.0,0.904,,,,Y,4.4505
2135 Aristaeus (1977 HA),0.5031,1.6,23.07,0.795,,,,Y,4.1342
2201 Oljato (1947 XC),0.7109,2.179,2.52,0.63,,,,Y,3.2975
2202 Pele (1972 RA),0.5128,2.291,8.74,1.116,,,,N,3.3975
2212 Hephaistos (1978 SB),0.8346,2.167,11.2,0.358,,,,N,3.0988
2329 Orthos (1976 WA),0.6532,2.412,24.5,0.837,,,,N,3.0956
2340 Hathor (1976 UA),0.45,0.8437,5.86,0.464,,-3e-14,,Y,6.8832
2368 Beltrovata (1977 RA),0.4135,2.105,5.22,1.235,,,,N,3.6255
2608 Seneca (1978 DA),0.5647,2.531,14.43,1.101,,,,N,3.1708
3102 Krok (1981 QA),0.4492,2.151,8.44,1.185,,,,N,3.5556
3103 Eger (1982 BB),0.3541,1.404,20.93,0.907,,-4.9e-15,,N,4.6138
3122 Florence (1981 ET3),0.4232,1.769,22.14,1.02,,,,Y,3.9203
3199 Nefertiti (1982 RA),0.2841,1.575,32.96,1.127,,,,N,4.1892
3200 Phaethon (1983 TB),0.8897,1.271,22.31,0.14,,-6.1e-15,,Y,4.5117
3271 Ul (1982 RB),0.3954,2.103,25.08,1.271,,,,N,3.5322
3288 Seleucus (1982 DV),0.4545,2.034,5.93,1.11,,,,N,3.6662
3352 McAuliffe (1981 CW),0.3691,1.879,4.77,1.185,,,,N,3.8825
3360 Syrinx (1981 VA),0.7483,2.465,21.01,0.62,,,,N,2.9635
3361 Orpheus (1982 HR),0.3228,1.209,2.65,0.819,,2e-14,,Y,5.2156
3362 Khufu (1984 QA),0.4685,0.9895,9.92,0.526,,,,Y,6.018
3551 Verenia (1983 RD),0.4868,2.093,9.51,1.074,,,,N,3.579
3552 Don Quixote (1983 SA),0.7074,4.271,31.05,1.25,,,,N,2.3156
3553 Mera (1985 JA),0.32,1.645,36.77,1.118,,,,N,4.0168
