full_name,e,a,i_deg,q_au,A1,A2,A3,tisserand_J
1P/Halley,0.9679,17.93,162.19,0.575,4.9e-10,1.6e-10,,-0.5981
2P/Encke,0.8477,2.22,11.41,0.338,2.3e-10,-6.5e-13,,3.0233
3D/Biela,0.7513,3.535,13.22,0.879,3.9e-09,-2.5e-10,,2.5311
5D/Brorsen,0.8098,3.101,29.38,0.59,1.3e-08,1.3e-09,,2.4674
7P/Pons-Winnecke,0.6376,3.419,22.33,1.239,6.4e-11,-5.2e-12,-1e-10,2.6772
8P/Tuttle,0.8198,5.7,54.98,1.027,4.2e-10,-1.7e-11,-4.6e-11,1.6008
12P/Pons-Brooks,0.9546,17.18,74.19,0.781,,,,0.5978
13P/Olbers,0.9297,16.68,44.62,1.173,3.9e-09,5.9e-10,,1.2507
15P/Finlay,0.7202,3.49,6.8,0.977,2.2e-09,-2.3e-10,1.6e-09,2.6194
18D/Perrine-Mrkos,0.6426,3.56,17.76,1.272,,,,2.6688
20D/Westphal,0.9198,15.64,40.89,1.254,,,,1.3612
21P/Giacobini-Zinner,0.7105,3.5,32.0,1.013,3.5e-09,-1.5e-09,-2e-09,2.4656
23P/Brorsen-Metcalf,0.972,17.07,19.33,0.479,2.2e-09,-5.3e-10,,1.108
24P/Schaumasse,0.7079,4.056,11.5,1.185,1.5e-09,-3.5e-10,,2.5051
26P/Grigg-Skjellerup,0.6397,3.024,22.46,1.09,,-4.6e-12,,2.8038
27P/Crommelin,0.9193,9.093,29.22,0.734,5.1e-10,-2.7e-12,,1.4804
34D/Gale,0.7607,4.944,11.73,1.183,,,,2.2915
35P/Herschel-Rigollet,0.974,28.84,64.21,0.748,,,,0.6445
41P/Tuttle-Giacobini-Kresak,0.6613,3.085,9.23,1.045,6.6e-09,-2.1e-10,,2.827
45P/Honda-Mrkos-Pajdusakova,0.824,3.026,4.25,0.533,5.4e-09,1.8e-10,,2.5814
46P/Wirtanen,0.6588,3.093,11.75,1.055,4.1e-09,-1.2e-09,6.9e-10,2.8181
55P/Tempel-Tuttle,0.9056,10.34,162.49,0.976,1.6e-09,9.2e-11,,-0.6371
66P/du Toit,0.7866,6.023,18.67,1.285,7.7e-10,-8.9e-11,,2.1227
67P/Churyumov-Gerasimenko,0.6409,3.462,7.04,1.243,1e-09,-6.7e-11,3e-10,2.7459
72P/Denning-Fujikawa,0.8205,4.347,9.23,0.781,,1.8e-10,,2.2285
73P/Schwassmann-Wachmann 3,0.6857,3.093,11.23,0.972,4.8e-09,6.9e-10,,2.7833
73P/Schwassmann-Wachmann 3-A,0.6957,3.067,11.42,0.933,,,,2.7778
73P/Schwassmann-Wachmann 3-B,0.6933,3.062,11.4,0.939,1.5e-08,2e-09,,2.7833
73P/Schwassmann-Wachmann 3-C,0.6922,3.063,11.38,0.943,6.5e-09,4.8e-10,,2.7845
73P/Schwassmann-Wachmann 3-E,0.6939,3.062,11.41,0.937,1.7e-08,5.8e-09,,2.7824
73P/Schwassmann-Wachmann 3-G,0.6934,3.063,11.39,0.939,,,,2.7828
73P/Schwassmann-Wachmann 3-H,0.6936,3.065,11.39,0.939,,,,2.7817
73P/Schwassmann-Wachmann 3-J,0.6915,3.044,11.38,0.939,,,,2.7928
73P/Schwassmann-Wachmann 3-K,0.6935,3.064,11.39,0.939,,,,2.7823
73P/Schwassmann-Wachmann 3-L,0.6947,3.076,11.4,0.939,,,,2.776
73P/Schwassmann-Wachmann 3-M,0.6939,3.068,11.39,0.939,,,,2.7802
73P/Schwassmann-Wachmann 3-N,0.6923,3.052,11.38,0.939,,,,2.7886
73P/Schwassmann-Wachmann 3-P,0.6956,3.085,11.41,0.939,,,,2.7713
73P/Schwassmann-Wachmann 3-Q,0.6986,3.118,11.42,0.94,,,,2.7547
73P/Schwassmann-Wachmann 3-R,0.6941,3.07,11.39,0.939,,,,2.7791
73P/Schwassmann-Wachmann 3-S,0.6934,3.334,11.05,1.022,,,,2.6929
73P/Schwassmann-Wachmann 3-T,0.693,3.061,11.4,0.94,,,,2.7841
73P/Schwassmann-Wachmann 3-U,0.6894,3.024,11.36,0.939,,,,2.8036
73P/Schwassmann-Wachmann 3-V,0.6935,3.002,11.57,0.92,,,,2.8056
73P/Schwassmann-Wachmann 3-W,0.6983,3.112,11.42,0.939,,,,2.7573
73P/Schwassmann-Wachmann 3-X,0.6948,3.077,11.4,0.939,,,,2.7754
73P/Schwassmann-Wachmann 3-Y,0.7181,3.332,11.55,0.939,,,,2.653
73P/Schwassmann-Wachmann 3-Z,0.6934,3.073,11.34,0.942,,,,2.7792
73P/Schwassmann-Wachmann 3-AA,0.6806,2.941,11.3,0.939,,,,2.8496
73P/Schwassmann-Wachmann 3-AB,0.6912,3.042,11.37,0.939,,,,2.794
73P/Schwassmann-Wachmann 3-AC,0.6954,3.083,11.41,0.939,,,,2.7723
73P/Schwassmann-Wachmann 3-AD,0.6934,3.068,11.37,0.941,,,,2.781
73P/Schwassmann-Wachmann 3-AE,0.6967,3.096,11.41,0.939,,,,2.7656
73P/Schwassmann-Wachmann 3-AF,0.6763,2.908,11.24,0.941,,,,2.8697
73P/Schwassmann-Wachmann 3-AG,0.6958,3.087,11.41,0.939,,,,2.7702
73P/Schwassmann-Wachmann 3-AH,0.6934,3.075,11.33,0.943,,,,2.7785
73P/Schwassmann-Wachmann 3-AI,0.6982,3.111,11.43,0.939,,,,2.7578
73P/Schwassmann-Wachmann 3-AJ,0.6624,2.786,11.14,0.941,,-1.2e-06,,2.9435
73P/Schwassmann-Wachmann 3-AK,0.6934,3.058,11.43,0.938,,,,2.7845
73P/Schwassmann-Wachmann 3-AL,0.6998,3.128,11.44,0.939,,,,2.7493
73P/Schwassmann-Wachmann 3-AM,0.6934,3.036,11.54,0.931,,,,2.7925
73P/Schwassmann-Wachmann 3-AN,0.6948,3.076,11.41,0.939,,,,2.7758
73P/Schwassmann-Wachmann 3-AO,0.6938,3.072,11.33,0.941,,,,2.779
73P/Schwassmann-Wachmann 3-AP,0.7014,3.144,11.47,0.939,,,,2.7411
73P/Schwassmann-Wachmann 3-AQ,0.6959,3.088,11.41,0.939,,,,2.7697
73P/Schwassmann-Wachmann 3-AR,0.6958,3.087,11.41,0.939,,,,2.7702
73P/Schwassmann-Wachmann 3-AS,0.7011,3.141,11.46,0.939,,,,2.7426
73P/Schwassmann-Wachmann 3-AT,0.6869,3.001,11.33,0.94,,,,2.8163
73P/Schwassmann-Wachmann 3-AU,0.6928,3.058,11.38,0.939,,,,2.7856
73P/Schwassmann-Wachmann 3-AV,0.6934,3.062,11.4,0.939,,,,2.7831
73P/Schwassmann-Wachmann 3-AW,0.6482,2.678,10.98,0.942,,,,3.0157
73P/Schwassmann-Wachmann 3-AX,0.6925,3.05,11.43,0.938,,,,2.7889
73P/Schwassmann-Wachmann 3-AY,0.664,2.8,11.13,0.941,,,,2.9348
73P/Schwassmann-Wachmann 3-AZ,0.6441,2.647,10.93,0.942,,,,3.0373
73P/Schwassmann-Wachmann 3-BA,0.6824,2.961,11.27,0.94,,,,2.839
73P/Schwassmann-Wachmann 3-BB,0.6824,2.968,11.19,0.942,,,,2.8364
73P/Schwassmann-Wachmann 3-BC,0.7005,3.134,11.46,0.939,,,,2.746
73P/Schwassmann-Wachmann 3-BD,0.6824,2.979,10.97,0.946,,,,2.8328
73P/Schwassmann-Wachmann 3-BE,0.6824,2.958,11.32,0.939,,,,2.84
73P/Schwassmann-Wachmann 3-BF,0.6857,2.989,11.32,0.94,,,,2.8228
73P/Schwassmann-Wachmann 3-BG,0.6848,2.98,11.32,0.939,,,,2.8277
73P/Schwassmann-Wachmann 3-BH,0.6824,2.959,11.29,0.94,,,,2.8397
73P/Schwassmann-Wachmann 3-BI,0.6825,2.96,11.3,0.94,,,,2.8391
73P/Schwassmann-Wachmann 3-BJ,0.6911,3.041,11.37,0.939,,,,2.7946
73P/Schwassmann-Wachmann 3-BK,0.6915,3.045,11.37,0.939,,,,2.7924
73P/Schwassmann-Wachmann 3-BL,0.6962,3.091,11.41,0.939,,,,2.7682
73P/Schwassmann-Wachmann 3-BM,0.6824,2.959,11.29,0.94,,,,2.8397
