anio,ca_ppb_lpf20yr,pdsi_marruecos
2020,201.460875648895,
2019,195.48030233852,
2018,190.037451371036,-0.905436297361021
2017,185.663472377252,-0.77679207623485
2016,182.896115821226,-0.660240379568561
2015,182.238443711271,-0.562093800008462
2014,184.116702169738,-0.487526108360939
2013,188.84076995795,-0.440157264668412
2012,196.570578339803,-0.421754451163083
2011,207.291588235701,-0.432076229938889
2010,220.801824588305,-0.468875467947501
2009,236.712144021347,-0.528063658129674
2008,254.460411130712,-0.604025790553235
2007,273.339159544572,-0.690062140821564
2006,292.535205923672,-0.778922351147037
2005,311.178661838425,-0.863388948216888
2004,328.397939234709,-0.93686271058521
2003,343.376747176455,-0.99390151263505
2002,355.408788800263,-1.03066754302651
2001,363.94592133377,-1.04524488651504
2000,368.635943797079,-1.03779980339191
1999,369.346902414819,-1.01056879270216
1998,366.175800563345,-0.967673625765385
1997,359.440791787245,-0.914776807632852
1996,349.657226345534,-0.858604169718032
1995,337.499208686165,-0.806372404986892
1994,323.749498265771,-0.765167395543901
1993,309.241549674846,-0.741323478267832
1992,294.798156558892,-0.739853990591522
1991,281.171477236467,-0.763979524248303
1990,268.989147051265,-0.814792623088637
1989,258.71072427109,-0.891086839187228
1988,250.597906145676,-0.989365013305288
1987,244.700853022077,-1.10402745288326
1986,240.861659722851,-1.22772650893538
1985,238.734621081843,-1.35186105316431
1984,237.821567938062,-1.46717356709225
1983,237.519315576659,-1.56440481728332
1982,237.175272601446,-1.63495698133489
1981,236.146589038887,-1.67151587671644
1980,233.857935738343,-1.6685865730757
1979,229.853128469193,-1.62290377051107
1978,223.836330728232,-1.53368825992659
1977,215.699446487949,-1.40273269228615
1976,205.533474846792,-1.23431278089119
1975,193.622945378529,-1.03493290496459
1974,180.423972425611,-0.812926872802802
1973,166.527838719479,-0.577944457993387
1972,152.613227442728,-0.34036155111057
1971,139.391164863139,-0.110655919093228
1970,127.547333243908,0.101208551494802
1969,117.686615603471,0.286348550039327
1968,110.284523598672,0.43744354821887
1967,105.649556101013,0.549105546531808
1966,103.899591301701,0.618117461002497
1965,104.954210877857,0.643531151925108
1964,108.543494385814,0.626626031444504
1963,114.232422227804,0.570738407708366
1962,121.458705912106,0.480979593159504
1961,129.580737265142,0.363866841550396
1960,137.93150919382,0.226895084696337
1959,145.873879873166,0.0780791122883129
1958,152.852469118323,-0.0745046409217701
1957,158.437795145335,-0.223149921332177
1956,162.358952308602,-0.360903236994523
1955,164.522134260754,-0.481879336561767
1954,165.013534492734,-0.5814973326099
1953,164.086500938993,-0.656630944773624
1952,162.134167520046,-0.705671778803444
1951,159.650018119127,-0.728509377792984
1950,157.179853169345,-0.726435753373525
1949,155.269340928549,-0.701985109038078
1948,154.411686490645,-0.658721489406143
1947,154.999914913217,-0.600988198851811
1946,157.287847243005,-0.533633163019982
1945,161.363088890484,-0.461724123397813
1944,167.134316684554,-0.390266829362987
1943,174.333934525333,-0.323938374999217
1942,182.535872832218,-0.26684663166816
1941,191.187044213234,-0.222325414972566
1940,199.649842946333,-0.192773609337399
1939,207.252181647469,-0.179544925796195
1938,213.340966547672,-0.182893232763439
1937,217.334667930157,-0.20197641336899
1936,218.770759120864,-0.234919420227253
1935,217.344259746497,-0.278934610389315
1934,212.934381677637,-0.330494594401141
1933,205.617269675367,-0.385549831450315
1932,195.663965873095,-0.439780218159761
1931,183.523910465954,-0.488867175812172
1930,169.795421546075,-0.528770498545114
1929,155.185583189119,-0.555992750725385
1928,140.462735681206,-0.567813540155981
1927,126.405249102799,-0.562476735012598
1926,113.750440372161,-0.539315741824055
1925,103.147360262106,-0.49880531659587
1924,95.1167532092548,-0.442532916338648
1923,90.0208248638558,-0.373088064533906
1922,88.0446049543854,-0.293874238898835
1921,89.1897432870665,-0.208853941272546
1920,93.2806069718991,-0.122243371461043
1919,99.9816375884888,-0.0381779828571016
1918,108.824149328465,0.039626331388509
1917,119.240159739243,0.108189980332949
1916,130.600481068482,0.165538254777538
1915,142.254178491341,0.210898150734479
1914,153.566616087234,0.244804407249971
1913,163.953636639819,0.269102095304432
1912,172.909914812593,0.286840825602358
1911,180.030130741069,0.302064159144284
1910,185.022272025367,0.319506428185658
1909,187.713025562555,0.344217187515666
1908,188.045810929213,0.381140218378023
1907,186.072488488207,0.434678784483398
1906,181.940116104096,0.50828121693613
1905,175.874312130975,0.604080595757105
1904,168.160809216838,0.722619232558896
1903,159.126668524559,0.862683006490558
1902,149.122394733088,1.02126275311116
1901,138.505884963912,1.19365043956392
1900,127.628800317851,1.37366751652629
1899,116.825607631125,1.55401244591243
1898,106.405237608996,1.72670481254559
1897,96.6450719679058,1.88359543611149
1896,87.7868244524559,2.01690618430983
1895,80.0338247268972,2.11976024682463
1894,73.5492447026539,2.1866637354368
1893,68.4549081622339,2.21390265107395
1892,64.8304731282799,2.19982527257335
1891,62.7129443424883,2.14498840728391
1890,62.0966316197004,2.05215603600087
1889,62.9337926129886,1.92614987837484
1888,65.1362654606819,1.77356242080174
1887,68.578395993353,1.60235310876266
1886,73.1014934456445,1.42135690639214
1885,78.519915604863,1.23974060638432
1884,84.6287055765326,1.06644566813925
1883,91.2125012247273,0.909656739453911
1882,98.0552421722148,0.776332394898165
1881,104.950035928059,0.671829264568969
1880,111.708439266352,0.599643110785611
1879,118.168382356417,
1878,124.200021692504,
1877,129.708953770299,
1876,134.636444293189,
1875,138.956607241037,
1874,142.670776309764,
1873,145.799614976384,
1872,148.373776299419,
1871,150.424117500673,
1870,151.972571504361,
1869,153.024761350104,
1868,153.565308725307,
1867,153.556542399907,
1866,152.940976105284,
1865,151.647529191562,
1864,149.601046024671,
