anio,area_expuesta_acum_km2
1960,0.0
1961,262.5
1962,1330.5
1963,3020.3
1964,4210.9
1965,4840.9
1966,5803.8
1967,6915.6
1968,7782.1
1969,8176.0
1970,8000.2
1971,8165.8
1972,9041.1
1973,9749.9
1974,10274.9
1975,11132.7
1976,12235.7
1977,13224.9
1978,14100.2
1979,14975.4
1980,16069.7
1981,17216.5
1982,18450.9
1983,19930.5
1984,21445.2
1985,23152.6
1986,25607.5
1987,27845.5
1988,29065.9
1989,30022.2
1990,31322.4
1991,32925.5
1992,33842.0
1993,34227.3
1994,34572.9
1995,34639.6
1996,35947.6
1997,38004.7
1998,39251.8
1999,41110.7
2000,43284.9
2001,44862.8
2002,47545.2
2003,48695.7
2004,49616.6
2005,50873.0
2006,52456.9
2007,54428.4
2008,56421.1
2009,58492.7
2010,59645.4
2011,56527.2
2012,59105.5
2013,59816.9
2014,60971.4
2015,61822.6
2016,60056.1
2017,61253.6
2018,59828.3
2019,60753.6
2020,61317.1
2021,61971.1
2022,62625.1
