material,muestra_desc,densidad_ruptura_ma_cm2,este_trabajo
Cu nanowire,Thickness 25nm Width 80nm,100,0
Cu nanowire,Thickness 50nm Width 90-330nm,145,0
TaSe3 nanowire,Thickness 34nm Width 75nm,10,0
TaSe3 nanowire,Thickness 80nm Width 320nm (h-BN),11,0
TaSe3 nanowire,Thickness 20nm Width 110nm (h-BN),32,0
TaSe3 nanowire,Diameter 7nm (bundle),100,0
WTe2 thin flake,3-10 layers (AlOx),40,0
WTe2 nanobelt,Thickness 2-50nm (AlOx),60,0
NbAs nanowire,Diameter 40nm,25.8,1
NbAs nanowire,Diameter 40nm,41.6,1
NbAs nanowire,Diameter 40nm,78.7,1
NbAs nanowire,Diameter 40nm,61.2,1
NbAs nanowire,Diameter 40nm,27.9,1
NbAs nanowire,Diameter 40nm,42.8,1
