group,days_elapsed,event
KD-WT,95.0,1
KD-WT,123.0,1
KD-WT,137.0,1
KD-WT,144.0,1
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-WT,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
KD-Cpt1a-iKO,150.0,0
