area_almacen_nm2,senal_cuantica_pct,canal_grosor_nm
100.0,91.45,0.7
144.0,93.535,0.7
196.0,95.015,0.7
256.0,96.078,0.7
324.0,96.734,0.7
400.0,97.234,0.7
484.0,97.665,0.7
576.0,97.927,0.7
676.0,98.174,0.7
784.0,98.356,0.7
1024.0,98.69,0.7
1296.0,98.891,0.7
1444.0,98.953,0.7
1600.0,99.03,0.7
1936.0,99.19,0.7
2116.0,99.22,0.7
2304.0,99.276,0.7
2704.0,99.327,0.7
2916.0,99.372,0.7
3136.0,99.38,0.7
3364.0,99.371,0.7
3600.0,99.401,0.7
3844.0,99.423,0.7
4096.0,99.45,0.7
4356.0,99.466,0.7
4624.0,99.46,0.7
5476.0,99.534,0.7
5776.0,99.557,0.7
6084.0,99.571,0.7
6400.0,99.587,0.7
6724.0,99.594,0.7
7396.0,99.619,0.7
7744.0,99.632,0.7
8100.0,99.632,0.7
8464.0,99.647,0.7
9216.0,99.666,0.7
9604.0,99.676,0.7
10000.0,99.634,0.7
100.0,27.107,10
144.0,35.402,10
196.0,43.663,10
256.0,50.437,10
324.0,55.882,10
400.0,60.968,10
484.0,64.971,10
576.0,68.711,10
676.0,71.886,10
784.0,74.485,10
1024.0,78.787,10
1296.0,81.765,10
1444.0,83.278,10
1600.0,84.458,10
1936.0,86.601,10
2116.0,87.197,10
2304.0,87.736,10
2704.0,89.268,10
2916.0,89.665,10
3136.0,90.033,10
3364.0,90.514,10
3600.0,91.004,10
3844.0,91.607,10
4096.0,91.864,10
4356.0,92.218,10
4624.0,92.573,10
5476.0,93.279,10
5776.0,93.441,10
6084.0,93.487,10
6400.0,94.073,10
6724.0,94.185,10
7396.0,94.372,10
7744.0,94.567,10
8100.0,94.904,10
8464.0,94.847,10
9216.0,95.122,10
9604.0,95.153,10
10000.0,95.304,10
100.0,12.584,20
144.0,17.027,20
196.0,22.006,20
256.0,26.932,20
324.0,31.81,20
400.0,36.545,20
484.0,41.067,20
576.0,45.335,20
676.0,49.323,20
784.0,53.025,20
1024.0,59.585,20
1296.0,65.647,20
1444.0,67.65,20
1600.0,69.729,20
1936.0,73.153,20
2116.0,74.692,20
2304.0,76.116,20
2704.0,78.468,20
2916.0,79.459,20
3136.0,80.538,20
3364.0,81.318,20
3600.0,82.12,20
3844.0,82.965,20
4096.0,83.726,20
4356.0,84.269,20
4624.0,84.786,20
5476.0,86.688,20
5776.0,87.209,20
6084.0,87.584,20
6400.0,88.041,20
6724.0,88.453,20
7396.0,89.076,20
7744.0,89.41,20
8100.0,89.64,20
8464.0,89.773,20
9216.0,90.57,20
9604.0,90.803,20
10000.0,91.033,20
