Code,DiseaseName,Acronym,ADO_50,Pct_NoChildren_Case,Pct_NoChildren_Control,excess_childless_pp,onset_group
1135,Atopic dermatitis,ECZ,34.01,35.0,18.77644093732185,16.22355906267815,early (<40)
2,Attention deficit hyperactivity disorder,ADHD,14.26,60.0,17.199820116924,42.800179883076,early (<40)
2029,Chron’s disease,CHRO,35.76,22.791519434628977,19.08103490358799,3.7104845310409864,early (<40)
2030,Ulcerative colitis,ULC,37.53,20.405982905982903,19.47871684145589,0.9272660645270143,early (<40)
2052,Age-related macular degeneration,ARMD,78.78,14.769975786924938,19.27609427609428,-4.506118489169342,late (>=40)
3437,Allergic rhinitis,ALL,18.42,20.38567493112948,20.11654654194142,0.26912838918805804,early (<40)
3543,Cataract,CAT,72.25,18.176670441676105,19.516887558785807,-1.3402171171097024,late (>=40)
3603,Migraine,MIG,33.54,17.595108695652172,19.47893152746426,-1.8838228318120862,early (<40)
3666,Benign neoplasm of colon-rectum-anus,NEO,65.98,16.451612903225808,19.91617571468111,-3.464562811455302,late (>=40)
3669,Gastro-oesophageal reflux disease,GERD,54.43,15.767427944549716,18.61302912038427,-2.8456011758345525,late (>=40)
3670,Gastritis and Duodenitis,GADU,61.49,16.06456571867794,19.524950969710176,-3.4603852510322355,late (>=40)
3671,Inguinal hernia,IHER,50.62,17.59773237274123,19.41630487216594,-1.818572499424711,late (>=40)
3675,Cholelithiasis,CHOL,56.04,14.825319066649476,19.428057975544007,-4.602738908894532,late (>=40)
3685,Hypothyroidism,HYPO,52.46,15.70801317233809,19.784157844873747,-4.076144672535657,late (>=40)
3687,Obesity,OBE,48.6,17.353776263486655,18.623217922606923,-1.2694416591202682,late (>=40)
3688,Lipoprotein metabolism disorders,LIPO,67.8,15.633500357909808,19.7319587628866,-4.098458404976791,late (>=40)
3691,Hypertension,HYP,67.46,15.96219354219642,21.83660443593426,-5.8744108937378385,late (>=40)
3693,Coronary artery disease,CAD,67.31,15.370070232306862,19.478768815996407,-4.108698583689545,late (>=40)
3698,Diaphragmatic hernia,DHER,62.93,16.253325323950914,19.70123103877541,-3.447905714824497,late (>=40)
4039,Bipolar disorder,BD,38.64,29.830508474576277,19.317769444780453,10.512739029795824,early (<40)
4085,Type 2 diabetes,T2D,68.77,18.220493497022,19.54567154678549,-1.3251780497634869,late (>=40)
4266,Asthma child-onset,ACO,6.32,18.46252402306214,20.04775137970175,-1.58522735663961,early (<40)
4267,Asthma adult-onset,AAO,52.81,17.338534893801473,19.17671931351822,-1.8381844197167467,late (>=40)
4276,Carpal tunnel syndrome,CTS,54.21,14.97149714971497,18.91193649842744,-3.94043934871247,late (>=40)
4290,Insomnia,INS,45.57,19.35483870967742,18.26057362086569,1.0942650888117313,late (>=40)
4307,Osteoarthritis,OST,61.56,13.864306784660767,18.79255319148936,-4.928246406828594,late (>=40)
4311,Diverticular disease,DIV,67.2,15.539055989090084,19.44485823526491,-3.905802246174826,late (>=40)
4332,Erectile dysfunction,ERE,61.27,15.106382978723405,18.703393699589103,-3.5970107208656987,late (>=40)
4333,Polycystic ovary syndrome,PCOS,26.95,36.95652173913043,18.924931605688,18.031590133442432,early (<40)
BCAC2020BC,Breast cancer,BRE,60.53,18.983442433577206,19.71941017545001,-0.7359677418728054,late (>=40)
CMDKP2018AF,Atrial fibrillation,AF,73.07,16.917854718262053,19.82765253520043,-2.909797816938376,late (>=40)
GCST003763,Age-related hearing impairment,HEAR,71.5,16.8141592920354,19.577181006225004,-2.7630217141896054,late (>=40)
GCST008057,Varicose veins,VAR,47.94,14.36220472440945,19.149329977048936,-4.787125252639486,late (>=40)
GCST009131,Systemic sclerosis,SYSC,56.3,26.53061224489796,19.471818291070782,7.058793953827177,late (>=40)
GCST009158,Uterine fibroids,UTE,46.55,24.0448953162098,19.15300831680412,4.891886999405681,late (>=40)
GCST009541,Heart failure,HF,73.5,17.920148560817083,18.796068796068795,-0.8759202352517121,late (>=40)
GCST010003,Refractive error,RE,17.44,21.71945701357466,22.30132708821233,-0.581870074637667,early (<40)
GCST011364,Myocardial infarction,MYO,69.74,15.129081245254367,18.323711781056232,-3.194630535801865,late (>=40)
GCST90011766,Primary open-angle glaucoma,POAG,71.04,18.961253091508656,19.62005605730302,-0.658802965794365,late (>=40)
GCST90011808,Prostate cancer,PRO,71.06,14.924721797948942,19.38814531548757,-4.463423517538628,late (>=40)
GCST90011809,Melanoma,MEL,61.8,15.228556753980484,19.93142313959805,-4.702866385617565,late (>=40)
GCST90011810,Rectal cancer,REC,68.59,18.537074148296597,19.17930970552792,-0.6422355572313236,late (>=40)
GCST90011811,Colon cancer,COL,70.78,16.3681592039801,19.595327758983853,-3.227168555003754,late (>=40)
GCST90011812,Lung cancer,LUN,68.3,15.889830508474576,19.033601603357027,-3.1437710948824513,late (>=40)
GCST90011816,Cervical cancer,CERV,49.81,16.666666666666664,18.88400385449289,-2.2173371878262245,late (>=40)
GCST90011817,Bladder cancer,BLA,71.35,18.01730920535012,19.060377593619545,-1.0430683882694254,late (>=40)
GCST90011819,Non-Hodgkin's lymphoma,NHL,72.25,18.524332810047092,19.6571072319202,-1.1327744218731084,late (>=40)
GCST90011820,Endometrial cancer,END,65.51,21.55074116305587,19.81042070599821,1.7403204570576598,late (>=40)
GCST90013410,Basal cell carcinoma,BCC,74.06,14.505529732328895,19.47558636967105,-4.970056637342154,late (>=40)
GCST90014023,Type 1 diabetes,T1D,12.72,21.91235059760956,18.93236894164194,2.97998165596762,early (<40)
GCST90061440,Cirrhosis,CIRR,60.86,19.594594594594597,19.70427031259411,-0.10967571799951514,late (>=40)
GCST90129435,Cystitis,CYS,62.86,16.080937167199146,18.44604682189257,-2.3651096546934234,late (>=40)
GCST90129439,Fibromyalgia,FIBR,53.68,15.2088772845953,18.42585025460489,-3.2169729700095893,late (>=40)
GCST90129442,Gout,GOU,68.98,17.304347826086957,19.37093856769612,-2.0665907416091613,late (>=40)
GCST90132223,Rheumatoid arthritis,RHAR,59.71,13.675213675213676,19.1218773656321,-5.446663690418422,late (>=40)
PGC2019ALCUSE,Alcohol use disorder,AUD,44.23,29.23832923832924,19.60736045295095,9.63096878537829,late (>=40)
PGC2019AN,Anorexia nervosa,AN,19.25,40.0,19.96817581361835,20.03182418638165,early (<40)
PGC2019ASD,Autism spectrum disorder,ASD,23.06,57.692307692307686,20.46082672434511,37.231480967962575,early (<40)
PGC2019MDD,Major depressive disorder,MDD,41.51,19.531996179560647,18.54977018590931,0.9822259936513369,late (>=40)
PGC2019PTSD,Post-traumatic stress disorder,PTSD,28.77,21.73913043478261,19.302779864763338,2.436350570019272,early (<40)
PGC2021ALZwoUKBB,Alzheimer’s disease,AD,82.39,16.666666666666664,18.714169943272204,-2.047503276605539,late (>=40)
PGC2022SCZ,Schizophrenia,SCZ,34.0,45.182724252491695,19.022101120193764,26.160623132297932,early (<40)
