id,Distribution,Upper,Weight,n_languages
tight weibull weighted,weibull,tight,weighted,2915.0
tight weibull weighted,weibull,tight,weighted,3120.0
tight weibull weighted,weibull,tight,weighted,3139.0
tight weibull weighted,weibull,tight,weighted,3302.0
tight weibull weighted,weibull,tight,weighted,3245.0
tight weibull weighted,weibull,tight,weighted,3406.0
tight weibull weighted,weibull,tight,weighted,3372.0
tight weibull weighted,weibull,tight,weighted,3465.0
tight weibull weighted,weibull,tight,weighted,3625.0
tight weibull weighted,weibull,tight,weighted,3683.0
tight weibull weighted,weibull,tight,weighted,3693.0
tight weibull weighted,weibull,tight,weighted,3640.0
tight weibull weighted,weibull,tight,weighted,3878.0
tight weibull weighted,weibull,tight,weighted,3920.0
tight weibull weighted,weibull,tight,weighted,3955.0
tight weibull weighted,weibull,tight,weighted,4029.0
tight weibull weighted,weibull,tight,weighted,4005.0
tight weibull weighted,weibull,tight,weighted,4139.0
tight weibull weighted,weibull,tight,weighted,4305.0
tight weibull weighted,weibull,tight,weighted,4345.0
tight weibull weighted,weibull,tight,weighted,4295.0
tight weibull weighted,weibull,tight,weighted,4301.0
tight weibull weighted,weibull,tight,weighted,4550.0
tight weibull weighted,weibull,tight,weighted,4593.0
tight weibull weighted,weibull,tight,weighted,4577.0
tight weibull weighted,weibull,tight,weighted,4886.0
tight weibull weighted,weibull,tight,weighted,4864.0
tight weibull weighted,weibull,tight,weighted,3424.0
tight weibull weighted,weibull,tight,weighted,3576.0
tight weibull weighted,weibull,tight,weighted,3593.0
tight weibull weighted,weibull,tight,weighted,3621.0
tight weibull weighted,weibull,tight,weighted,3633.0
tight weibull weighted,weibull,tight,weighted,3834.0
tight weibull weighted,weibull,tight,weighted,3846.0
tight weibull weighted,weibull,tight,weighted,3919.0
tight weibull weighted,weibull,tight,weighted,4016.0
tight weibull weighted,weibull,tight,weighted,4087.0
tight weibull weighted,weibull,tight,weighted,4225.0
tight weibull weighted,weibull,tight,weighted,4285.0
tight weibull weighted,weibull,tight,weighted,4345.0
tight weibull weighted,weibull,tight,weighted,4550.0
tight weibull weighted,weibull,tight,weighted,4525.0
tight weibull weighted,weibull,tight,weighted,4515.0
tight weibull weighted,weibull,tight,weighted,4866.0
tight weibull weighted,weibull,tight,weighted,4768.0
tight weibull weighted,weibull,tight,weighted,4902.0
tight weibull weighted,weibull,tight,weighted,5016.0
tight weibull weighted,weibull,tight,weighted,4972.0
tight weibull weighted,weibull,tight,weighted,4983.0
tight weibull weighted,weibull,tight,weighted,5186.0
tight weibull weighted,weibull,tight,weighted,5224.0
tight weibull weighted,weibull,tight,weighted,5267.0
tight weibull weighted,weibull,tight,weighted,5472.0
tight weibull weighted,weibull,tight,weighted,5397.0
tight weibull weighted,weibull,tight,weighted,3289.0
tight weibull weighted,weibull,tight,weighted,3226.0
tight weibull weighted,weibull,tight,weighted,3341.0
tight weibull weighted,weibull,tight,weighted,3355.0
tight weibull weighted,weibull,tight,weighted,3480.0
tight weibull weighted,weibull,tight,weighted,3483.0
tight weibull weighted,weibull,tight,weighted,3610.0
tight weibull weighted,weibull,tight,weighted,3670.0
tight weibull weighted,weibull,tight,weighted,3859.0
tight weibull weighted,weibull,tight,weighted,3849.0
tight weibull weighted,weibull,tight,weighted,3858.0
tight weibull weighted,weibull,tight,weighted,3965.0
tight weibull weighted,weibull,tight,weighted,3991.0
tight weibull weighted,weibull,tight,weighted,4203.0
tight weibull weighted,weibull,tight,weighted,4217.0
tight weibull weighted,weibull,tight,weighted,4297.0
tight weibull weighted,weibull,tight,weighted,4416.0
tight weibull weighted,weibull,tight,weighted,4408.0
tight weibull weighted,weibull,tight,weighted,4519.0
tight weibull weighted,weibull,tight,weighted,4525.0
tight weibull weighted,weibull,tight,weighted,4513.0
tight weibull weighted,weibull,tight,weighted,4769.0
tight weibull weighted,weibull,tight,weighted,4800.0
tight weibull weighted,weibull,tight,weighted,4882.0
tight weibull weighted,weibull,tight,weighted,4938.0
tight weibull weighted,weibull,tight,weighted,4908.0
tight weibull weighted,weibull,tight,weighted,5015.0
tight weibull weighted,weibull,tight,weighted,2888.0
tight weibull weighted,weibull,tight,weighted,2933.0
tight weibull weighted,weibull,tight,weighted,2856.0
tight weibull weighted,weibull,tight,weighted,2912.0
tight weibull weighted,weibull,tight,weighted,3122.0
tight weibull weighted,weibull,tight,weighted,3121.0
