site_no,lat_deg_s,lon_deg_w,name,meets_aquiry_def,size_ha,outline_clarity,partial_swath
1,-9.692,-67.276,acre40,y,1.51,s,0
2,-9.828,-67.738,acrq31,y,2.26,g,0
3,-9.745,-67.06,acrs42,y,4.91,g,0
4,-9.849,-67.901,Aeroporto - Estructura I,y,8.75,g,0
5,-9.844,-67.9,Aeroporto - Estructura II,n,3.21,g,0
6,-9.175,-66.939,amae16 - Estructura III,y,1.31,s,1
7,-9.3,-66.508,amag4,y,0.84,g,0
8,-9.273,-66.487,amao9,y,0.83,g,1
9,-9.268,-66.478,amap9 - Estructura I,y,5.53,g,0
10,-9.306,-66.524,amaq22,y,1.42,g,0
11,-9.344,-66.567,amaq36,y,3.58,g,0
12,-9.16,-67.496,amas10,y,0.73,g,0
13,-9.582,-67.282,amas4 - Estructura II,y,3.23,g,0
14,-9.427,-67.246,amas8,y,2.9,g,0
15,-9.987,-67.499,Califórnia - Estrutura I,y,2.89,g,0
16,-9.986,-67.498,Califórnia - Estrutura II,y,2.79,g,0
17,-9.204,-66.973,endig1,y,1.4,g,0
18,-9.84,-67.17,Fazenda Boa Esperança - Estructura I,n,0.97,g,0
19,-9.84,-67.169,Fazenda Boa Esperança - Estructura II,n,0.51,g,0
20,-9.236,-67.01,G.Ch. 4 - 89,y,4.22,g,0
21,-8.757,-67.307,itaur,y,1.53,g,0
22,-8.777,-65.88,Lid24_L01_101a,y,1.55,s,0
23,-8.795,-65.89,Lid24_L01_102a,n,4.05,s,0
24,-8.912,-66.034,Lid24_L01_112a,y,2.36,s,0
25,-8.994,-66.141,Lid24_L01_119a,y,3.8,g,0
26,-9.037,-66.192,Lid24_L01_123a,y,4.41,g,0
27,-9.107,-66.272,Lid24_L01_129a,n,0.8,s,0
28,-9.121,-66.291,Lid24_L01_130a,y,2.33,s,0
29,-9.179,-66.367,Lid24_L01_135a,y,1.97,g,0
30,-9.199,-66.381,Lid24_L01_137a,y,1.46,s,0
31,-9.25,-66.455,Lid24_L01_142a,n,3.62,s,0
32,-9.271,-66.479,Lid24_L01_143a,n,12.8,s,0
33,-9.268,-66.471,Lid24_L01_143b,y,3.31,g,0
34,-9.264,-66.476,Lid24_L01_143c,y,2.6,s,1
35,-9.282,-66.486,Lid24_L01_144a,n,0.51,g,0
36,-9.289,-66.502,Lid24_L01_145a,n,5.8,s,0
37,-9.29,-66.498,Lid24_L01_145b,n,2.43,g,0
38,-9.29,-66.501,Lid24_L01_145c,y,2.54,s,0
39,-9.312,-66.523,Lid24_L01_147b,y,0.5,s,0
40,-9.322,-66.532,Lid24_L01_147c,y,0.43,g,0
41,-9.319,-66.536,Lid24_L01_147d,n,5.52,g,0
42,-9.324,-66.537,Lid24_L01_148b,y,0.27,g,0
43,-9.322,-66.54,Lid24_L01_148d,n,6.17,g,0
44,-9.322,-66.545,Lid24_L01_148e,y,6.58,s,0
45,-9.335,-66.556,Lid24_L01_149b,n,0.45,g,0
46,-9.34,-66.558,Lid24_L01_149e,n,1.26,s,0
47,-9.34,-66.568,Lid24_L01_150a,y,7.17,g,1
48,-9.348,-66.566,Lid24_L01_150c,y,2.43,g,0
49,-9.346,-66.569,Lid24_L01_150d,y,3.58,g,0
50,-9.347,-66.565,Lid24_L01_150e,n,0.56,g,0
51,-9.348,-66.573,Lid24_L01_150g,n,0.5,g,0
52,-9.348,-66.575,Lid24_L01_150h,y,1.96,g,0
53,-9.35,-66.576,Lid24_L01_150j,n,0.84,g,0
54,-9.358,-66.575,Lid24_L01_151a,n,4.67,s,0
