sid,temporada,basin_cod,cuenca,nombre,viento_max_kt,presion_min_mb,categoria,n_observaciones,duracion_dias
2023005S18142,2023,SP,Pacífico Sur,HALE,50.0,985.0,Tormenta tropical,28,3.5
2023013S08081,2023,SI,Índico Sur,CHENESO,80.0,968.0,Cat 1,102,15.38
2023015N36289,2023,NA,Atlántico Norte,UNNAMED,60.0,976.0,Tormenta tropical,11,1.12
2023016S15160,2023,SP,Pacífico Sur,IRENE,55.0,990.0,Tormenta tropical,35,4.75
2023020S18156,2023,SP,Pacífico Sur,UNNAMED,40.0,996.0,Tormenta tropical,34,4.12
2023032S12091,2023,SI,Índico Sur,DINGANI,85.0,972.0,Cat 2,100,13.88
2023036S12117,2023,SI,Índico Sur,FREDDY,140.0,923.0,Cat 5,258,36.88
2023036S12163,2023,SP,Pacífico Sur,GABRIELLE,90.0,958.0,Cat 2,45,5.5
2023050S09094,2023,SI,Índico Sur,ENALA,75.0,982.0,Cat 1,66,8.12
2023054S19117,2023,SI,Índico Sur,UNNAMED,40.0,,Tormenta tropical,42,5.12
2023055S14184,2023,SP,Pacífico Sur,JUDY,110.0,941.0,Cat 3,65,8.0
2023059S15149,2023,SP,Pacífico Sur,KEVIN,135.0,918.0,Cat 4,59,7.25
2023084S11065,2023,SI,Índico Sur,UNNAMED,40.0,,Tormenta tropical,12,1.38
2023087S10096,2023,SI,Índico Sur,HERMAN,130.0,930.0,Cat 4,54,7.0
2023096S07135,2023,SI,Índico Sur,ILSA,140.0,920.0,Cat 5,70,8.5
2023108N03160,2023,WP,Pacífico Noroccidental,SANVU,45.0,999.0,Tormenta tropical,24,2.88
2023129N08091,2023,NI,Índico Norte,MOCHA,145.0,908.0,Cat 5,50,6.12
2023132S03090,2023,SI,Índico Sur,FABIEN,105.0,961.0,Cat 3,86,11.38
2023138N05151,2023,WP,Pacífico Noroccidental,MAWAR,165.0,891.0,Cat 5,116,14.38
2023152N26274,2023,NA,Atlántico Norte,ARLENE,35.0,998.0,Tormenta tropical,16,1.88
2023156N10067,2023,NI,Índico Norte,BIPARJOY,110.0,944.0,Cat 3,113,14.0
2023156N12135,2023,WP,Pacífico Noroccidental,GUCHOL,95.0,958.0,Cat 2,52,6.38
2023160N20092,2023,NI,Índico Norte,UNNAMED,45.0,982.0,Tormenta tropical,15,1.75
2023170N11323,2023,NA,Atlántico Norte,BRET,60.0,996.0,Tormenta tropical,44,5.25
2023173N10320,2023,NA,Atlántico Norte,CINDY,50.0,1004.0,Tormenta tropical,33,4.0
2023179N15256,2023,EP,Pacífico Nororiental,ADRIAN,90.0,970.0,Cat 2,40,4.88
2023180N13264,2023,EP,Pacífico Nororiental,BEATRIZ,75.0,992.0,Cat 1,17,2.0
2023191N10262,2023,EP,Pacífico Nororiental,CALVIN,110.0,953.0,Cat 3,68,8.38
2023193N37305,2023,NA,Atlántico Norte,DON,65.0,986.0,Cat 1,82,10.12
2023194N16123,2023,WP,Pacífico Noroccidental,TALIM,80.0,964.0,Cat 1,62,5.88
2023201N13134,2023,WP,Pacífico Noroccidental,DOKSURI,130.0,928.0,Cat 4,64,8.62
2023207N09141,2023,WP,Pacífico Noroccidental,KHANUN,125.0,924.0,Cat 4,112,13.88
2023212N19090,2023,NI,Índico Norte,UNNAMED,40.0,981.0,Tormenta tropical,30,3.75
2023213N14257,2023,EP,Pacífico Nororiental,DORA,130.0,939.0,Cat 4,91,11.25
2023213N14257,2023,WP,Pacífico Noroccidental,DORA,98.0,967.0,Cat 3,37,4.5
2023217N15256,2023,EP,Pacífico Nororiental,EUGENE,60.0,992.0,Tormenta tropical,16,1.88
2023218N25145,2023,WP,Pacífico Noroccidental,LAN,120.0,932.0,Cat 4,82,9.88
2023225N14248,2023,EP,Pacífico Nororiental,FERNANDA,115.0,949.0,Cat 4,38,4.62
2023226N11222,2023,EP,Pacífico Nororiental,GREG,45.0,1000.0,Tormenta tropical,36,4.75
2023228N12259,2023,EP,Pacífico Nororiental,HILARY,120.0,940.0,Cat 4,38,4.5
2023231N15313,2023,NA,Atlántico Norte,GERT,50.0,998.0,Tormenta tropical,56,16.12
2023231N15327,2023,NA,Atlántico Norte,EMILY,45.0,998.0,Tormenta tropical,10,1.12
2023232N13300,2023,NA,Atlántico Norte,FRANKLIN,130.0,926.0,Cat 4,101,12.38
2023234N18128,2023,WP,Pacífico Noroccidental,SAOLA,140.0,917.0,Cat 5,124,12.25
2023234N19154,2023,WP,Pacífico Noroccidental,DAMREY,60.0,979.0,Tormenta tropical,44,6.88
2023234N25271,2023,NA,Atlántico Norte,HAROLD,50.0,995.0,Tormenta tropical,14,1.62
2023239N16242,2023,EP,Pacífico Nororiental,IRWIN,40.0,998.0,Tormenta tropical,22,2.62
2023239N18144,2023,WP,Pacífico Noroccidental,HAIKUI,105.0,945.0,Cat 3,71,9.88
2023239N21274,2023,NA,Atlántico Norte,IDALIA,115.0,942.0,Cat 4,41,4.88
2023241N10158,2023,WP,Pacífico Noroccidental,KIROGI,70.0,981.0,Cat 1,51,7.62
2023241N28308,2023,NA,Atlántico Norte,JOSE,55.0,996.0,Tormenta tropical,31,3.75
2023242N15339,2023,NA,Atlántico Norte,KATIA,50.0,998.0,Tormenta tropical,28,3.38
2023247N20130,2023,WP,Pacífico Noroccidental,YUN-YEUNG,45.0,988.0,Tormenta tropical,26,3.12
2023248N12257,2023,EP,Pacífico Nororiental,JOVA,140.0,926.0,Cat 5,44,5.38
2023249N12320,2023,NA,Atlántico Norte,LEE,145.0,926.0,Cat 5,86,10.62
2023251N16334,2023,NA,Atlántico Norte,MARGOT,80.0,969.0,Cat 1,76,9.38
2023258N14318,2023,NA,Atlántico Norte,NIGEL,85.0,971.0,Cat 2,56,6.88
2023261N13248,2023,EP,Pacífico Nororiental,KENNETH,45.0,1000.0,Tormenta tropical,26,3.12
2023265N29284,2023,NA,Atlántico Norte,OPHELIA,60.0,981.0,Tormenta tropical,11,1.12
2023266N16323,2023,NA,Atlántico Norte,PHILIPPE,50.0,998.0,Tormenta tropical,106,13.0
2023271N14144,2023,WP,Pacífico Noroccidental,KOINU,120.0,936.0,Cat 4,100,10.38
