cuenca,periodo,lead_h,error_pista_km,n_pista,error_intensidad_kt,n_intensidad
ATL,1995-2004,12,74.61,2641,6.67,2638
ATL,1995-2004,24,133.74,2361,10.24,2358
ATL,1995-2004,36,189.91,2108,12.99,2107
ATL,1995-2004,48,243.42,1899,15.57,1898
ATL,1995-2004,72,357.86,1554,18.5,1552
ATL,1995-2004,96,391.11,447,19.16,447
ATL,1995-2004,120,515.37,364,21.94,364
ATL,2005-2014,12,52.85,2375,6.98,2375
ATL,2005-2014,24,86.84,2077,10.54,2077
ATL,2005-2014,36,119.36,1822,12.95,1822
ATL,2005-2014,48,154.19,1601,14.85,1601
ATL,2005-2014,72,227.53,1219,16.3,1219
ATL,2005-2014,96,324.29,935,15.67,935
ATL,2005-2014,120,428.65,717,16.32,717
ATL,2015-2024,12,41.08,2783,5.63,2783
ATL,2015-2024,24,62.44,2436,8.16,2436
ATL,2015-2024,36,83.65,2146,9.69,2146
ATL,2015-2024,48,109.24,1885,11.02,1885
ATL,2015-2024,72,165.21,1432,12.14,1432
ATL,2015-2024,96,235.0,1111,13.77,1111
ATL,2015-2024,120,327.69,854,14.99,854
EPAC,1995-2004,12,69.24,2599,6.13,2589
EPAC,1995-2004,24,125.85,2327,10.82,2312
EPAC,1995-2004,36,179.83,2049,14.33,2042
EPAC,1995-2004,48,227.87,1786,16.53,1783
EPAC,1995-2004,72,324.22,1352,18.78,1352
EPAC,1995-2004,96,387.0,328,18.59,328
EPAC,1995-2004,120,474.59,205,19.57,205
EPAC,2005-2014,12,50.22,2606,6.02,2606
EPAC,2005-2014,24,81.31,2298,10.07,2298
EPAC,2005-2014,36,109.65,1998,13.04,1998
EPAC,2005-2014,48,137.48,1731,14.64,1731
EPAC,2005-2014,72,192.69,1276,16.28,1276
EPAC,2005-2014,96,255.0,913,17.35,913
EPAC,2005-2014,120,321.77,619,16.58,619
EPAC,2015-2024,12,40.93,2875,5.9,2875
EPAC,2015-2024,24,62.6,2527,9.5,2527
EPAC,2015-2024,36,82.08,2209,11.56,2209
EPAC,2015-2024,48,100.84,1924,13.24,1924
EPAC,2015-2024,72,144.35,1454,15.41,1453
EPAC,2015-2024,96,189.44,1077,16.1,1077
EPAC,2015-2024,120,234.9,790,17.06,790
