muestra,metal,concentracion_ppm
PVC residuo,Ca,15958
PVC residuo,Mg,299
PVC residuo,Al,227
PVC residuo,Ti,259
PVC residuo,Cr,0
PVC residuo,Sn,94
PVC residuo,Fe,0
PVC residuo,Zn,117
PVC lavado,Ca,2232
PVC lavado,Mg,0
PVC lavado,Al,0
PVC lavado,Ti,101
PVC lavado,Cr,0
PVC lavado,Sn,61
PVC lavado,Fe,0
PVC lavado,Zn,68
PVC virgen,Ca,0
PVC virgen,Mg,0
PVC virgen,Al,0
PVC virgen,Ti,5
PVC virgen,Cr,0
PVC virgen,Sn,0
PVC virgen,Fe,0
PVC virgen,Zn,0
v8PAO,Ca,0
v8PAO,Mg,0
v8PAO,Al,0
v8PAO,Ti,6
v8PAO,Cr,0
v8PAO,Sn,0
v8PAO,Fe,0
v8PAO,Zn,0
v10PAO-mix-hexanos,Ca,0
v10PAO-mix-hexanos,Mg,0
v10PAO-mix-hexanos,Al,0
v10PAO-mix-hexanos,Ti,7
v10PAO-mix-hexanos,Cr,0
v10PAO-mix-hexanos,Sn,0
v10PAO-mix-hexanos,Fe,0
v10PAO-mix-hexanos,Zn,0
