subred,nombre,emisiones_kg_mwh,generacion_neta_mwh
NYUP,NPCC Upstate NY,110,85283183
CAMX,WECC California,194,220986983
AKMS,ASCC Miscellaneous,236,1582032
NEWE,NPCC New England,244,102716863
SRVC,SERC Virginia/Carolina,269,319478861
RFCE,RFC East,270,284874109
NWPP,WECC Northwest,286,269253053
AZNM,WECC Southwest,319,175554660
ERCT,ERCOT All,332,477137386
SRMV,SERC Mississippi Valley,335,176359170
FRCC,FRCC All,354,250055524
SRSO,SERC South,382,256144699
SPNO,SPP North,390,73458953
NYCW,NPCC NYC/Westchester,392,34602268
SPSO,SPP South,395,158074960
SRTV,SERC Tennessee Valley,407,209324308
AKGD,ASCC Alaska Grid,408,5096873
RFCW,RFC West,413,524352082
MROW,MRO West,417,240934539
RFCM,RFC Michigan,440,91629482
RMPA,WECC Rockies,470,67674810
HIMS,HICC Miscellaneous,509,2611613
NYLI,NPCC Long Island,535,9823462
SRMW,SERC Midwest,562,105391939
MROE,MRO East,633,24520968
HIOA,HICC Oahu,675,6547005
PRMS,Puerto Rico Miscellaneous,699,17501153
