anio,clase_2y3,clase_3,clase_2,clase_1,series_con_crecida
1300,1,1,0,0,1
1301,0,0,0,0,0
1302,0,0,0,0,0
1303,0,0,0,0,0
1304,0,0,0,0,0
1305,0,0,0,0,0
1306,0,0,0,0,0
1307,0,0,0,0,0
1308,0,0,0,0,0
1309,4,0,4,0,4
1310,7,1,6,1,8
1311,0,0,0,0,0
1312,1,0,1,0,1
1313,0,0,0,0,0
1314,0,0,0,0,0
1315,8,1,7,0,8
1316,12,6,6,0,12
1317,0,0,0,0,0
1318,0,0,0,0,0
1319,0,0,0,0,0
1320,0,0,0,0,0
1321,2,0,2,0,2
1322,0,0,0,0,0
1323,0,0,0,0,0
1324,0,0,0,0,0
1325,0,0,0,0,0
1326,0,0,0,0,0
1327,1,0,1,0,1
1328,0,0,0,0,0
1329,0,0,0,0,0
1330,0,0,0,0,0
1331,0,0,0,0,0
1332,0,0,0,0,0
1333,5,0,5,0,5
1334,1,1,0,0,1
1335,2,2,0,1,3
1336,0,0,0,1,1
1337,1,0,1,0,1
1338,0,0,0,0,0
1339,0,0,0,1,1
1340,0,0,0,0,0
1341,2,0,2,1,3
1342,62,26,36,10,72
1343,25,19,6,5,30
1344,2,1,1,0,2
1345,19,1,18,0,19
1346,1,0,1,0,1
1347,1,0,1,0,1
1348,0,0,0,0,0
1349,3,1,2,0,3
1350,0,0,0,0,0
1351,0,0,0,0,0
1352,0,0,0,0,0
1353,0,0,0,0,0
1354,0,0,0,0,0
1355,1,1,0,0,1
1356,1,0,1,0,1
1357,1,1,0,1,2
1358,0,0,0,0,0
1359,9,0,9,0,9
1360,0,0,0,0,0
1361,1,1,0,0,1
1362,1,0,1,0,1
1363,0,0,0,1,1
1364,1,0,1,0,1
1365,1,0,1,0,1
1366,5,0,5,1,6
1367,4,0,4,1,5
1368,1,0,1,0,1
1369,0,0,0,0,0
1370,3,0,3,0,3
1371,0,0,0,0,0
1372,4,0,4,1,5
1373,1,0,1,0,1
1374,21,1,20,1,22
1375,0,0,0,0,0
1376,1,0,1,0,1
1377,0,0,0,2,2
1378,0,0,0,1,1
1379,1,1,0,0,1
1380,0,0,0,0,0
1381,0,0,0,1,1
1382,0,0,0,0,0
1383,1,0,1,0,1
1384,0,0,0,0,0
1385,13,0,13,0,13
1386,1,0,1,0,1
1387,3,0,3,0,3
1388,0,0,0,0,0
1389,0,0,0,0,0
1390,0,0,0,0,0
1391,0,0,0,0,0
1392,2,0,2,0,2
1393,0,0,0,0,0
1394,0,0,0,0,0
1395,0,0,0,0,0
1396,6,2,4,1,7
1397,0,0,0,0,0
1398,0,0,0,0,0
1399,7,0,7,0,7
1400,4,0,4,0,4
1401,0,0,0,0,0
1402,8,2,6,0,8
1403,0,0,0,0,0
1404,5,0,5,0,5
1405,5,0,5,0,5
1406,2,0,2,0,2
1407,0,0,0,0,0
1408,8,1,7,0,8
1409,0,0,0,0,0
1410,0,0,0,0,0
1411,0,0,0,0,0
1412,0,0,0,1,1
1413,5,0,5,0,5
1414,2,0,2,0,2
1415,8,0,8,0,8
1416,0,0,0,1,1
1417,0,0,0,0,0
1418,0,0,0,0,0
1419,0,0,0,0,0
1420,0,0,0,0,0
1421,3,1,2,0,3
1422,9,1,8,0,9
1423,0,0,0,0,0
1424,3,0,3,0,3
1425,0,0,0,0,0
1426,0,0,0,0,0
1427,1,0,1,0,1
1428,0,0,0,0,0
1429,0,0,0,0,0
1430,1,0,1,0,1
1431,0,0,0,0,0
1432,15,5,10,0,15
1433,12,3,9,0,12
1434,3,0,3,2,5
1435,1,1,0,0,1
1436,2,0,2,0,2
1437,2,0,2,0,2
1438,2,0,2,0,2
1439,2,0,2,0,2
1440,0,0,0,2,2
1441,1,0,1,0,1
1442,0,0,0,1,1
1443,1,0,1,4,5
1444,0,0,0,2,2
1445,5,0,5,1,6
1446,0,0,0,1,1
1447,0,0,0,1,1
1448,0,0,0,0,0
1449,0,0,0,0,0
1450,0,0,0,0,0
1451,1,0,1,0,1
1452,0,0,0,0,0
1453,0,0,0,0,0
