categoria_en,categoria_es,n_registros,n_1341,n_1342,n_1343,severidad_media,severidad_max
"harvest/fields destroyed, weak yields (of main products: e.g. grain, grapevine, ",cosechas y campos destruidos,43,0,19,24,3.79,5.0
"(very) high grain prices, food shortage, dearth, starvation, famine",hambruna y precios del grano disparados,42,1,13,24,4.05,5.0
houses damaged/destroyed,casas dañadas o destruidas,39,0,26,13,3.31,5.0
bridges destroyed,puentes destruidos,34,0,25,9,4.53,5.0
"spiritual/religious impacts (God's punishment/wrath, public prayers/processions ",reacción religiosa,24,0,8,13,2.17,4.0
"casualties, fatalities",víctimas mortales,22,0,12,10,4.14,5.0
"damage to vineyards, wine destroyed","viñedos arrasados, vino perdido",17,0,9,8,3.65,5.0
"legal process/field survey delayed/obstructed, legal process related to flood",procesos legales y deslindes frenados,17,2,8,7,2.71,5.0
"main road(s)/travel routes destroyed/travel blocked, severely disturned",caminos y rutas bloqueados,14,1,8,5,3.36,4.0
major fire,incendios mayores,14,0,11,3,4.29,5.0
animals perished,animales muertos,13,2,8,3,4.38,5.0
"fear, distress",miedo y angustia,13,0,5,8,4.08,5.0
townwall damaged/overflown,murallas dañadas o desbordadas,11,0,8,3,4.82,5.0
"mass erosion, sedimentation, hydromorphological change",erosión masiva y sedimentos,10,0,8,2,4.0,5.0
"goods lost, destroyed",bienes perdidos,9,0,9,0,3.89,5.0
"illness, disease",enfermedades,9,0,6,3,3.78,4.0
dyke breach / dam failure,rotura de diques o presas,8,0,7,1,4.38,5.0
ships destroyed,barcos destruidos,7,0,3,4,4.14,5.0
"settlement(s), lands swept (with church) away, relocated, remained deserted",poblados y tierras sumergidos,7,0,6,1,4.43,5.0
flood protection,obras de protección contra crecidas,7,0,2,4,3.43,5.0
Jewish punished/burnt,persecución de comunidades judías,7,0,5,1,3.43,5.0
astronomy,observaciones astronómicas,6,0,2,4,1.83,5.0
mills destroyed,molinos destruidos,5,0,4,1,4.2,5.0
island(s) submerged/destroyed,islas sumergidas,3,0,3,0,5.0,5.0
loss of trees,árboles perdidos,3,1,2,0,3.33,4.0
"(tax-related) social conflict, new tax(es)","(tax-related) social conflict, new tax(es)",3,0,2,1,3.33,4.0
"broken fishponds, flooded (or damaged) cisterns",estanques y pesquerías rotos,2,0,2,0,5.0,5.0
flood marks/memorials,marcas de crecida y memoriales,1,0,1,0,5.0,5.0
army operations hindered or entirely blocked,operaciones militares frenadas,1,0,1,0,3.0,3.0
