tiempo_min,dosis_glucosa_g_kg,raton,luminiscencia_x1e7
0,0,1,0.01815
0,0,2,0.003482
0,0,3,0.008314
0,0,4,0.1116
0,0,5,0.1534
0,0,6,0.05564
0,0.1,1,0.5074
0,0.1,2,0.01823
0,0.1,3,0.3818
0,0.1,4,0.003909
0,0.1,5,0.002201
0,0.1,6,0.1018
0,1,1,0.003024
0,1,2,0.02826
0,1,3,0.08406
0,1,4,0.0101
0,1,5,0.3623
0,1,6,0.2579
0,5,1,0.01271
0,5,2,0.05427
0,5,3,0.01011
0,5,4,0.7844
0,5,5,0.6847
0,5,6,0.03508
15,0,1,0.004754
15,0,2,0.4424
15,0,3,0.08392
15,0,4,0.4005
15,0,5,0.4898
15,0,6,0.0228
15,0.1,1,0.4232
15,0.1,2,2.367
15,0.1,3,0.4279
15,0.1,4,2.453
15,0.1,5,0.746
15,0.1,6,2.07
15,1,1,0.8822
15,1,2,1.226
15,1,3,0.1755
15,1,4,5.139
15,1,5,0.6577
15,1,6,1.751
15,5,1,1.179
15,5,2,1.044
15,5,3,2.531
15,5,4,2.542
15,5,5,1.231
15,5,6,2.402
30,0,1,0.3536
30,0,2,0.4969
30,0,3,0.01161
30,0,4,0.1892
30,0,5,0.5253
30,0,6,0.01814
30,0.1,1,0.6187
30,0.1,2,2.507
30,0.1,3,0.295
30,0.1,4,2.266
30,0.1,5,2.195
30,0.1,6,3.41
30,1,1,1.62
30,1,2,1.423
30,1,3,0.9524
30,1,4,6.176
30,1,5,1.361
30,1,6,2.324
30,5,1,1.263
30,5,2,1.12
30,5,3,3.667
30,5,4,3.66
30,5,5,4.376
30,5,6,4.474
45,0,1,0.06486
45,0,2,0.2864
45,0,3,0.02711
45,0,4,0.0621
45,0,5,0.2953
45,0,6,0.02332
45,0.1,1,0.5918
45,0.1,2,0.9686
45,0.1,3,1.483
45,0.1,4,0.847
45,0.1,5,2.648
45,0.1,6,4.503
45,1,1,2.696
45,1,2,1.509
45,1,3,3.785
45,1,4,4.566
45,1,5,2.677
45,1,6,0.8883
45,5,1,4.797
45,5,2,3.756
45,5,3,5.184
45,5,4,2.344
45,5,5,3.931
45,5,6,4.868
60,0,1,0.245
60,0,2,0.0783
60,0,3,0.0314
60,0,4,0.106
60,0,5,0.317
60,0,6,0.0158
60,0.1,1,0.31
60,0.1,2,0.891
60,0.1,3,0.894
60,0.1,4,0.683
60,0.1,5,1.84
60,0.1,6,2.53
60,1,1,1.54
60,1,2,0.651
60,1,3,3.31
60,1,4,2.93
60,1,5,0.746
60,1,6,0.409
60,5,1,3.33
60,5,2,2.58
60,5,3,4.23
60,5,4,1.62
60,5,5,2.56
60,5,6,2.49
