dia,mono,peso_kg
-5,1,7.06
-5,2,8.2
-5,3,8.36
-5,4,5.4
-5,5,9.8
1,1,7.04
1,2,8.1
1,3,8.36
1,4,5.4
1,5,9.9
4,1,7.08
4,2,8.08
4,3,8.28
4,4,5.42
4,5,9.84
7,1,7.02
7,2,8.02
7,3,8.32
7,4,5.26
7,5,9.84
10,1,7
10,2,8.02
10,3,8.2
10,4,5.2
10,5,9.84
13,1,7.02
13,2,8
13,3,8.22
13,4,5.22
13,5,9.74
16,1,6.98
16,2,7.98
16,3,8.18
16,4,5.18
16,5,9.7
19,1,7.04
19,2,8.04
19,3,8.18
19,4,5.22
19,5,9.8
22,1,6.92
22,2,8.02
22,3,8.08
22,4,5.26
22,5,9.76
25,1,6.86
25,2,8.06
25,3,8.08
25,4,5.24
25,5,9.84
28,1,6.8
28,2,8.02
28,3,8.16
28,4,5.22
28,5,9.76
31,1,6.8
31,2,8.06
31,3,8.14
31,4,5.22
31,5,9.72
34,1,6.78
34,2,7.98
34,3,8.08
34,4,5.2
34,5,9.7
