tiempo_h,secuencia_glucosa_mM,replica,luminiscencia_x1e4
0,0-20-0,1,0.7126
0,0-20-0,2,0.6431
0,0-20-0,3,0.7101
0,20-0-20,1,0.7229
0,20-0-20,2,0.6052
0,20-0-20,3,0.6264
1,0-20-0,1,1.0046
1,0-20-0,2,0.8315
1,0-20-0,3,0.9518
1,20-0-20,1,0.4768
1,20-0-20,2,0.3812
1,20-0-20,3,0.4472
2,0-20-0,1,1.5702
2,0-20-0,2,1.18
2,0-20-0,3,1.3809
2,20-0-20,1,0.2115
2,20-0-20,2,0.1673
2,20-0-20,3,0.2136
3,0-20-0,1,1.3432
3,0-20-0,2,1.1282
3,0-20-0,3,1.4818
3,20-0-20,1,0.2762
3,20-0-20,2,0.2355
3,20-0-20,3,0.3085
4,0-20-0,1,1.1949
4,0-20-0,2,1.0479
4,0-20-0,3,1.1612
4,20-0-20,1,0.5207
4,20-0-20,2,0.3622
4,20-0-20,3,0.3987
5,0-20-0,1,1.0107
5,0-20-0,2,0.7542
5,0-20-0,3,0.8988
5,20-0-20,1,0.8105
5,20-0-20,2,0.5905
5,20-0-20,3,0.7526
6,0-20-0,1,0.4624
6,0-20-0,2,0.4302
6,0-20-0,3,0.5088
6,20-0-20,1,1.4168
6,20-0-20,2,1.1321
6,20-0-20,3,1.2838
7,0-20-0,1,0.2759
7,0-20-0,2,0.2648
7,0-20-0,3,0.3218
7,20-0-20,1,1.4337
7,20-0-20,2,1.1757
7,20-0-20,3,1.3131
8,0-20-0,1,0.7955
8,0-20-0,2,0.5604
8,0-20-0,3,0.641
8,20-0-20,1,1.3193
8,20-0-20,2,1.1949
8,20-0-20,3,1.1094
9,0-20-0,1,1.6768
9,0-20-0,2,1.4086
9,0-20-0,3,1.5137
9,20-0-20,1,1.0813
9,20-0-20,2,0.9518
9,20-0-20,3,0.8186
10,0-20-0,1,1.631
10,0-20-0,2,1.5352
10,0-20-0,3,1.684
10,20-0-20,1,0.736
10,20-0-20,2,0.6052
10,20-0-20,3,0.5402
11,0-20-0,1,1.7114
11,0-20-0,2,1.5395
11,0-20-0,3,1.7432
11,20-0-20,1,0.4723
11,20-0-20,2,0.3987
11,20-0-20,3,0.3269
