rama,tipo,frecuencia_THz,desplaz_relativo_x,desplaz_relativo_y
1,acustica,-0.0,0.0,0.0
2,acustica,0.0,0.0,0.0
3,acustica,0.0,0.0,0.0
4,optica,3.8783,0.0,0.0537830805897136
5,optica,3.8783,0.0,0.9462169194102912
6,optica,11.9685,0.5000000000000036,0.0
7,optica,11.9685,0.5000000000000036,0.0
8,optica,13.6528,0.0,0.0
9,optica,13.6528,0.0,0.0
10,optica,15.2903,0.18459433596325006,0.7524870948698081
11,optica,15.2903,0.5508962999690203,0.032775196834662984
12,optica,15.2903,0.2645093640677257,0.21473770829551653
