rho_x,rho_y,mse
0.0,0.0,0.0016907748170504773
0.02,0.0,0.0016325886737592191
0.04,0.0,0.001643548705787995
0.06,0.0,0.0016376572236039368
0.08,0.0,0.0016425110203208044
0.1,0.0,0.0016370750233208652
0.12,0.0,0.0016310804236275745
0.14,0.0,0.0016064195377369448
0.16,0.0,0.0016036783625714127
0.18,0.0,0.001609264064925702
0.2,0.0,0.0015986370546895972
0.22,0.0,0.0015927755903744746
0.24,0.0,0.001580407438154904
0.26,0.0,0.001569296047436749
0.28,0.0,0.00157134631672751
0.3,0.0,0.0015299831257962356
0.32,0.0,0.0015415915320574018
0.34,0.0,0.0015476871218762262
0.36,0.0,0.0015263475857037923
0.38,0.0,0.0015381654920979797
0.4,0.0,0.001532026157701105
0.42,0.0,0.0015374922844505095
0.44,0.0,0.0015416103125472128
0.46,0.0,0.0015186065510938958
0.48,0.0,0.0015501838241405248
0.5,0.0,0.001533551821116364
0.52,0.0,0.0015329212475214758
0.54,0.0,0.0015557572867753865
0.56,0.0,0.001563197327103407
0.58,0.0,0.001573889867448986
0.6,0.0,0.0016143074156398643
0.62,0.0,0.0016030920300685724
0.64,0.0,0.0016416638838504835
0.66,0.0,0.001667245944220663
0.68,0.0,0.001739287102568707
0.7,0.0,0.0017552544515081188
0.72,0.0,0.001751178197579966
0.74,0.0,0.0018510567236803587
0.76,0.0,0.001807526683006638
0.78,0.0,0.0018966784285724097
0.8,0.0,0.001894438433328488
0.0,0.02,0.0016714954932829712
0.02,0.02,0.0016750644621062682
0.04,0.02,0.0016752687291115215
0.06,0.02,0.0016271438206619205
0.08,0.02,0.00163500533515903
0.1,0.02,0.001645551466600293
0.12,0.02,0.0016114821648040047
0.14,0.02,0.001608999761145851
0.16,0.02,0.001579231864511985
0.18,0.02,0.0016162400935767866
0.2,0.02,0.0015811602719291347
0.22,0.02,0.001564080641312517
0.24,0.02,0.0015531714015060518
0.26,0.02,0.001556318982033115
0.28,0.02,0.0015660252658732266
0.3,0.02,0.0015531352758688314
0.32,0.02,0.0015454271233897288
0.34,0.02,0.0015451917790319197
0.36,0.02,0.0015340038359181066
0.38,0.02,0.001523042009041165
0.4,0.02,0.001537122580459317
0.42,0.02,0.0015248087484390326
0.44,0.02,0.0015314459559647058
0.46,0.02,0.0015177599762625103
0.48,0.02,0.00153087159713269
0.5,0.02,0.0015366656250446692
0.52,0.02,0.0015541987429191274
0.54,0.02,0.0015701422299022562
0.56,0.02,0.001568844224100684
0.58,0.02,0.0015975540108641615
0.6,0.02,0.001584632330553548
0.62,0.02,0.0016251080220266803
0.64,0.02,0.001634518021443306
0.66,0.02,0.0016852454632856775
0.68,0.02,0.0017212199597630778
0.7,0.02,0.001704510702706191
0.72,0.02,0.0017566493291949667
0.74,0.02,0.0018296604859303265
