radio_px,intensidad_300K,intensidad_500K,intensidad_900K
0,0.002241060368149073,0.00174088779598234,0.002978549763182657
1,0.002277023922906817,0.0017870353319089894,0.0030354725161630975
2,0.0023590175072290107,0.0016476241058205902,0.0029336832587748577
3,0.0020745767680884946,0.0014527223948363394,0.002528268263321961
4,0.0015325745121924932,0.001258611659806673,0.001937566006842308
5,0.001169433411495484,0.0010486329436045696,0.0014653219127154762
6,0.0009507460228673832,0.0009031731086954722,0.0011570993245904274
7,0.0008160440944975941,0.0008609906956906002,0.0009467959265179487
8,0.0007767407122714274,0.0008829231002095948,0.0008465998551079321
9,0.0007849193928859916,0.0009203250745096786,0.0007983587984744474
10,0.0008237300318758547,0.0009726349688980187,0.0008053723160039722
11,0.0008528293269231495,0.0010205788268124135,0.0008434879282731697
12,0.0008589215027006221,0.0009062746498357235,0.0007207246277771061
13,0.000723695020107712,0.000703038998071877,0.0005353690331739181
14,0.0006293138342418442,0.0006139766037083188,0.00048234923738916255
15,0.0005083604995080541,0.0005131528791607161,0.0004194200199484564
16,0.00041911883698776784,0.00042175386408167554,0.000373741515432407
17,0.0003344015105980401,0.0003447216247379208,0.0003290600795009178
18,0.0002574556646400803,0.0002708842123183498,0.00028088853691016327
19,0.00018652016818815085,0.00019874439558631012,0.0002250974650452128
20,0.00012063798314993591,0.00013820748271508386,0.00016019620625336834
21,7.695958081964639e-05,9.638188483640255e-05,0.00011088127358609036
22,5.862147987655295e-05,7.058136479428413e-05,8.060676350730517e-05
23,4.9514856352192595e-05,5.520563382316069e-05,5.8878082478336905e-05
24,4.289515166152906e-05,4.4230626832737166e-05,4.1868551300413394e-05
25,3.88650426173635e-05,3.6952398080697896e-05,2.9370647277989293e-05
26,3.430135934795252e-05,3.144054293303032e-05,2.2625466094644967e-05
27,3.0006314063019342e-05,2.7816022364359282e-05,1.8711818269548956e-05
28,2.4252998638603514e-05,2.3930500338248293e-05,1.5651785357600797e-05
29,1.9401941838828332e-05,2.0001702486740396e-05,1.370505124750821e-05
30,1.6569360454530234e-05,1.7630669707049737e-05,1.258912201397916e-05
31,1.4455087829475892e-05,1.5012642710384363e-05,1.129145485990894e-05
32,1.34585773307109e-05,1.3475966544751505e-05,1.0569274368944244e-05
33,1.2485856418595578e-05,1.2117282148144935e-05,9.532041362073393e-06
34,1.1854930894679288e-05,1.1117788760521848e-05,8.507531508613707e-06
35,1.130502499924934e-05,1.0610834311045258e-05,7.71848931126336e-06
36,1.0511120878470577e-05,9.851768033856952e-06,6.726435243110957e-06
