nombre,mh,mh_err,edad_gyr,edad_err,dist_kpc,ebv,dm,dyn,grupo,fuente,carma_paper,l_deg,b_deg,r_gc_kpc
NGC4372,-1.71,0.035,14.48,0.12,5.6,0.48,13.74,M-D,MW-insitu,SupplTabla1,este trabajo,300.993,-9.884,7.15
NGC4833,-1.62,0.05,13.43,0.245,6.58,0.33,14.09,GSE,GSE,SupplTabla1,este trabajo,303.604,-8.015,7.12
NGC5986,-1.37,0.05,13.61,0.135,10.38,0.29,15.08,low-E,LKH-cand,SupplTabla1,este trabajo,337.022,13.268,4.76
NGC6093,-1.59,0.025,13.72,0.055,10.23,0.21,15.05,low-E,LKH-cand,SupplTabla1,este trabajo,352.673,19.463,3.9
NGC6121,-1.01,0.06,12.24,0.26,1.94,0.43,11.44,low-E,LKH-cand,SupplTabla1,este trabajo,350.973,15.972,6.31
NGC6144,-1.57,0.04,14.09,0.225,7.91,0.44,14.49,low-E,LKH-cand,SupplTabla1,este trabajo,351.929,15.701,2.46
NGC6254,-1.34,0.07,13.71,0.305,5.18,0.26,13.57,low-E,LKH-cand,SupplTabla1,este trabajo,15.137,23.076,4.25
NGC6256,-1.36,0.1,13.31,0.305,7.8,1.11,14.46,M-B/low-E,LKH-cand,SupplTabla1,este trabajo,347.792,3.307,1.78
NGC6397,-1.73,0.115,14.17,0.43,2.5,0.17,11.99,M-D,MW-insitu,SupplTabla1,este trabajo,338.165,-11.96,5.94
NGC6401,-1.02,0.035,13.66,0.46,7.21,0.93,14.29,M-B/low-E,LKH-cand,SupplTabla1,este trabajo,3.451,3.98,1.15
NGC6453,-1.44,0.055,13.54,0.23,10.42,0.64,15.09,M-B/low-E,LKH-cand,SupplTabla1,este trabajo,355.717,-3.872,2.48
NGC6535,-1.53,0.06,13.55,0.295,6.28,0.42,13.99,low-E,LKH-cand,SupplTabla1,este trabajo,27.176,10.436,4.02
NGC6541,-1.44,0.035,13.31,0.285,7.59,0.11,14.4,low-E,LKH-cand,SupplTabla1,este trabajo,349.286,-11.188,2.18
NGC6656,-1.58,0.03,14.4,0.245,3.33,0.36,12.61,M-D,MW-insitu,SupplTabla1,este trabajo,9.892,-7.552,4.92
NGC6681,-1.39,0.06,13.78,0.225,9.29,0.1,14.84,low-E,LKH-cand,SupplTabla1,este trabajo,2.853,-12.51,2.26
