age_AD,CH4
1810,803.44
1790,802.18
1770,782.64
1750,799.80
1730,748.20
1710,756.20
1690,802.20
1670,770.50
1650,748.00
1630,733.50
1610,751.00
1590,762.20
1570,786.70
1550,806.80
1530,816.51
1510,797.46
1490,779.40
1470,771.40
1450,765.87
1430,770.20
1410,774.53
1390,776.80
1370,770.80
1350,764.70
1330,758.20
1310,755.80
1290,761.05
1270,762.55
1250,750.40
1230,762.92
1210,778.47
1190,781.75
1170,785.02
1150,779.47
1130,771.95
1110,771.68
1090,771.41
1070,771.14
1050,770.67
1030,770.00
1010,769.33
990,769.20
970,769.60
950,770.00
930,770.40
910,770.80
890,774.00
870,780.00
850,786.00
830,753.60
810,721.20
790,710.68
770,722.05
750,733.42
730,744.79
710,756.16
690,752.21
670,743.16
650,734.11
630,725.05
610,716.00
590,723.82
570,731.64
550,739.45
530,747.27
510,755.09
490,758.19
470,756.56
450,754.94
430,753.32
410,751.69
