depth_m,age_AD,CH4
114.77,1812.3,787.2
116.17,1807.4,785.9
118.35,1799.5,785.1
119.05,1796.6,778.5
120.57,1790.1,783.8
121.68,1785.4,787.4
122.55,1781.7,770.5
123.035,1779.6,781.3
124.79,1771.7,768.6
125.45,1768.7,764.8
127.408,1759.9,761.8
128.17,1756.9,756.5
130.09,1749.3,765
130.883,1746.2,760.1
131.555,1743.6,755.6
133.05,1737.9,753.5
134.72,1731.8,743
135.82,1727.8,740.9
139.05,1715.8,731.1
142.45,1702.6,734.2
146.35,1685.9,742.1
149.435,1672.3,740.1
151.95,1661.1,731.8
156.05,1644.2,734.5
159.05,1631.5,736
163.05,1613.7,728.6
165.95,1599.9,725.2
168.97,1587.3,720.8
170.95,1579.1,729.4
172.05,1574.7,732.9
174.27,1565.9,748.8
175.2,1562.2,761.3
176.05,1558.8,763.8
178.84,1546.9,764.2
180.73,1538.9,759.6
182.35,1531.6,758.7
186.05,1515.1,748.4
189.23,1501.2,741.7
193.15,1484.5,730.4
195.18,1476.1,721
196.15,1472.3,718.3
198.39,1463.4,718.2
201.88,1448.1,723.8
203.05,1442.8,722.4
203.545,1440.6,723.4
205.05,1434.1,721.3
207.6,1423.1,714
208.21,1420.5,715
210.95,1410,719.3
212.15,1405.4,722.5
212.25,1405,723
216.05,1389.5,729.6
219.45,1374.6,729.7
222.95,1358,727.8
224.64,1349.7,719
226.41,1341,719
227.66,1335.3,730.1
229.35,1327.6,731.5
230.85,1320.8,736.5
232.595,1312.7,735.5
234.23,1305.2,737.2
235.95,1296.8,726.9
237.445,1289,724.6
240.53,1273,726.1
242.85,1261.2,721
246.36,1243.9,717.2
249.09,1230,716.5
251.45,1218,724
253.35,1208.8,731.8
254.49,1203.3,733.4
255.95,1196.1,737.2
257.13,1190.2,739.2
257.23,1189.7,739.4
260.6,1172.6,738.1
263.225,1159.2,738.7
265.32,1149.6,740
270.95,1125.9,731.4
273.145,1116.5,730.9
276.05,1102,729.2
279.563,1087.9,727
281.58,1080.1,721.3
283.62,1072.4,713
284.46,1069.3,710.9
286.52,1061.6,726.1
288.05,1055.1,726.7
289.95,1046.7,730.1
291.41,1040.3,727.4
294.15,1029,725.1
295.635,1022.9,722.2
296.045,1021.2,728.3
299.95,1004.6,717.1
303.15,991.8,711.5
304.95,984.8,708.6
307.95,972.4,703.9
311.28,957.9,694.9
311.383,957.4,699.5
314.23,943.8,691.7
317.95,925.6,701
320.89,914.2,695.2
324.95,901,693.5
328.95,878.2,696.3
331.95,859.2,689.3
334.95,843.4,693.8
338.95,820.7,694.6
340.95,810.8,683.9
344.75,791.1,667.4
345.71,785.9,666.2
359.84,708.7,694.1
363.05,692.6,683.3
366.95,675,679.1
370.95,657,676.1
373.95,643.3,679
375.35,637,676
376.35,632.7,676.8
377.95,625.8,674.5
381.16,611.4,691.3
383.95,598.7,694.2
386.95,585,697.5
392.15,559.7,703.9
392.95,555.9,702.1
397.16,536.4,695.1
398.05,532.4,689.9
399.95,524,677.1
403.05,512.6,675.2
403.85,509.9,677.7
406.35,501.5,690.9
408.95,490.3,683.3
411.05,480.9,679
413.05,471.4,670.3
417.25,450.8,674.2
420.05,436.7,675.6
423.05,420.7,665.9
425.95,407,659.4
427.35,400.4,667.6
428.95,392.4,673.4
431.95,377.7,683
434.35,367.2,683.1
438.05,351.1,680.7
440.95,338,683.5
444.05,317.4,677.9
447.05,297.6,677.9
448.25,290.2,679.1
449.65,281.7,690.1
452.95,264.5,692
455.45,251.9,685.6
458.95,234.9,690.7
462.1,220.7,688.6
464.05,207.8,678.2
466.75,192.7,676.4
468.65,183.7,682.9
470.325,175,683.7
471.95,165.8,690.4
473.49,157.1,678.8
474.95,149,683.4
475.545,145.7,689.3
478.45,133,676.7
479.46,129.3,684.6
481.1,123.3,687.5
483.05,115.6,684.8
485.95,103.7,677.7
488.92,90.9,674.8
491.55,79.3,674.1
494.35,65.7,666
497.05,51.8,659.8
500.95,30.9,657.7
503.95,15.6,652
504.4,13.4,651.2
505.95,6.1,661.1
507.35,-0.5,661.4
507.65,-2,664.4
508.95,-8.6,675.1
509.925,-13.6,681.7
510.35,-15.7,680.4
510.95,-18.8,677.3
511.95,-23.7,668
512.51,-26.4,669.4
513.355,-30.4,669.5
513.95,-33.3,662.7
516.95,-47.6,661.7
519.15,-58.1,656.7
520.15,-63.6,654
523.95,-86.2,655.4
526.95,-104.6,656.6
528.45,-114.7,654.9
531.45,-133.2,655.6
533.05,-142.1,659.3
536.05,-155.6,650
539.35,-171.2,645.6
541.52,-181.9,646.5
543.95,-194.8,651.1
545.65,-203.5,655.7
548.89,-219.2,653.1
549.95,-224.3,652.9
551.35,-231,651
553.35,-240.6,645.8
555.95,-252.8,652
556.65,-256,657.8
