depth_m,age_AD,CH4
106.315,1819.4,753.4
108.965,1807.5,740.9
109.215,1806.5,739.3
110.49,1801,742.9
110.88,1799.2,737.7
112.93,1790.2,735.6
113.16,1789.1,731.5
114.775,1782.2,734.2
115.1,1780.5,729.6
116.9,1772.7,727.5
118.74,1764.7,718.7
121.27,1753.2,710.9
123.22,1744.7,704.7
124.77,1737.7,707.5
126.795,1728.7,697.9
128.72,1720.3,693.3
130.85,1710.9,687.5
132.785,1702.1,686.8
134.7,1693.8,697.5
136.36,1686.4,700.1
138.89,1675.6,699.2
140.89,1666.6,694.6
142.445,1659.7,692.7
147.245,1638.9,690.1
149.08,1630.5,690.5
150.115,1626,691.2
152.825,1614,688.9
154.43,1606.8,686.4
157.21,1594.4,682.6
158.595,1588.4,680.7
160.51,1579.9,685
162.04,1572.9,692.4
163.49,1566.5,699
166.14,1554.8,713
168.625,1544,715
170.015,1537.5,713.4
172.69,1525.5,708.2
174.05,1519.5,709.9
176.355,1509.2,709.9
177.565,1503.4,708.8
180.36,1491.1,695.8
182.2,1483,686.6
184.4,1473.3,683.3
186.51,1463.8,678.5
187.745,1458.3,681.1
190.075,1447.9,681.5
192.485,1437.1,681.6
194.375,1428.5,678.2
196.52,1419,677.4
198.15,1411.9,672.4
200.135,1403.1,674.9
201.785,1396.2,679
204.99,1381.6,683.2
207.18,1371.8,684.2
207.83,1368.9,683.2
209.825,1359.9,680.4
212.715,1347.1,678.7
214.21,1340.4,682.1
216.505,1330,686.5
218.955,1319.1,689.2
220.47,1312.5,689.1
222.945,1301.4,694.2
224.87,1293,692.8
225.12,1291.9,692.8
226.1,1287.4,689.8
228.51,1276.6,681.5
229.99,1270.1,681.8
230.6,1267.5,683.6
232.095,1260.7,675.7
234.05,1252,678.7
235.77,1244.4,672.8
237.34,1237.9,671.7
240.505,1223.7,671.4
243.36,1211.3,681.8
245.02,1203.9,692.8
246.575,1197.3,692.9
246.675,1196.9,699.6
248.165,1190.3,697.5
248.74,1187.7,694.1
254.105,1164,694.7
256.315,1154.4,694.3
262.5,1127.5,686.8
265.645,1114.1,685.7
269.22,1099,688.1
272.15,1086.4,682.8
275.325,1072.7,673.3
277.235,1064.6,673.6
278.56,1059,675.5
279.85,1053.6,680.5
285.045,1031.7,689
286.05,1027.4,679.4
286.785,1024.4,682.7
288.88,1015.5,681.1
292.165,1001.1,668.9
293.15,996.8,667.1106818
295.15,988.4,670.4227561
297.15,979.9,662.2509065
299.15,971.2,663.8702295
301.29,961.9,667.0630532
303.15,953.9,658.5028025
305.15,945.2,656.7005188
305.29,944.6,652.8715462
306.35,940,652.0001117
307.15,936.4,648.8703045
307.29,935.9,650.0846478
309.15,927.7,659.3873233
311.15,919.2,657.8189637
313.15,910.4,656.9812639
315.15,901.6,653.1372531
317.15,892.7,652.4318204
319.15,884.1,654.6403486
321.15,875.3,660.0667048
323.15,866.7,657.3899272
325.15,858,659.1309066
327.15,849.5,649.2397165
329.15,840.7,647.7144478
331.15,832,646.469165
333.05,824,650.0064252
335.15,815.1,648.0682923
337.15,806.8,640.6108092
339.15,798,629.8316977
341.15,789.7,627.3842865
343.15,781.3,629.9424273
345.15,772.9,627.6269469
347.32,763.7,627.4162144
349.15,755.8,638.7943686
351.15,747.5,650.9830741
353.05,739.4,652.5167549
355.15,730.6,656.6453367
357.15,722,656.8283286
359.15,713.5,651.844467
361.15,705,648.9266553
363.19,696.4,644.0955399
365.15,688.2,641.8475253
367.15,679.7,641.397219
369.15,671.2,640.9784788
371.15,662.8,637.1889966
373.15,654.3,640.4749604
375.15,645.8,631.9412177
377.15,637.4,630.2374043
378.15,633.4,638.7392627
381.15,620.8,642.8649618
383.31,611.6,653.0005121
385.15,603.6,653.9987866
387.15,595.2,657.0837148
389.19,586.4,661.3571112
391.36,577.2,663.996344
393.15,569.7,662.452937
395.155,561,658.9268826
397.15,552.5,655.3912385
398.8,545.7,656.6147123
401.15,535.8,651.0258241
403.15,527.3,642.1649183
405.15,518.9,638.3292317
407.15,510.5,637.2576793
409.15,502.1,641.1817027
411.15,493.4,641.0297055
412.91,486.2,642.1850627
415.15,476.8,638.3905933
417.15,468.3,633.0089912
419.15,459.9,631.997316
421.15,451.4,633.5363123
423.05,443.3,633.3118729
424.84,435.7,633.2568115
427.15,425.6,629.376712
429.15,417.1,626.9676327
431.2525,408.1,624.8303016
433.1475,400,626.7202257
435.15,391.1,635.1871401
437.1475,382.3,635.8090037
439.05,374.2,636.1909111
441.1475,364.8,640.2370721
443.15,356.1,640.0396195
445.15,347.4,642.4477985
447.145,338.7,643.2898473
449.15,329.6,640.4667442
451.15,320.7,643.8585608
452.05,316.9,638.7816505
453.1475,311.8,634.4142841
454.05,307.9,636.8576477
455.05,303.5,637.5058373
457.15,294,638.6488273
459.15,285.2,644.1195254
461.15,276.2,647.3409283
463.15,267,651.3782046
465.15,257.9,646.4438103
467.05,249.6,648.0481706
469.15,239.9,646.3484546
471.16,230.9,643.650971
473.34,221.2,642.4437438
475.15,213.3,640.2978788
477.15,204.2,640.7744478
479.16,195.5,635.7944931
481.2,186.1,637.5153935
483.15,177.4,641.6133306
484.05,173.6,639.9159528
485.15,168.5,642.8941821
485.8,165.6,643.0633702
486.05,164.5,640.4258829
487.15,159.5,639.2297698
488.69,152.6,637.3481663
490.8,143.5,637.0845245
493.15,133,641.2554736
495.15,124.2,645.2696629
497.15,115.3,641.2075762
499.15,106.4,643.2472326
501.35,96.6,637.2912122
503.15,88.8,633.3216319
505.15,80.2,632.1754851
507.25,70.8,623.7611739
509.15,62.5,620.5606763
511.05,54.2,617.4800012
513.15,44.9,615.323139
515.155,36,619.6702858
517.15,27.3,615.7446808
519.15,18.2,609.4670125
521.15,9.1,614.859767
523.38,-1,623.9422707
