depth_m,age_AD,CH4
105,1812,808.5
105.005,1811.98,808.3
105.01,1811.95,807.8
105.015,1811.92,807.2
105.02,1811.9,808.2
105.025,1811.87,808.3
105.03,1811.84,808.9
105.035,1811.81,808.6
105.04,1811.78,810
105.045,1811.76,810.7
105.05,1811.73,811
105.055,1811.7,812.3
105.06,1811.67,813.1
105.065,1811.65,812.8
105.07,1811.62,813.9
105.075,1811.59,814
105.08,1811.56,813.6
105.085,1811.53,814
105.09,1811.51,814.1
105.095,1811.48,814.4
105.1,1811.45,811.3
105.105,1811.42,810.1
105.11,1811.4,808.6
105.116,1811.37,807.9
105.121,1811.34,807.3
105.126,1811.31,805.8
105.131,1811.28,806.3
105.136,1811.25,806.8
105.141,1811.23,805.6
105.146,1811.2,806.9
105.151,1811.17,804.2
105.156,1811.14,804.4
105.161,1811.12,803.8
105.166,1811.09,801.7
105.171,1811.06,804.5
105.176,1811.03,803.9
105.181,1811,803.5
105.186,1810.98,802.6
105.191,1810.96,802.7
105.196,1810.94,801.5
105.201,1810.91,802.7
105.206,1810.89,801.4
105.211,1810.87,801.7
105.216,1810.85,803.4
105.221,1810.82,802.5
105.226,1810.8,802.3
105.231,1810.78,802.8
105.236,1810.76,803.4
105.241,1810.73,803.1
105.246,1810.71,803.3
105.251,1810.69,802
105.256,1810.67,801.9
105.261,1810.64,802.4
105.267,1810.62,801.8
105.272,1810.6,801.9
105.277,1810.58,800.8
105.282,1810.55,800
105.287,1810.53,800.6
105.292,1810.51,800.5
105.297,1810.49,799.5
105.302,1810.46,799.6
105.307,1810.44,799.5
105.312,1810.42,798.7
105.317,1810.4,799.1
105.322,1810.37,798.7
105.327,1810.35,798.5
105.332,1810.33,798.8
105.337,1810.31,799.1
105.342,1810.28,798.1
105.347,1810.26,797.8
105.352,1810.24,799.5
105.357,1810.22,798.5
105.362,1810.2,796.3
105.367,1810.17,797.9
105.372,1810.15,798
105.377,1810.13,798
105.382,1810.11,798
105.387,1810.08,797.7
105.392,1810.06,797.8
105.397,1810.04,798.5
105.402,1810.01,799.4
105.407,1809.99,800.5
105.412,1809.97,801.3
105.417,1809.96,803.8
105.422,1809.94,803.6
105.427,1809.92,805.9
105.433,1809.9,807.1
105.438,1809.88,807.4
105.442,1809.86,809.6
105.448,1809.84,809.9
105.453,1809.82,810.6
105.458,1809.81,812.9
105.463,1809.79,814.5
105.468,1809.77,814.8
105.473,1809.75,816.1
105.478,1809.73,816.3
105.483,1809.71,815.8
105.488,1809.69,816.1
105.493,1809.67,816.1
105.498,1809.65,816.1
105.503,1809.64,814.7
105.508,1809.62,813.5
105.513,1809.6,813.1
105.518,1809.58,811.2
105.523,1809.56,811.1
105.528,1809.54,810.8
105.533,1809.52,809.7
105.538,1809.5,810.3
105.543,1809.49,810.8
105.548,1809.47,811.2
105.553,1809.45,811.4
105.558,1809.43,810.8
105.563,1809.41,809.6
105.568,1809.39,809.4
105.573,1809.37,809.4
105.578,1809.35,809.4
105.583,1809.33,808.7
105.588,1809.32,810.3
105.594,1809.3,809.5
105.599,1809.28,808.9
105.604,1809.26,810.2
105.609,1809.24,809.2
105.614,1809.22,809.3
105.619,1809.2,809.3
