id,ym,Endemic,non_Endemic,Migratory,Resident,Protected,non_Protected,Nest_veg,Land_water,Herbivorous,non_Herbivorous,Small_flock,Large_flock,Richness,Evenness
110101,201401,,1.6094,0.6931,1.0986,,1.6094,1.6094,,,1.6094,1.0986,0.6931,7.0,1.0
110101,201406,,0.6931,,0.6931,,0.6931,0.6931,,,0.6931,0.0,0.0,2.0,1.0
110101,201408,,2.8625,2.6893,1.7292,1.0397,2.7577,2.6845,1.4835,,2.8625,2.8625,,29.0,0.8745
110101,201409,,1.7918,1.6094,0.0,0.0,1.6094,1.0986,1.0986,,1.7918,1.7918,,6.0,1.0
110101,201410,,1.3863,1.0986,0.0,0.0,1.0986,0.6931,0.6931,,1.3863,1.3863,,4.0,1.0
110101,201411,0.0,1.746,0.3558,1.4921,0.6931,1.6867,1.8421,0.1914,0.0,1.7147,1.5573,0.4506,18.0,0.6349
110101,201412,,0.6365,0.0,0.0,0.0,0.0,0.6365,,,0.6365,0.6365,,2.0,0.9183
110101,201501,0.6931,2.3972,1.4538,2.0221,0.4506,2.3893,2.394,0.1549,,2.4258,2.2715,0.5514,26.0,0.7694
110101,201502,0.0,1.5709,0.6874,1.423,,1.6026,1.6319,0.0,,1.6026,1.4989,0.3046,17.0,0.6098
110101,201504,0.0,2.6317,1.8391,2.2262,0.163,2.5621,2.3523,1.2852,,2.6405,2.4013,1.094,33.0,0.7812
110101,201505,,1.6094,0.6931,1.0986,,1.6094,1.6094,,,1.6094,1.6094,,6.0,1.0
110101,201506,0.0,2.2003,0.9984,2.0243,,2.2296,2.2722,0.6315,,2.2296,1.9001,1.4394,25.0,0.7243
110101,201508,,1.8674,0.8676,1.6031,,1.8674,1.8674,,,1.8674,1.8674,,12.0,0.7515
110101,201509,,1.5073,1.157,1.3847,0.5623,1.4651,1.6367,0.2235,,1.5073,1.5073,,16.0,0.5543
110101,201510,0.0,1.0433,0.9136,0.8014,,1.0771,1.1819,0.1984,,1.0771,1.0771,,8.0,0.518
110101,201512,0.7585,1.8276,0.6931,2.0783,0.0,2.074,2.1131,0.0,,2.1057,1.8452,0.7423,19.0,0.7385
110101,201601,0.6365,1.9658,0.0,1.9567,0.0,2.0129,1.9362,0.0,,2.0409,1.818,0.7963,17.0,0.7363
110101,201602,0.0,2.1251,0.4101,2.0769,,2.2234,2.1092,0.0,,2.2234,2.001,0.7274,15.0,0.8478
110101,201603,0.0,2.0756,0.8208,1.8576,0.0,1.9742,2.1239,0.5004,,2.0947,1.6913,1.0918,18.0,0.7393
110101,201604,0.0,2.3979,1.0986,2.1972,0.0,2.3979,2.1972,1.0986,,2.4849,2.1972,1.0986,12.0,1.0
110101,201605,0.0,2.3582,2.347,1.8744,0.4101,2.3171,2.3498,0.8805,,2.3691,2.1621,1.5106,38.0,0.6757
110101,201608,,1.9592,1.0986,1.8406,,1.9592,1.9565,0.5606,,1.9592,1.8961,0.0,16.0,0.7066
110101,201609,0.0,2.3663,2.068,1.8666,0.0,2.393,2.4923,0.4702,,2.4548,2.3794,0.0,19.0,0.8337
110101,201610,0.0,1.8385,1.2668,1.7128,,1.9317,1.9805,0.1976,,1.9317,1.6186,0.6931,17.0,0.6944
110101,201611,,1.184,0.5983,0.9448,,1.184,1.9986,0.0,,1.184,0.9448,0.5983,10.0,0.5342
110101,201701,,1.3863,0.6931,0.6931,0.0,1.0986,1.3863,,,1.3863,1.0986,0.0,4.0,1.0
110101,201703,0.6365,3.3112,2.3517,2.9364,0.0,3.3436,3.1604,1.7479,,3.377,3.2002,1.5607,33.0,0.9835
110101,201704,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,1.0,
110101,201705,,1.7881,1.2376,1.1537,,1.7881,1.6192,0.0,,1.7881,1.7881,,8.0,0.8599
110101,201706,,0.8676,,0.8676,,0.8676,0.5004,0.0,,0.8676,0.6931,0.0,4.0,0.3609
110101,201708,,1.8196,,1.8196,,1.8196,1.287,0.9949,,1.8196,1.6761,0.0,8.0,0.875
110101,201709,0.0,2.3026,0.6931,2.1972,0.0,2.3026,2.3979,,,2.3979,2.3026,0.0,11.0,1.0
