grupo,nota,sol,objetivo,clase_objetivo,tiempo_integracion,FWHM,Na2O_pct,Na2O_err,MgO_pct,MgO_err,Al2O3_pct,Al2O3_err,SiO2_pct,SiO2_err,P2O5_pct,P2O5_err,SO3_pct,SO3_err,Cl_pct,Cl_err,K2O_pct,K2O_err,CaO_pct,CaO_err,TiO2_pct,TiO2_err,Cr2O3_pct,Cr2O3_err,MnO_pct,MnO_err,FeO_pct,FeO_err,Ni_ppm,Zn_ppm,Br_ppm,compton_rayleigh,compton_rayleigh_err
Snow_Lakes,Composition derived assuming SO3,4202,Snow_Lakes,ROCK,03:40:00,171.1,1.2,0.68,2.46,0.08,1.9,0.1,7.93,0.11,0.61,0.05,82.85,0.85,0.41,0.01,0.08,0.07,1.12,0.01,0.05,0.1,0.03,0.01,0.02,0.04,1.3,0.07,25,17,2,1.4,0.04
Gray_Peak,,4203,Gray_Peak,ROCK,02:00:00,177.2,2.44,0.14,8.09,0.17,6.76,0.19,36.26,0.43,1.24,0.07,18.31,0.2,1.2,0.03,0.53,0.02,6.83,0.07,0.78,0.03,0.24,0.01,0.26,0.01,16.82,0.2,727,709,40,1.82,0.06
Gray_Peak,,4203,Gray_Peak_offset,ROCK,01:50:00,160.2,2.43,0.14,8.18,0.17,6.94,0.19,35.16,0.43,1.28,0.07,19.02,0.22,1.18,0.03,0.52,0.02,6.93,0.07,0.78,0.03,0.26,0.01,0.31,0.01,16.78,0.2,704,751,41,1.87,0.1
Mammoth_Lakes,,4205,Gem_Lakes_DRT,ROCK_BRUSHED,04:00:00,169.9,2.16,0.07,5.66,0.17,7.01,0.19,38.6,0.43,0.96,0.07,18.46,0.2,0.9,0.02,0.57,0.02,5.06,0.06,0.83,0.03,0.34,0.01,0.19,0.01,19.03,0.2,616,687,102,1.83,0.05
Snow_Lakes,Composition derived assuming SO3,4207,Convict_Lake_offset,ROCK,03:10:00,171.2,0.82,0.68,1.97,0.08,1.85,0.96,7.98,0.11,0.55,0.12,82.81,0.85,0.32,0.02,0.08,0.07,1.35,0.03,0.07,0.1,0.05,0.01,0.03,0.04,2.06,0.07,36,20,5,1.49,0.09
Snow_Lakes,Composition derived assuming SO3,4208,Convict_Lake,ROCK,03:40:00,166.8,0.63,0.68,1.37,0.83,1.24,0.96,5.39,0.11,0.79,0.09,88.08,0.9,0.26,0.02,0.03,0.07,0.87,0.01,0.03,0.1,0.03,0.01,0.03,0.04,1.22,0.07,12,17,1,1.39,0.06
Mammoth_Lakes,,4209,Grass_Lake_DRT,ROCK_BRUSHED,01:15:00,184.4,2.24,0.14,5.65,0.17,7.5,0.19,37.65,0.43,1.08,0.07,17.99,0.2,1.01,0.03,0.66,0.02,5.78,0.07,0.85,0.03,0.36,0.03,0.21,0.01,18.81,0.2,641,588,127,1.87,0.09
Snow_Lakes,Composition derived assuming SO3,4209,Snow_Lakes_raster1,ROCK,00:39:12,164.3,1.16,0.68,2.55,0.08,2.05,0.1,8.64,0.21,0.63,0.12,81.18,0.82,0.4,0.02,0.09,0.07,1.33,0.03,0.06,0.1,0.04,0.01,0.03,0.04,1.73,0.07,38,25,1,1.36,0.1
Snow_Lakes,Composition derived assuming SO3,4209,Snow_Lakes_raster2,ROCK,00:39:11,162.4,1.41,0.07,3.45,0.08,3.08,0.1,13.22,0.21,0.68,0.09,72.08,0.73,0.52,0.03,0.16,0.01,2.03,0.03,0.16,0.1,0.08,0.01,0.05,0.04,3.01,0.07,44,35,3,1.5,0.08
Snow_Lakes,Composition derived assuming SO3,4209,Snow_Lakes_raster3,ROCK,00:39:12,160.6,1.08,0.68,2.31,0.08,1.82,0.96,7.61,0.21,0.72,0.12,83.26,0.85,0.37,0.02,0.06,0.07,1.12,0.03,0.04,0.1,0.03,0.01,0.03,0.04,1.47,0.07,34,17,4,1.35,0.11
Mammoth_Lakes,,4212,Mammoth_Lakes_offset,ROCK_BRUSHED,01:30:00,177.6,2.4,0.14,5.24,0.17,7.39,0.19,40.42,0.43,1.0,0.07,15.78,0.2,1.04,0.03,0.63,0.02,5.33,0.06,0.83,0.05,0.35,0.03,0.2,0.01,19.07,0.2,627,692,93,1.83,0.1
Mammoth_Lakes,,4212,Mammoth_Lakes_DRT,ROCK_BRUSHED,01:55:00,163.1,2.84,0.14,5.44,0.17,7.44,0.19,39.87,0.43,0.96,0.07,14.86,0.17,1.29,0.03,0.6,0.02,5.29,0.06,0.85,0.03,0.36,0.01,0.25,0.01,19.74,0.26,643,767,92,1.79,0.1
Gray_Peak,,4216,Loch_Leven_offset,ROCK,01:30:00,176.4,2.9,0.14,8.18,0.17,7.22,0.19,36.79,0.43,1.23,0.07,16.47,0.17,1.15,0.03,0.49,0.02,6.47,0.07,0.89,0.03,0.32,0.01,0.31,0.01,17.39,0.2,733,664,21,1.78,0.06
