objetivo,sol,ganancia_ev_canal,offset_ev,tiempo_integracion_s,temp_cabezal_c
Arrowhead_Spire,4243,24.4,484.7,6900.0,-16.6
Cattle_Creek,4243,24.4,483.9,5700.0,-34.4
Cloud_Canyon,4318,24.4,489.6,6900.0,-21.6
Convict_Lake,4208,24.4,487.2,13200.0,-30.2
Convict_Lake_offset,4207,24.4,487.0,11400.0,-27.6
Gem_Lakes_DRT,4205,24.4,486.5,14400.0,-28.4
Grass_Lake_DRT,4209,24.4,485.9,4500.0,-22.1
Gray_Peak,4203,24.4,486.6,7200.0,-24.6
Gray_Peak_offset,4203,24.4,485.9,6600.0,-35.2
Josephine_Lake,4196,24.4,485.0,5400.0,-26.3
Lake_Dorothy,4240,24.4,489.6,11298.0,-27.0
Lake_Ediza,4236,24.4,485.6,7572.0,-30.6
Loch_Leven,4216,24.4,485.4,7094.0,-33.1
Loch_Leven_offset,4216,24.4,485.2,5400.0,-24.6
Mammoth_Lakes_2_tailings,4234,24.4,485.3,11400.0,-31.9
Mammoth_Lakes_DRT,4212,24.4,485.8,6900.0,-32.1
Mammoth_Lakes_offset,4212,24.4,486.2,5400.0,-23.9
Moonlight_Lake,4318,24.4,488.5,6000.0,-33.8
Palisade_Glacier,4239,24.4,489.4,11118.0,-27.3
Reggae_Pole,4199,24.4,485.0,4200.0,-20.8
Rixford_Pass,4199,24.4,485.6,6900.0,-30.9
Second_Lake,4196,24.4,486.6,5100.0,-32.1
Snow_Lakes,4202,24.4,489.4,13200.0,-28.3
Snow_Lakes_raster1,4209,24.4,488.4,2352.0,-31.7
Snow_Lakes_raster2,4209,24.4,487.6,2351.0,-34.1
Snow_Lakes_raster3,4209,24.4,487.9,2352.0,-37.3
Sourdough_RP,673,24.4,488.3,27553.0,-63.2
Atmosphere,-99,24.62,424.7,3220432.0,-99.0
