ciclo,wpr_kg_m2_h,wpr_sd,ac_u_g_m2,ac_u_sd,ac_li_g_m2,ac_li_sd
1,3.94,0.11,5.0256,0.25,7.158,0.18
2,3.84,0.12,4.9527,0.19,7.101,0.15
3,3.92,0.16,4.977,0.13,7.102,0.14
4,3.88,0.18,4.9467,0.21,7.069,0.19
5,3.87,0.22,4.9743,0.25,7.087,0.17
6,3.82,0.21,4.9386,0.17,7.051,0.18
7,3.85,0.22,4.932,0.18,7.054,0.19
8,3.86,0.15,4.9146,0.16,7.016,0.22
9,3.81,0.25,4.9209,0.19,7.032,0.23
10,3.84,0.22,4.9317,0.15,7.007,0.24
11,3.87,0.21,4.9178,0.14,7.012,0.22
12,3.84,0.17,4.9072,0.13,7.005,0.21
13,3.85,0.19,4.8987,0.12,6.985,0.15
14,3.8,0.21,4.8991,0.18,6.987,0.16
15,3.86,0.18,4.8772,0.19,6.984,0.18
16,3.88,0.13,4.8952,0.2,6.983,0.18
17,3.89,0.15,4.9025,0.32,6.98,0.19
18,3.9,0.15,4.8872,0.22,6.975,0.17
19,3.81,0.14,4.8864,0.15,6.973,0.16
20,3.86,0.16,4.8841,0.16,6.968,0.17
