hora_decimal,flujo_solar_kw_m2
8.0335,0.329
8.0455,0.337
8.07,0.234
8.0825,0.304
8.107,0.336
8.1434,0.353
8.1684,0.347
8.1806,0.388
8.2054,0.338
8.2423,0.406
8.2788,0.368
8.3033,0.334
8.3153,0.326
8.3398,0.328
8.377,0.392
8.4012,0.406
8.4134,0.391
8.4377,0.384
8.4746,0.405
8.5116,0.422
8.5361,0.396
8.5483,0.42
8.5728,0.436
8.6006,0.438
8.6131,0.44
8.6376,0.441
8.6738,0.44
8.7103,0.451
8.735,0.453
8.7466,0.454
8.7816,0.46
8.8063,0.464
8.8435,0.468
8.8682,0.473
8.8802,0.476
8.9045,0.48
8.9165,0.482
8.9402,0.488
8.9774,0.494
9.0122,0.498
9.037,0.501
9.0492,0.503
9.0739,0.508
9.1111,0.515
9.1356,0.52
9.1486,0.52
9.1735,0.524
9.2119,0.529
9.2369,0.535
9.2491,0.536
9.2736,0.54
9.3139,0.543
9.3391,0.545
9.3761,0.552
9.4025,0.556
9.4159,0.558
9.4399,0.561
9.4764,0.568
9.5033,0.568
9.516,0.572
9.5414,0.575
9.5794,0.581
9.6034,0.584
9.6434,0.587
9.6706,0.592
9.709,0.598
9.7334,0.599
9.7452,0.601
9.7718,0.602
9.8098,0.608
9.8345,0.612
9.847,0.614
9.8714,0.616
9.9098,0.62
9.9355,0.627
9.9475,0.629
9.9725,0.612
10.0099,0.635
10.0675,0.638
10.08,0.64
10.1047,0.646
10.1441,0.649
10.1698,0.652
10.182,0.652
10.206,0.653
10.2444,0.661
10.2706,0.657
10.309,0.665
10.3454,0.655
10.3694,0.671
10.3819,0.672
10.4069,0.672
10.4448,0.674
10.4695,0.678
10.4818,0.679
10.5072,0.682
10.5725,0.686
10.6102,0.691
10.6344,0.693
10.6469,0.693
10.6718,0.695
10.7098,0.7
10.735,0.701
10.7482,0.7
10.7729,0.704
10.8108,0.708
10.836,0.707
10.8482,0.708
10.8734,0.712
10.9102,0.712
10.9351,0.716
10.9471,0.715
10.9716,0.717
11.0098,0.722
11.0342,0.722
11.0465,0.722
11.0712,0.721
11.1082,0.724
11.1458,0.731
11.1713,0.732
11.2082,0.736
11.2452,0.733
11.2706,0.733
11.2831,0.735
11.3071,0.733
11.3448,0.737
11.3693,0.742
11.3827,0.744
11.4067,0.744
11.4439,0.742
11.4677,0.746
11.4799,0.745
11.5056,0.747
11.5433,0.744
11.5678,0.744
11.5802,0.745
11.6069,0.747
11.6431,0.746
11.6705,0.748
11.6825,0.746
11.7082,0.746
11.7451,0.747
11.7694,0.747
11.7818,0.744
11.807,0.746
11.8435,0.748
11.8692,0.745
11.8812,0.744
11.9059,0.748
11.9429,0.744
11.9671,0.751
11.9791,0.751
12.0038,0.747
12.0161,0.759
12.0413,0.749
12.0672,0.755
12.0794,0.748
12.1046,0.754
12.1411,0.754
12.1786,0.757
12.2028,0.76
12.215,0.758
12.2395,0.756
12.276,0.756
12.3005,0.751
12.313,0.753
12.3377,0.755
12.3751,0.752
12.4003,0.752
12.4133,0.753
12.4378,0.751
12.4745,0.752
12.5117,0.745
12.5362,0.744
12.5484,0.745
12.5729,0.745
12.6089,0.742
12.6334,0.742
12.6461,0.741
12.671,0.742
12.709,0.739
12.7339,0.741
12.7459,0.742
12.7702,0.74
12.7829,0.739
12.8071,0.733
12.8446,0.736
12.8695,0.736
12.8813,0.727
12.9055,0.735
12.9422,0.731
12.967,0.733
12.9792,0.732
13.0044,0.728
13.0423,0.728
13.0788,0.72
13.1028,0.722
13.115,0.717
13.1412,0.719
13.1772,0.715
13.2007,0.713
13.2418,0.712
13.2787,0.707
13.303,0.705
13.3152,0.699
13.3406,0.701
13.3766,0.696
13.4018,0.692
13.4141,0.691
13.4388,0.693
13.4758,0.684
13.5002,0.688
13.5134,0.69
13.5394,0.688
13.5763,0.686
13.6008,0.686
13.6128,0.681
13.638,0.682
13.6752,0.678
13.7114,0.67
13.7366,0.666
13.7489,0.665
13.7738,0.66
13.8108,0.657
13.8353,0.66
13.8475,0.657
13.8734,0.658
13.9109,0.652
13.9358,0.643
13.9481,0.639
13.9728,0.64
14.0098,0.638
14.0345,0.636
14.0465,0.634
14.0712,0.632
14.1084,0.62
14.1454,0.619
14.1694,0.616
14.1816,0.615
14.2063,0.606
14.2435,0.606
14.269,0.607
14.2817,0.605
14.3069,0.605
14.3438,0.6
14.3683,0.594
14.3808,0.592
14.4055,0.59
14.4427,0.581
14.4672,0.575
14.4797,0.576
14.5044,0.575
14.5162,0.572
14.5409,0.573
14.5778,0.566
14.6028,0.565
14.6155,0.56
14.6395,0.556
14.6767,0.556
14.7005,0.558
14.7139,0.557
14.7386,0.554
14.7763,0.547
14.8006,0.543
14.8133,0.541
14.838,0.52
14.8747,0.536
14.9117,0.52
14.9364,0.524
14.9482,0.524
14.9724,0.524
15.0101,0.519
15.0338,0.516
15.0463,0.518
15.071,0.516
15.1087,0.516
15.1337,0.51
15.1454,0.504
15.1702,0.5
15.1824,0.496
15.2069,0.492
15.2446,0.489
15.2702,0.486
15.2825,0.479
15.3067,0.476
15.3437,0.473
15.3682,0.473
15.3806,0.472
15.4058,0.472
15.4445,0.461
15.4714,0.456
15.5086,0.444
15.535,0.439
15.5693,0.436
15.582,0.432
15.6067,0.428
15.6456,0.425
15.6792,0.42
15.7039,0.416
15.7414,0.41
15.7778,0.406
15.8028,0.406
15.815,0.405
15.8405,0.4
15.8774,0.392
15.9017,0.389
15.9144,0.388
15.9391,0.383
15.9761,0.38
16.0018,0.373
16.0133,0.369
16.0387,0.366
16.0747,0.361
16.1114,0.356
16.1359,0.353
16.1482,0.351
16.1722,0.346
16.2098,0.338
16.2336,0.334
16.247,0.33
16.2718,0.324
16.3097,0.317
16.3344,0.312
16.3469,0.311
16.3716,0.304
16.4098,0.3
16.434,0.296
16.4465,0.293
16.4707,0.287
16.483,0.284
16.5084,0.277
16.5451,0.272
16.5698,0.267
16.5816,0.265
16.6078,0.257
16.644,0.248
16.7054,0.231
16.7424,0.22
16.7681,0.215
16.7803,0.212
16.8053,0.205
16.8422,0.198
16.8667,0.192
16.8797,0.188
16.9034,0.181
16.9152,0.178
16.9402,0.172
16.9678,0.167
16.9795,0.165
17.004,0.16
17.016,0.158
17.0412,0.152
17.0777,0.148
17.1019,0.142
17.1142,0.14
17.1389,0.135
17.1758,0.128
17.2118,0.12
17.2363,0.116
17.267,0.11
17.2793,0.108
17.3434,0.096
17.3678,0.092
17.3806,0.09
17.4055,0.086
17.4427,0.076
17.4674,0.067
17.4797,0.064
17.5046,0.044
17.5416,0.036
17.567,0.036
17.5793,0.036
17.6033,0.028
17.616,0.024
17.6407,0.024
17.6786,0.029
17.7029,0.027
17.7146,0.028
17.7394,0.021
17.7766,0.018
17.8008,0.021
17.8133,0.024
17.8378,0.024
17.8745,0.022
17.9117,0.016
17.9359,0.014
17.9484,0.013
17.9731,0.014
18.0094,0.011
