vehiculo,pg_arn,replica,pct_celulas_egfp_pos
STV-C8,1e-05,1,0.78
STV-C8,1e-05,2,1.35
STV-C8,1e-05,3,0.49
STV-C8,0.0001,1,0.84
STV-C8,0.0001,2,0.93
STV-C8,0.0001,3,0.86
STV-C8,0.001,1,0.67
STV-C8,0.001,2,1.02
STV-C8,0.001,3,1.05
STV-C8,0.01,1,1.69
STV-C8,0.01,2,1.39
STV-C8,0.01,3,1.42
STV-C8,0.1,1,4.82
STV-C8,0.1,2,4.12
STV-C8,0.1,3,4.43
STV-C8,1,1,53.7
STV-C8,1,2,54.8
STV-C8,1,3,60.0
LNP,1,1,0.0
LNP,1,2,0.0
LNP,1,3,0.0
STV-C8,10,1,99.6
STV-C8,10,2,99.8
STV-C8,10,3,99.8
LNP,10,1,0.014
LNP,10,2,0.0
LNP,10,3,0.0
LNP,50,1,0.047
LNP,50,2,0.084
LNP,50,3,0.08
STV-C8,100,1,100.0
STV-C8,100,2,100.0
STV-C8,100,3,99.9
LNP,100,1,0.53
LNP,100,2,0.21
LNP,100,3,0.43
LNP,1000,1,21.8
LNP,1000,2,45.4
LNP,1000,3,9.53
LNP,5000,1,96.4
LNP,5000,2,94.9
LNP,5000,3,97.6
LNP,10000,1,99.5
LNP,10000,2,99.1
LNP,10000,3,99.0
LNP,100000,1,99.1
LNP,100000,2,98.2
LNP,100000,3,98.9
