construct,replica,senal
no cage,1,0.97
HE0902,1,0.58
HE0897,1,0.15
HE0899,1,0.24
HE0916,1,0.42
HE0919,1,0.4
HE0918,1,0.28
HE0917,1,0.4
HE0898,1,0.46
HE0915,1,0.43
HE0908,1,1.78
HE0935,1,3.76
HE0920,1,4.02
HE0930,1,6.07
HE0900,1,5.49
HE0485,1,0.2
HE0482,1,0.4
HE0537,1,1.48
HE0492,1,0.09
HE0501,1,0.96
HE0497,1,0.9
HE0489,1,1.39
HE0499,1,1.9
HE0521,1,1.3
HE0502,1,2.76
HE0513,1,3.87
HE0490,1,5.38
HE0517,1,6.69
HE0505,1,7.55
HE0644,1,0.88
HE0662,1,2.44
HE0621,1,3.78
HE0649,1,4.58
HE0657,1,5.42
HE0620,1,3.57
HE0625,1,7.47
HE0639,1,9.72
HE0633,1,10.25
HE0626,1,7.75
HE0690,1,6.46
no cage,2,0.97
HE0902,2,0.94
HE0897,2,0.16
HE0899,2,0.24
HE0916,2,0.4
HE0919,2,0.33
HE0918,2,0.41
HE0917,2,0.37
HE0898,2,0.45
HE0915,2,0.61
HE0908,2,2.62
HE0935,2,5.15
HE0920,2,3.85
HE0930,2,5.78
HE0900,2,7.09
HE0485,2,0.3
HE0482,2,0.48
HE0537,2,1.67
HE0492,2,0.2
HE0501,2,1.51
HE0497,2,1.48
HE0489,2,1.84
HE0499,2,1.62
HE0521,2,1.25
HE0502,2,3.52
HE0513,2,4.46
HE0490,2,5.84
HE0517,2,6.06
HE0505,2,8.39
HE0644,2,1.01
HE0662,2,3.82
HE0621,2,3.44
HE0649,2,4.55
HE0620,2,4.45
HE0625,2,9.28
HE0639,2,9.15
HE0633,2,10.16
HE0626,2,8.47
HE0690,2,9.08
no cage,3,0.95
HE0902,3,1.29
HE0897,3,0.29
HE0899,3,0.27
HE0916,3,0.46
HE0919,3,0.36
HE0918,3,0.44
HE0917,3,0.42
HE0898,3,0.57
HE0915,3,1.22
HE0908,3,3.95
HE0935,3,4.69
HE0920,3,5.6
HE0930,3,5.4
HE0900,3,9.34
HE0485,3,0.41
HE0482,3,0.71
HE0537,3,1.85
HE0492,3,0.2
HE0501,3,1.6
HE0497,3,1.57
HE0489,3,1.97
HE0499,3,1.92
HE0521,3,1.84
HE0513,3,4.11
HE0490,3,6.51
HE0517,3,5.78
HE0505,3,7.81
HE0644,3,1.42
HE0662,3,4.39
HE0621,3,4.17
HE0649,3,4.53
HE0657,3,5.44
HE0620,3,7.3
HE0625,3,10.52
HE0639,3,11.51
HE0633,3,10.32
HE0626,3,9.83
HE0690,3,8.02
no cage,4,0.71
HE0902,4,1.12
HE0897,4,0.36
HE0899,4,0.62
HE0916,4,0.46
HE0919,4,0.46
HE0918,4,0.6
HE0917,4,0.55
HE0898,4,0.58
HE0915,4,1.39
HE0908,4,3.71
HE0935,4,6.27
HE0920,4,6.24
HE0930,4,5.75
HE0900,4,9.06
HE0485,4,0.34
HE0482,4,0.53
HE0537,4,1.53
HE0492,4,0.11
HE0501,4,1.31
HE0497,4,0.23
HE0489,4,1.71
HE0499,4,2.47
HE0521,4,1.85
HE0502,4,3.38
HE0513,4,3.85
HE0490,4,5.42
HE0517,4,5.96
HE0505,4,7.66
HE0644,4,1.02
HE0662,4,4.51
HE0621,4,5.53
HE0649,4,4.85
HE0657,4,5.42
HE0620,4,8.2
HE0625,4,10.32
HE0639,4,9.6
HE0633,4,11.06
HE0626,4,11.41
HE0690,4,7.46
no cage,5,0.74
HE0902,5,0.85
HE0897,5,0.29
HE0899,5,0.44
HE0916,5,0.57
HE0919,5,0.57
HE0918,5,0.48
HE0917,5,0.55
HE0898,5,0.57
HE0915,5,1.52
HE0908,5,3.0
HE0935,5,5.85
HE0920,5,6.09
HE0930,5,6.11
HE0900,5,7.9
HE0485,5,0.37
HE0482,5,0.71
HE0537,5,1.72
HE0492,5,0.1
HE0501,5,1.0
HE0497,5,1.35
HE0489,5,2.09
HE0499,5,1.12
HE0521,5,1.93
HE0502,5,2.67
HE0513,5,3.57
HE0490,5,5.15
HE0517,5,5.67
HE0505,5,6.35
HE0644,5,0.88
HE0662,5,4.32
HE0621,5,4.47
HE0649,5,5.37
HE0657,5,5.45
HE0620,5,6.8
HE0625,5,9.56
HE0639,5,9.22
HE0633,5,9.77
HE0626,5,11.2
HE0690,5,8.0
no cage,6,1.53
HE0902,6,1.21
HE0897,6,0.29
HE0899,6,0.46
HE0916,6,0.48
HE0919,6,0.74
HE0918,6,0.71
HE0917,6,0.66
HE0898,6,0.46
HE0915,6,1.67
HE0908,6,3.9
HE0935,6,7.09
HE0920,6,7.61
HE0930,6,6.53
HE0900,6,9.53
HE0485,6,0.34
HE0482,6,0.89
HE0537,6,2.02
HE0492,6,0.06
HE0501,6,1.47
HE0497,6,2.51
HE0489,6,1.75
HE0499,6,1.88
HE0521,6,2.88
HE0502,6,3.11
HE0513,6,5.89
HE0490,6,5.68
HE0517,6,8.87
HE0505,6,9.58
HE0644,6,0.94
HE0662,6,4.38
HE0621,6,4.24
HE0649,6,6.56
HE0657,6,5.74
HE0620,6,6.48
HE0625,6,10.65
HE0639,6,9.66
HE0633,6,11.08
HE0626,6,15.28
HE0690,6,8.36
