comparacion,gen,log2fc,pvalue,padj
PRDX1_sin_estimulo,Mrpl15,-0.0948,3.129e-02,1.051e-01
PRDX1_sin_estimulo,Lypla1,0.0262,5.120e-01,6.902e-01
PRDX1_sin_estimulo,Tcea1,0.0228,5.161e-01,6.936e-01
PRDX1_sin_estimulo,Atp6v1h,-0.0609,1.699e-01,3.435e-01
PRDX1_sin_estimulo,Rb1cc1,0.1051,1.259e-02,5.324e-02
PRDX1_sin_estimulo,Pcmtd1,0.1681,5.233e-04,4.471e-03
PRDX1_sin_estimulo,Rrs1,-0.0441,4.213e-01,6.135e-01
PRDX1_sin_estimulo,Mybl1,0.1351,2.938e-02,1.005e-01
PRDX1_sin_estimulo,Vcpip1,0.0908,2.926e-02,1.002e-01
PRDX1_sin_estimulo,Sgk3,0.0284,6.192e-01,7.684e-01
PRDX1_sin_estimulo,Snhg6,0.0755,1.789e-01,3.556e-01
PRDX1_sin_estimulo,Cops5,-0.0213,5.819e-01,7.416e-01
PRDX1_sin_estimulo,Cspp1,-0.0137,8.120e-01,8.971e-01
PRDX1_sin_estimulo,Arfgef1,0.0905,2.404e-03,1.511e-02
PRDX1_sin_estimulo,Ncoa2,0.0029,9.434e-01,9.697e-01
PRDX1_sin_estimulo,Tram1,-0.0663,5.458e-02,1.572e-01
PRDX1_sin_estimulo,Lactb2,0.028,6.259e-01,7.735e-01
PRDX1_sin_estimulo,Msc,0.0385,4.535e-01,6.427e-01
PRDX1_sin_estimulo,Trpa1,-0.0418,2.364e-01,4.264e-01
PRDX1_sin_estimulo,Terf1,0.0751,1.973e-01,3.808e-01
PRDX1_sin_estimulo,Rpl7,-0.0666,3.038e-02,1.028e-01
PRDX1_sin_estimulo,Rdh10,0.3086,4.390e-05,6.125e-04
PRDX1_sin_estimulo,Stau2,-0.0051,9.047e-01,9.502e-01
PRDX1_sin_estimulo,Ube2w,0.1314,2.625e-02,9.268e-02
PRDX1_sin_estimulo,Tceb1,0.056,2.725e-01,4.671e-01
PRDX1_sin_estimulo,Tmem70,0.0295,5.488e-01,7.177e-01
PRDX1_sin_estimulo,Ly96,0.0825,5.942e-02,1.666e-01
PRDX1_sin_estimulo,Il17a,0.0369,1.304e-01,2.876e-01
PRDX1_sin_estimulo,Mcm3,-0.2641,1.850e-26,3.160e-23
PRDX1_sin_estimulo,Paqr8,-0.0061,9.179e-01,9.583e-01
PRDX1_sin_estimulo,Tram2,-0.0109,8.368e-01,9.126e-01
PRDX1_sin_estimulo,Tmem14a,0.004,9.350e-01,9.665e-01
