condicion,grupo,ienfd_fibras_por_mm
1_semana_7mgkg,Vehicle,27.80334
1_semana_7mgkg,Vehicle,31.503
1_semana_7mgkg,Vehicle,22.52123
1_semana_7mgkg,Vehicle,22.13847
1_semana_7mgkg,Vehicle,36.0164
1_semana_7mgkg,Vehicle,27.84151
1_semana_7mgkg,Cis,30.32353
1_semana_7mgkg,Cis,39.19471
1_semana_7mgkg,Cis,18.58298
1_semana_7mgkg,Cis,44.18133
1_semana_7mgkg,Cis,28.6132
1_semana_7mgkg,Cis,53.43672
1_semana_7mgkg,Psi,25.47489
1_semana_7mgkg,Psi,15.0282
1_semana_7mgkg,Psi,19.07745
1_semana_7mgkg,Psi,22.25761
1_semana_7mgkg,Psi,27.35687
1_semana_7mgkg,Psi,20.69712
1_semana_7mgkg,Psi+Cis,36.98606
1_semana_7mgkg,Psi+Cis,42.04393
1_semana_7mgkg,Psi+Cis,38.32366
1_semana_7mgkg,Psi+Cis,30.74253
1_semana_7mgkg,Psi+Cis,30.58768
4_semanas_23mgkg,Naive,32.7
4_semanas_23mgkg,Cis,16.3
4_semanas_23mgkg,Psi,30.9
4_semanas_23mgkg,Psi + Cis,29.7
4_semanas_23mgkg,Naive,30.4
4_semanas_23mgkg,Cis,20.1
4_semanas_23mgkg,Psi,31.3
4_semanas_23mgkg,Psi + Cis,24.2
4_semanas_23mgkg,Naive,27.8
4_semanas_23mgkg,Cis,28.5
4_semanas_23mgkg,Psi,41.6
4_semanas_23mgkg,Psi + Cis,24.9
4_semanas_23mgkg,Naive,31.2
4_semanas_23mgkg,Cis,15.9
4_semanas_23mgkg,Psi,30.9
4_semanas_23mgkg,Psi + Cis,31.6
4_semanas_23mgkg,Naive,41.0
4_semanas_23mgkg,Cis,25.7
4_semanas_23mgkg,Psi,27.8
4_semanas_23mgkg,Psi + Cis,36.2
4_semanas_23mgkg,Naive,28.7
4_semanas_23mgkg,Cis,22.5
4_semanas_23mgkg,Psi,31.5
4_semanas_23mgkg,Psi + Cis,35.7
4_semanas_23mgkg,Naive,41.2
4_semanas_23mgkg,Cis,25.5
4_semanas_23mgkg,Psi,44.0
4_semanas_23mgkg,Psi + Cis,24.8
4_semanas_23mgkg,Naive,33.5
4_semanas_23mgkg,Cis,17.4
4_semanas_23mgkg,Psi,24.7
4_semanas_23mgkg,Psi + Cis,24.6
