grupo,vdac_area_um2_por_celula
VEH,36.8
VEH,37.8
VEH,50.0
VEH,85.4
VEH,96.5
VEH,101.0
VEH,111.0
VEH,144.0
VEH,184.0
VEH,194.0
VEH,214.0
VEH,293.0
VEH,331.0
VEH,342.0
VEH,390.0
VEH,522.0
VEH,526.0
VEH,753.0
VEH,948.0
VEH,1120.0
VEH,1700.0
VEH,1930.0
CIS,0.0
CIS,0.0
CIS,5.8
CIS,9.7
CIS,11.9
CIS,26.8
CIS,28.3
CIS,40.3
CIS,55.0
CIS,58.3
CIS,79.0
CIS,85.4
CIS,118.0
CIS,124.0
CIS,129.0
CIS,135.0
CIS,146.0
CIS,149.0
CIS,153.0
CIS,154.0
CIS,157.0
CIS,161.0
CIS,168.0
CIS,190.0
CIS,223.0
CIS,232.0
CIS,281.0
CIS,443.0
PSI+CIS,39.0
PSI+CIS,40.3
PSI+CIS,47.5
PSI+CIS,54.0
PSI+CIS,99.5
PSI+CIS,122.0
PSI+CIS,129.0
PSI+CIS,160.0
PSI+CIS,192.0
PSI+CIS,217.0
PSI+CIS,228.0
PSI+CIS,232.0
PSI+CIS,256.0
PSI+CIS,281.0
PSI+CIS,320.0
PSI+CIS,372.0
PSI+CIS,375.0
PSI+CIS,410.0
PSI+CIS,428.0
PSI+CIS,487.0
PSI+CIS,772.0
PSI+CIS,1370.0
PSI+CIS,1470.0
PSI+CIS,1720.0
PSI,19.1
PSI,36.8
PSI,88.0
PSI,95.0
PSI,114.0
PSI,142.0
PSI,158.0
PSI,164.0
PSI,188.0
PSI,215.0
PSI,229.0
PSI,285.0
PSI,308.0
PSI,322.0
PSI,388.0
PSI,424.0
PSI,434.0
PSI,475.0
PSI,494.0
PSI,554.0
PSI,567.0
PSI,620.0
PSI,760.0
PSI,948.0
PSI,1130.0
PSI,1520.0
