dia,grupo,raton,vf_score
0.0,No treatment,1,0.0
0.0,No treatment,2,1.166666667
0.0,No treatment,3,0.166666667
0.0,No treatment,4,1.0
0.0,Cisplatin,1,0.5
0.0,Cisplatin,2,0.666666667
0.0,Cisplatin,3,1.333333333
0.0,Cisplatin,4,1.333333333
0.0,Cisplatin,5,1.333333333
0.0,Cisplatin + Psi 1D,1,1.666666667
0.0,Cisplatin + Psi 1D,2,0.5
0.0,Cisplatin + Psi 1D,3,1.333333333
0.0,Cisplatin + Psi 1D,4,1.166666667
0.0,Cisplatin + Psi 1D,5,1.166666667
0.0,Cisplatin + Psi 2D,1,1.333333333
0.0,Cisplatin + Psi 2D,2,0.5
0.0,Cisplatin + Psi 2D,3,1.166666667
0.0,Cisplatin + Psi 2D,4,1.166666667
0.0,Cisplatin + Psi 2D,5,0.833333333
9.0,No treatment,1,1.0
9.0,No treatment,2,1.5
9.0,No treatment,3,0.5
9.0,No treatment,4,0.0
9.0,Cisplatin,1,2.0
9.0,Cisplatin,2,0.5
9.0,Cisplatin,3,1.0
9.0,Cisplatin,4,1.0
9.0,Cisplatin,5,1.0
9.0,Cisplatin + Psi 1D,1,1.0
9.0,Cisplatin + Psi 1D,2,1.0
9.0,Cisplatin + Psi 1D,3,0.5
9.0,Cisplatin + Psi 1D,4,2.0
9.0,Cisplatin + Psi 1D,5,1.0
9.0,Cisplatin + Psi 2D,1,0.5
9.0,Cisplatin + Psi 2D,2,2.5
9.0,Cisplatin + Psi 2D,3,0.0
9.0,Cisplatin + Psi 2D,4,0.0
9.0,Cisplatin + Psi 2D,5,0.0
18.0,No treatment,1,1.5
18.0,No treatment,2,2.5
18.0,No treatment,3,0.5
18.0,No treatment,4,1.5
18.0,Cisplatin,1,4.0
18.0,Cisplatin,2,4.0
18.0,Cisplatin,3,3.0
18.0,Cisplatin,4,6.5
18.0,Cisplatin,5,2.5
18.0,Cisplatin + Psi 1D,1,4.0
18.0,Cisplatin + Psi 1D,2,3.0
18.0,Cisplatin + Psi 1D,3,2.0
18.0,Cisplatin + Psi 1D,4,4.5
18.0,Cisplatin + Psi 1D,5,1.0
18.0,Cisplatin + Psi 2D,1,1.0
18.0,Cisplatin + Psi 2D,2,2.0
18.0,Cisplatin + Psi 2D,3,1.0
18.0,Cisplatin + Psi 2D,4,1.5
18.0,Cisplatin + Psi 2D,5,0.0
26.0,No treatment,1,1.0
26.0,No treatment,2,2.5
26.0,No treatment,3,0.0
26.0,No treatment,4,0.5
26.0,Cisplatin,1,2.5
26.0,Cisplatin,2,4.0
26.0,Cisplatin,3,3.5
26.0,Cisplatin,4,5.5
26.0,Cisplatin,5,4.5
26.0,Cisplatin + Psi 1D,1,3.5
26.0,Cisplatin + Psi 1D,2,2.0
26.0,Cisplatin + Psi 1D,3,3.5
26.0,Cisplatin + Psi 1D,4,6.0
26.0,Cisplatin + Psi 1D,5,2.5
26.0,Cisplatin + Psi 2D,1,2.0
26.0,Cisplatin + Psi 2D,2,0.5
26.0,Cisplatin + Psi 2D,3,3.0
26.0,Cisplatin + Psi 2D,4,0.5
26.0,Cisplatin + Psi 2D,5,2.0
40.0,No treatment,1,3.0
40.0,No treatment,2,3.0
40.0,No treatment,3,1.5
40.0,No treatment,4,2.0
40.0,Cisplatin,1,3.0
40.0,Cisplatin,2,2.0
40.0,Cisplatin,3,4.0
40.0,Cisplatin,4,5.5
40.0,Cisplatin,5,4.0
40.0,Cisplatin + Psi 1D,1,3.5
40.0,Cisplatin + Psi 1D,2,3.5
40.0,Cisplatin + Psi 1D,3,3.5
40.0,Cisplatin + Psi 1D,4,4.5
40.0,Cisplatin + Psi 1D,5,2.0
40.0,Cisplatin + Psi 2D,1,2.5
40.0,Cisplatin + Psi 2D,2,3.5
40.0,Cisplatin + Psi 2D,3,1.0
40.0,Cisplatin + Psi 2D,4,0.5
40.0,Cisplatin + Psi 2D,5,3.0
57.0,No treatment,1,1.0
57.0,No treatment,2,2.5
57.0,No treatment,3,1.0
57.0,No treatment,4,2.0
57.0,Cisplatin,1,2.0
57.0,Cisplatin,2,2.5
57.0,Cisplatin,3,4.0
57.0,Cisplatin,4,5.0
57.0,Cisplatin,5,3.0
57.0,Cisplatin + Psi 1D,1,3.0
57.0,Cisplatin + Psi 1D,2,4.0
57.0,Cisplatin + Psi 1D,3,2.0
57.0,Cisplatin + Psi 1D,4,2.5
57.0,Cisplatin + Psi 1D,5,2.5
57.0,Cisplatin + Psi 2D,1,0.0
57.0,Cisplatin + Psi 2D,2,2.0
57.0,Cisplatin + Psi 2D,3,1.5
57.0,Cisplatin + Psi 2D,4,1.0
57.0,Cisplatin + Psi 2D,5,1.5
74.0,No treatment,1,1.5
74.0,No treatment,2,1.0
74.0,No treatment,3,1.0
74.0,No treatment,4,1.5
74.0,Cisplatin,1,3.5
74.0,Cisplatin,2,3.0
74.0,Cisplatin,3,1.5
74.0,Cisplatin,4,4.5
74.0,Cisplatin,5,4.0
74.0,Cisplatin + Psi 1D,1,1.5
74.0,Cisplatin + Psi 1D,2,3.0
74.0,Cisplatin + Psi 1D,3,4.0
74.0,Cisplatin + Psi 1D,4,2.5
74.0,Cisplatin + Psi 1D,5,1.0
74.0,Cisplatin + Psi 2D,1,1.0
74.0,Cisplatin + Psi 2D,2,0.5
74.0,Cisplatin + Psi 2D,3,0.0
74.0,Cisplatin + Psi 2D,4,0.5
74.0,Cisplatin + Psi 2D,5,1.5
95.0,No treatment,1,3.0
95.0,No treatment,2,2.5
95.0,No treatment,3,1.5
95.0,No treatment,4,3.0
95.0,Cisplatin,1,5.5
95.0,Cisplatin,2,4.5
95.0,Cisplatin,3,5.0
95.0,Cisplatin,4,5.5
95.0,Cisplatin,5,2.5
95.0,Cisplatin + Psi 1D,1,2.0
95.0,Cisplatin + Psi 1D,2,2.5
95.0,Cisplatin + Psi 1D,3,1.5
95.0,Cisplatin + Psi 1D,4,2.5
95.0,Cisplatin + Psi 1D,5,1.0
95.0,Cisplatin + Psi 2D,1,1.5
95.0,Cisplatin + Psi 2D,2,2.0
95.0,Cisplatin + Psi 2D,3,2.0
95.0,Cisplatin + Psi 2D,4,3.0
95.0,Cisplatin + Psi 2D,5,2.5
109.0,No treatment,1,2.0
109.0,No treatment,2,2.5
109.0,No treatment,3,2.0
109.0,No treatment,4,1.0
109.0,Cisplatin,1,4.5
109.0,Cisplatin,2,5.5
109.0,Cisplatin,3,4.5
109.0,Cisplatin,4,5.0
109.0,Cisplatin,5,3.5
109.0,Cisplatin + Psi 1D,1,0.5
109.0,Cisplatin + Psi 1D,2,3.0
109.0,Cisplatin + Psi 1D,3,4.5
109.0,Cisplatin + Psi 1D,4,4.5
109.0,Cisplatin + Psi 1D,5,2.0
109.0,Cisplatin + Psi 2D,1,1.0
109.0,Cisplatin + Psi 2D,2,2.0
109.0,Cisplatin + Psi 2D,3,1.5
109.0,Cisplatin + Psi 2D,4,2.0
109.0,Cisplatin + Psi 2D,5,1.0
126.0,No treatment,1,1.5
126.0,No treatment,2,2.0
126.0,No treatment,3,1.5
126.0,No treatment,4,1.0
126.0,Cisplatin,1,3.5
126.0,Cisplatin,2,4.5
126.0,Cisplatin,3,4.5
126.0,Cisplatin,4,5.0
