grupo,tiempo_min,raton,glucosa_mg_dl
Control,0,Cont1,93.0
Control,0,Cont2,80.0
Control,0,Cont3,118.0
Control,0,Cont4,145.0
Control,0,Cont5,156.0
Control,0,Cont6,109.0
Control,0,Cont7,146.0
Control,0,Cont8,108.0
Control,0,Cont9,70.0
Control,0,Cont10,159.0
Control,15,Cont1,362.0
Control,15,Cont2,307.0
Control,15,Cont3,352.0
Control,15,Cont4,330.0
Control,15,Cont5,298.0
Control,15,Cont6,292.0
Control,15,Cont7,354.0
Control,15,Cont8,278.0
Control,15,Cont9,312.0
Control,15,Cont10,293.0
Control,30,Cont1,289.0
Control,30,Cont2,223.0
Control,30,Cont3,379.0
Control,30,Cont4,364.0
Control,30,Cont5,317.0
Control,30,Cont6,345.0
Control,30,Cont7,332.0
Control,30,Cont8,299.0
Control,30,Cont9,266.0
Control,30,Cont10,235.0
Control,45,Cont1,240.0
Control,45,Cont2,253.0
Control,45,Cont3,283.0
Control,45,Cont4,271.0
Control,45,Cont5,269.0
Control,45,Cont6,281.0
Control,45,Cont7,227.0
Control,45,Cont8,268.0
Control,45,Cont9,223.0
Control,45,Cont10,210.0
Control,60,Cont1,199.0
Control,60,Cont2,197.0
Control,60,Cont3,228.0
Control,60,Cont4,219.0
Control,60,Cont5,194.0
Control,60,Cont6,189.0
Control,60,Cont7,223.0
Control,60,Cont8,259.0
Control,60,Cont9,198.0
Control,60,Cont10,201.0
Control,90,Cont1,176.0
Control,90,Cont2,142.0
Control,90,Cont3,176.0
Control,90,Cont4,183.0
Control,90,Cont5,166.0
Control,90,Cont6,136.0
Control,90,Cont7,188.0
Control,90,Cont8,214.0
Control,90,Cont9,110.0
Control,90,Cont10,166.0
Control,120,Cont1,100.0
Control,120,Cont2,104.0
Control,120,Cont3,126.0
Control,120,Cont4,131.0
Control,120,Cont5,154.0
Control,120,Cont6,122.0
Control,120,Cont7,161.0
Control,120,Cont8,150.0
Control,120,Cont9,88.0
Control,120,Cont10,146.0
Semaglutida,0,Sema1,98.0
Semaglutida,0,Sema2,72.0
Semaglutida,0,Sema3,108.0
Semaglutida,0,Sema4,63.0
Semaglutida,0,Sema5,114.0
Semaglutida,0,Sema6,88.0
Semaglutida,0,Sema7,103.0
Semaglutida,0,Sema8,69.0
Semaglutida,0,Sema9,85.0
Semaglutida,0,Sema10,125.0
Semaglutida,15,Sema1,199.0
Semaglutida,15,Sema2,252.0
Semaglutida,15,Sema3,281.0
Semaglutida,15,Sema4,262.0
Semaglutida,15,Sema5,305.0
Semaglutida,15,Sema6,295.0
Semaglutida,15,Sema7,304.0
Semaglutida,15,Sema8,273.0
Semaglutida,15,Sema9,243.0
Semaglutida,15,Sema10,244.0
Semaglutida,30,Sema1,174.0
Semaglutida,30,Sema2,221.0
Semaglutida,30,Sema3,255.0
Semaglutida,30,Sema4,226.0
Semaglutida,30,Sema5,214.0
Semaglutida,30,Sema6,263.0
Semaglutida,30,Sema7,201.0
Semaglutida,30,Sema8,227.0
Semaglutida,30,Sema9,267.0
Semaglutida,30,Sema10,207.0
Semaglutida,45,Sema1,163.0
Semaglutida,45,Sema2,182.0
Semaglutida,45,Sema3,209.0
Semaglutida,45,Sema4,195.0
Semaglutida,45,Sema5,193.0
Semaglutida,45,Sema6,196.0
Semaglutida,45,Sema7,191.0
Semaglutida,45,Sema8,203.0
Semaglutida,45,Sema9,204.0
Semaglutida,45,Sema10,188.0
Semaglutida,60,Sema1,153.0
Semaglutida,60,Sema2,165.0
Semaglutida,60,Sema3,165.0
Semaglutida,60,Sema4,180.0
Semaglutida,60,Sema5,187.0
Semaglutida,60,Sema6,168.0
Semaglutida,60,Sema7,172.0
Semaglutida,60,Sema8,179.0
Semaglutida,60,Sema9,173.0
Semaglutida,60,Sema10,162.0
Semaglutida,90,Sema1,129.0
Semaglutida,90,Sema2,117.0
Semaglutida,90,Sema3,135.0
Semaglutida,90,Sema4,143.0
Semaglutida,90,Sema5,145.0
Semaglutida,90,Sema6,133.0
Semaglutida,90,Sema7,136.0
Semaglutida,90,Sema8,152.0
Semaglutida,90,Sema9,113.0
Semaglutida,90,Sema10,129.0
Semaglutida,120,Sema1,96.0
Semaglutida,120,Sema2,100.0
Semaglutida,120,Sema3,114.0
Semaglutida,120,Sema4,113.0
Semaglutida,120,Sema5,125.0
Semaglutida,120,Sema6,112.0
Semaglutida,120,Sema7,117.0
Semaglutida,120,Sema8,118.0
Semaglutida,120,Sema9,105.0
Semaglutida,120,Sema10,97.0
