grupo,edad_muerte_dias
Control,649
Control,656
Control,681
Control,687
Control,695
Control,695
Control,717
Control,728
Control,736
Control,742
Control,742
Control,762
Control,791
Control,800
Control,804
Control,806
Control,811
Control,815
Control,828
Control,863
Control,629
Control,659
Control,664
Control,699
Control,718
Control,722
Control,728
Control,733
Control,739
Control,742
Control,749
Control,749
Control,756
Control,767
Control,800
Control,832
Control,839
Control,852
Control,884
Semaglutida,647
Semaglutida,664
Semaglutida,709
Semaglutida,741
Semaglutida,772
Semaglutida,787
Semaglutida,798
Semaglutida,805
Semaglutida,811
Semaglutida,813
Semaglutida,824
Semaglutida,833
Semaglutida,838
Semaglutida,851
Semaglutida,852
Semaglutida,863
Semaglutida,875
Semaglutida,881
Semaglutida,891
Semaglutida,906
Semaglutida,921
Semaglutida,698
Semaglutida,707
Semaglutida,718
Semaglutida,727
Semaglutida,747
Semaglutida,768
Semaglutida,792
Semaglutida,796
Semaglutida,835
Semaglutida,865
Semaglutida,863
Semaglutida,872
Semaglutida,884
Semaglutida,894
Semaglutida,906
Semaglutida,914
Semaglutida,918
Semaglutida,920
Semaglutida,924
