subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont1,24.3158
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont2,30.8304
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont3,30.3595
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont4,24.6496
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont5,22.7707
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont6,6.70402
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont7,16.8182
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont8,17.6315
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont9,30.3038
a,Campo abierto,Movimiento total,mas_es_mejor,Control,0,Cont10,16.2869
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema1,14.7093
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema2,14.1793
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema3,31.2653
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema4,28.0488
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema5,20.4736
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema6,19.5253
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema7,28.9236
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema8,17.9811
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema9,31.7697
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,0,Sema10,29.8358
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest1,26.3555
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest2,18.0549
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest3,19.1226
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest4,15.0782
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest5,28.4491
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest6,19.4273
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest7,17.2056
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest8,26.1781
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest9,26.2197
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,0,Rest10,12.8632
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont1,6.87413
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont2,18.3505
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont3,15.2589
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont4,7.26434
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont5,12.7285
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont6,13.4158
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont7,10.8217
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont8,13.9184
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont9,15.4539
a,Campo abierto,Movimiento total,mas_es_mejor,Control,2,Cont10,15.8053
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema1,22.7912
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema2,20.5233
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema3,25.7375
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema4,23.6284
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema5,21.5214
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema6,19.1251
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema7,26.6523
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema8,24.1196
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema9,21.1054
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,2,Sema10,22.8053
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest1,21.0654
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest2,22.0895
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest3,20.7705
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest4,19.2488
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest5,20.7208
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest6,30.0049
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest7,18.0472
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest8,14.9968
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest9,12.843
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,2,Rest10,12.1104
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont1,7.51416
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont2,9.17638
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont3,10.4911
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont4,9.43944
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont5,9.72572
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont6,11.2613
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont7,10.8127
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont8,12.3641
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont9,7.95141
a,Campo abierto,Movimiento total,mas_es_mejor,Control,4,Cont10,7.15627
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema1,17.833
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema2,16.1095
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema3,17.4845
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema4,22.6029
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema5,14.0863
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema6,25.374
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema7,24.6104
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema8,41.7371
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema9,16.0415
a,Campo abierto,Movimiento total,mas_es_mejor,Semaglutida,4,Sema10,16.6138
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest1,15.2009
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest2,18.1882
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest3,14.1871
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest4,15.3584
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest5,14.7356
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest6,15.2113
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest7,14.4889
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest8,16.2886
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest9,18.6762
a,Campo abierto,Movimiento total,mas_es_mejor,Restriccion calorica,4,Rest10,12.77787
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,0,Cont1,67.59989999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,0,Cont2,30.6
