periodo,n_dias,fuerza_p2,fuerza_p25,fuerza_mediana,fuerza_p75,fuerza_p98,fuerza_media,fuerza_std,inclinacion_p2,inclinacion_p25,inclinacion_mediana,inclinacion_p75,inclinacion_p98,inclinacion_media,inclinacion_std,latitud_p2,latitud_p25,latitud_mediana,latitud_p75,latitud_p98,latitud_media,latitud_std
1725-1754,5437,-3.0353,-0.9247,0.0274,1.081,3.0284,0.0572,1.4765,-1.9529,-0.6791,0.03,0.6773,1.79,-0.0119,0.9495,-2.0401,-0.6765,0.0554,0.7029,1.8108,0.0028,0.9719
1755-1784,5438,-2.8262,-0.974,0.0841,1.1028,3.0894,0.0789,1.481,-1.7144,-0.4811,0.0954,0.6562,1.7417,0.0841,0.8403,-2.246,-0.7252,-0.0073,0.652,1.7608,-0.0583,0.9823
1785-1814,5436,-2.9733,-1.093,-0.0457,0.9785,2.9255,-0.0497,1.4856,-1.8408,-0.6047,0.046,0.672,1.7646,0.0299,0.9079,-2.0976,-0.7553,-0.0645,0.6186,1.6943,-0.0919,0.9598
1815-1844,5438,-3.0797,-0.9946,0.048,1.07,3.0408,0.042,1.5042,-1.7261,-0.5279,0.1276,0.7129,1.848,0.0935,0.8855,-2.0885,-0.7108,0.011,0.6753,1.7239,-0.039,0.9673
1845-1874,5437,-3.1711,-1.0717,-0.0187,1.0653,3.0855,-0.0135,1.5505,-1.7584,-0.5661,0.0832,0.6901,1.6804,0.0487,0.8725,-2.2281,-0.669,0.0288,0.6823,1.7447,-0.0326,0.9772
1875-1904,5437,-3.0738,-1.0736,-0.0219,1.0863,3.0209,-0.0065,1.529,-1.8539,-0.6083,0.0352,0.635,1.6892,0.0005,0.8803,-2.1736,-0.6805,0.0581,0.7271,1.9319,0.0114,1.0189
1905-1934,5437,-2.9387,-0.9996,0.0134,1.0078,2.989,0.0126,1.4675,-1.9125,-0.6397,0.0216,0.6491,1.7728,-0.0063,0.9214,-2.1634,-0.7505,-0.0125,0.693,1.901,-0.0423,1.0186
1935-1964,5438,-3.1669,-1.1001,-0.0676,1.0035,2.9663,-0.0588,1.5133,-1.9181,-0.6088,0.0634,0.6604,1.7789,0.0177,0.9234,-2.1704,-0.6917,0.0051,0.707,1.8863,-0.0213,1.0087
1965-1994,5437,-2.9367,-0.9212,0.1327,1.1956,3.1194,0.1396,1.4946,-1.8089,-0.5744,0.0461,0.6871,1.759,0.0374,0.8981,-2.2302,-0.6932,0.0341,0.6982,1.8725,-0.0177,1.0088
1995-2024,5438,-2.7893,-0.822,0.2168,1.2347,3.1006,0.2044,1.4697,-1.7972,-0.6261,0.0174,0.6301,1.7639,-0.0007,0.8918,-2.1099,-0.6925,0.0661,0.7403,1.8861,0.0099,1.0092
