periodo,n_dias,fuerza_pct_bajo_-2sd,fuerza_pct_sobre_+2sd,inclinacion_pct_bajo_-2sd,inclinacion_pct_sobre_+2sd,latitud_pct_bajo_-2sd,latitud_pct_sobre_+2sd
1725-1754,5437,2.005,1.968,3.182,1.968,2.17,1.012
1755-1784,5438,1.453,2.17,1.637,1.655,3.126,0.772
1785-1814,5436,1.84,1.619,2.171,1.84,2.391,0.405
1815-1844,5438,2.115,2.023,1.581,2.243,2.391,0.644
1845-1874,5437,2.428,2.225,1.802,1.416,3.053,0.644
1875-1904,5437,2.152,1.95,2.354,1.435,2.814,1.435
1905-1934,5437,1.729,1.858,2.685,1.876,2.722,1.269
1935-1964,5438,2.483,1.747,2.777,1.968,2.997,1.361
1965-1994,5437,1.747,2.409,2.06,1.784,3.09,1.122
1995-2024,5438,1.269,2.243,2.004,1.839,2.648,1.306
