superficie,medio,fondo,referencia
1,0.25,1.25,"Lenaker P L, Baldwin A K, Corsi S R, et al. Vertical distribution of microplastics in the water column and surficial sediment from the Milwaukee River Basin to Lake Michigan[J]. Environmental science & technology, 2019, 53(21): 12227-12237."
1,0.21,0.4,"Liu Y, Cao W, Hu Y, et al. Horizontal and vertical distribution of microplastics in dam reservoir after impoundment[J]. Science of The Total Environment, 2022, 832: 154962."
1,0.12,0.07,"Liu Y, Cao W, Hu Y, et al. Horizontal and vertical distribution of microplastics in dam reservoir after impoundment[J]. Science of The Total Environment, 2022, 832: 154962."
1,0.7,1.0,"Lestari P, Trihadiningrum Y, Wijaya B A, et al. Distribution of microplastics in Surabaya river, Indonesia[J]. Science of the Total Environment, 2020, 726: 138560."
1,,0.48,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
1,0.73,0.33,"Yang R, Xu X, Xue Y, et al. Horizontal and vertical distribution of microplastics in Gehu Lake, China[J]. Water Supply, 2022, 22(12): 8669-8681."
1,0.76,0.64,"Tamminga M, Fischer E K. Microplastics in a deep, dimictic lake of the North German Plain with special regard to vertical distribution patterns[J]. Environmental pollution, 2020, 267: 115507."
1,0.92,0.92,"Wei N, Bai M, Wang Y, et al. Dynamic signatures of microplastic distribution across the water column of Yangtze River Estuary: Complicated implication of tidal effects[J]. Marine Environmental Research, 2023, 188: 106005."
1,,0.62,"Xu C, Zhou G, Lu J, et al. Spatio-vertical distribution of riverine microplastics: Impact of the textile industry[J]. Environmental Research, 2022, 211: 112789."
1,0.68,0.48,"Liedermann M, Gmeiner P, Pessenlehner S, et al. A methodology for measuring microplastic transport in large or medium rivers[J]. Water, 2018, 10(4): 414."
1,0.98,1.6,"Vriend P, Schoor M, Rus M, et al. Macroplastic concentrations in the water column of the river Rhine increase with higher discharge[J]. Science of The Total Environment, 2023, 900: 165716."
