rango_tamano,fraccion,referencia
0.05-0.5mm,0.36,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
0.5-1mm,0.28,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
1-2mm,0.22,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
2-3mm,0.08,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
3-4mm,0.04,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
4-5mm,0.02,"Wang W, Ndungu A W, Li Z, et al. Microplastics pollution in inland freshwaters of China: A case study in urban surface waters of Wuhan, China[J]. Science of the Total Environment, 2017, 575: 1369-1374."
0.333-0.5mm,0.13,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
0.5-1mm,0.33,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
1-2mm,0.33,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
2-5mm,0.22,"Campanale C, Stock F, Massarelli C, et al. Microplastics and their possible sources: The example of Ofanto river in southeast Italy[J]. Environmental Pollution, 2020, 258: 113284."
0.1-1mm,0.26,"Chauhan J S, Semwal D, Nainwal M, et al. Investigation of microplastic pollution in river Alaknanda stretch of Uttarakhand[J]. Environment, Development and Sustainability, 2021: 1-15."
1-2mm,0.22,"Chauhan J S, Semwal D, Nainwal M, et al. Investigation of microplastic pollution in river Alaknanda stretch of Uttarakhand[J]. Environment, Development and Sustainability, 2021: 1-15."
2-3mm,0.17,"Chauhan J S, Semwal D, Nainwal M, et al. Investigation of microplastic pollution in river Alaknanda stretch of Uttarakhand[J]. Environment, Development and Sustainability, 2021: 1-15."
