ciudad,z_mann_kendall,p_valor,sen_slope_emocion_por_3h,mejor_lag_dias,lat_aprox,lon_aprox
Beijing,-2.3683,0.0179,-2.3e-05,3.6,39.9,116.4
Shanghai,7.817,5.33e-15,7.8e-05,2.9,31.2,121.5
Guangzhou,-4.0572,5e-05,-5.9e-05,2.5,23.1,113.3
Shenzhen,2.3623,0.0182,2.8e-05,2.9,22.5,114.1
Tianjin,3.0763,0.0021,5.4e-05,4.0,39.1,117.2
Chongqing,-1.9819,0.0475,-3.7e-05,3.4,29.6,106.6
Nanjing,3.8714,0.0001,2.5e-05,2.6,32.1,118.8
Suzhou,9.587,0.0,0.000146,3.0,31.3,120.6
Hangzhou,-2.7953,0.0052,-4.1e-05,2.6,30.3,120.2
Wuhan,-2.309,0.0209,-3.2e-05,3.0,30.6,114.3
Xian,-2.0535,0.04,-3.5e-05,3.2,34.3,108.9
Wuxi,-4.4134,1e-05,-7.3e-05,2.9,31.6,120.3
Ningbo,-5.604,2.09e-08,-0.000114,2.9,29.9,121.6
Changsha,-6.0617,1.35e-09,-3.3e-05,2.8,28.2,112.9
Hefei,-6.817,9.3e-12,-0.000183,3.4,31.8,117.2
Fuzhou,3.0925,0.002,8.6e-05,2.4,26.1,119.3
Jinan,-2.361,0.0182,-5.4e-05,3.5,36.7,117.0
Shenyang,2.3145,0.0206,4.4e-05,3.3,41.8,123.4
Haerbin,2.0689,0.0386,1.9e-05,2.9,45.8,126.6
Dalian,-4.8353,1.33e-06,-7.2e-05,3.1,38.9,121.6
Xiamen,-3.2981,0.001,-4.2e-05,2.2,24.5,118.1
Foshan,2.3862,0.017,2.3e-05,2.8,23.0,113.1
Nanning,-2.5295,0.0114,-5.4e-05,2.0,22.8,108.3
Haikou,2.5018,0.0124,0.000115,2.2,20.0,110.3
Guiyang,2.6206,0.0088,3.2e-05,2.6,26.6,106.7
Lanzhou,-2.7202,0.0065,-0.000124,3.3,36.1,103.8
Nanchang,-2.7852,0.0053,-4e-05,3.2,28.7,115.9
Huhehaote,-3.7197,0.0002,-8.4e-05,3.5,40.8,111.7
Wulumuqi,2.3429,0.0191,5.5e-05,3.8,43.8,87.6
Changzhou,-8.4626,0.0,-0.000326,3.3,31.8,119.9
Dongguan,3.5582,0.0004,7.2e-05,3.1,23.0,113.7
Huizhou,-2.9159,0.0035,-8.8e-05,2.5,23.1,114.4
Jiaxing,-2.3576,0.0184,-3.1e-05,2.8,30.8,120.8
Nantong,-2.5822,0.0098,-4.5e-05,2.5,32.0,120.9
Quanzhou,-4.8088,1.52e-06,-9.4e-05,2.3,24.9,118.6
Wenzhou,-2.0244,0.0429,-4.2e-05,2.2,28.0,120.7
Xuzhou,3.4753,0.0005,0.000111,3.4,34.3,117.2
Yantai,2.0603,0.0394,3.7e-05,2.7,37.5,121.4
Zhongshan,2.2163,0.0267,7e-05,2.6,22.5,113.4
