time_utc,t_min,lat,lon,x_m,y_m,elev_m,dist_km,vel_kmh
2026-03-24T08:59:03.000Z,0,46.2336,6.04692,0,0,438.2,0,0
2026-03-24T08:59:04.000Z,0.0167,46.2336,6.04691,-0.9,-6,438.5,0.0061,21.8702
2026-03-24T08:59:05.000Z,0.0333,46.2335,6.04689,-2,-10.9,440.2,0.0112,18.426
2026-03-24T08:59:06.000Z,0.05,46.2335,6.04688,-2.8,-14.4,441.7,0.0147,12.7145
2026-03-24T08:59:07.000Z,0.0667,46.2335,6.04688,-3.2,-16.5,442.8,0.0169,7.7851
2026-03-24T08:59:08.000Z,0.0833,46.2335,6.04687,-3.6,-17.4,442.8,0.0179,3.4889
2026-03-24T08:59:09.000Z,0.1,46.2335,6.04687,-4,-19,442.5,0.0196,6.1621
2026-03-24T08:59:10.000Z,0.1167,46.2334,6.04686,-4.3,-20.2,442.7,0.0208,4.5405
2026-03-24T08:59:11.000Z,0.1333,46.2334,6.04686,-4.7,-21.6,442.3,0.0222,4.9992
2026-03-24T08:59:12.000Z,0.15,46.2334,6.04685,-5.2,-23.2,442.3,0.024,6.3096
2026-03-24T08:59:13.000Z,0.1667,46.2334,6.04685,-5.7,-24.4,442.4,0.0253,4.7063
2026-03-24T08:59:14.000Z,0.1833,46.2334,6.04684,-6.2,-26.2,442.8,0.0271,6.6917
2026-03-24T08:59:15.000Z,0.2,46.2334,6.04683,-6.9,-27.4,443.2,0.0285,4.9291
2026-03-24T08:59:16.000Z,0.2167,46.2334,6.04682,-7.5,-28.7,443.2,0.03,5.2898
2026-03-24T08:59:17.000Z,0.2333,46.2334,6.04682,-7.9,-30,443,0.0313,4.7063
2026-03-24T08:59:18.000Z,0.25,46.2333,6.04681,-8.5,-30.8,442.9,0.0324,3.8939
2026-03-24T08:59:19.000Z,0.2667,46.2333,6.0468,-9.2,-31.6,443,0.0334,3.572
2026-03-24T08:59:20.000Z,0.2833,46.2333,6.04679,-9.7,-31.6,442.8,0.0339,1.9383
2026-03-24T08:59:21.000Z,0.3,46.2333,6.04679,-10.2,-30.8,442.6,0.0348,3.2576
2026-03-24T08:59:22.000Z,0.3167,46.2334,6.04678,-10.6,-30,442.2,0.0358,3.6077
2026-03-24T08:59:23.000Z,0.3333,46.2334,6.04678,-11.2,-30,441.7,0.0363,1.9383
2026-03-24T08:59:24.000Z,0.35,46.2334,6.04677,-11.6,-30.4,441.3,0.0369,2.1168
2026-03-24T08:59:25.000Z,0.3667,46.2333,6.04676,-12.1,-32.1,441.3,0.0387,6.3096
2026-03-24T08:59:26.000Z,0.3833,46.2333,6.04676,-12.6,-33.7,441.6,0.0404,6.2301
2026-03-24T08:59:27.000Z,0.4,46.2333,6.04675,-13.2,-36.7,442.1,0.0435,11.0328
2026-03-24T08:59:28.000Z,0.4167,46.2333,6.04674,-13.8,-38.8,442.1,0.0457,7.9218
2026-03-24T08:59:29.000Z,0.4333,46.2333,6.04673,-14.4,-40.5,442.1,0.0475,6.4001
2026-03-24T08:59:31.000Z,0.4667,46.2332,6.04672,-15.4,-43.4,442.1,0.0506,5.6959
2026-03-24T08:59:32.000Z,0.4833,46.2332,6.04671,-16,-45.1,442.1,0.0524,6.4001
2026-03-24T08:59:33.000Z,0.5,46.2332,6.0467,-16.6,-46.4,442.1,0.0539,5.2898
2026-03-24T08:59:34.000Z,0.5167,46.2332,6.0467,-17.1,-49.7,445.2,0.0572,12.1234
2026-03-24T08:59:35.000Z,0.5333,46.2332,6.04669,-17.6,-51.8,446.3,0.0594,7.8488
2026-03-24T08:59:36.000Z,0.55,46.2331,6.04669,-18,-53.6,447.3,0.0612,6.5528
2026-03-24T08:59:37.000Z,0.5667,46.2331,6.04668,-18.5,-54.8,448.3,0.0625,4.7063
2026-03-24T08:59:38.000Z,0.5833,46.2331,6.04667,-18.9,-56.2,448.8,0.064,5.0828
2026-03-24T08:59:39.000Z,0.6,46.2331,6.04667,-19.5,-57.4,449,0.0653,4.811
2026-03-24T08:59:40.000Z,0.6167,46.2331,6.04666,-20.1,-58.6,449.1,0.0667,4.9291
2026-03-24T08:59:41.000Z,0.6333,46.2331,6.04665,-20.6,-60.4,449.4,0.0685,6.6168
2026-03-24T08:59:42.000Z,0.65,46.2331,6.04665,-21,-62,449.7,0.0702,6.2301
2026-03-24T08:59:43.000Z,0.6667,46.2331,6.04664,-21.5,-63.2,449.9,0.0715,4.7063
2026-03-24T08:59:44.000Z,0.6833,46.233,6.04664,-21.9,-65,450,0.0734,6.5528
2026-03-24T08:59:45.000Z,0.7,46.233,6.04663,-22.3,-66.7,449.9,0.0751,6.2301
2026-03-24T08:59:46.000Z,0.7167,46.233,6.04662,-22.7,-67.9,449.8,0.0764,4.6158
2026-03-24T08:59:47.000Z,0.7333,46.233,6.04662,-23.1,-69.2,449.9,0.0778,4.9992
2026-03-24T08:59:48.000Z,0.75,46.233,6.04662,-23.4,-70.9,450,0.0795,6.1058
2026-03-24T08:59:49.000Z,0.7667,46.233,6.04661,-23.7,-72.1,450.2,0.0807,4.5405
