covariate,level,n,mean_prop,SE,ci84_lower,ci84_upper
Education,No high school,114,0.1705135167937013,0.04872987010212808,0.1027789973517433,0.2382480362356593
Education,High school grad,874,0.0833288225016575,0.01198998030848316,0.06666274987286591,0.0999948951304491
Education,Some college,736,0.07651095860464482,0.01255022658981511,0.05906614364480182,0.09395577356448782
Education,2-year,341,0.07353364475650111,0.01762179353994976,0.04903935173597095,0.09802793777703127
Education,4-year,715,0.04273242802724782,0.008695357976774787,0.03064588043953086,0.05481897561496477
Education,Post-grad,447,0.01995172311183142,0.007685230851081641,0.009269252228827943,0.03063419399483491
"Fam Inc
(%ile)",0-20%,392,0.1092558678426999,0.02090953387867528,0.08019161575134125,0.1383201199340585
"Fam Inc
(%ile)",21-40%,620,0.07171811478890802,0.01325410362851765,0.05329491074526849,0.09014131883254756
"Fam Inc
(%ile)",41-60%,791,0.06242038431070099,0.01118283111055583,0.04687624906702838,0.07796451955437358
"Fam Inc
(%ile)",61-80%,525,0.07356942560157124,0.01373382090462525,0.05447941454414215,0.09265943665900034
"Fam Inc
(%ile)",81-100%,618,0.04293864447469243,0.009295890193809544,0.03001735710529716,0.0558599318440877
"Attend
relig svcs",Weekly,656,0.09197178795565822,0.01337078253904644,0.07338640022638367,0.1105571756849328
"Attend
relig svcs",Monthly,187,0.1000301883060164,0.02653927619821565,0.06314059439049668,0.1369197822215362
"Attend
relig svcs",Yearly,315,0.08912753370568334,0.01992102047497291,0.061437315245471,0.1168177521658957
"Attend
relig svcs",Seldom,712,0.04323559124655279,0.009618209797239102,0.02986627962839044,0.05660490286471514
"Attend
relig svcs",Never,1299,0.05300765862509282,0.00805050132776051,0.04181746177950571,0.06419785547067992
Party,Democrat,1405,0.03878801892998351,0.006501603404267435,0.02975079019805178,0.04782524766191524
Party,Independent,478,0.07061994710599673,0.01500280392124694,0.04976604965546348,0.09147384455652997
Party,Republican,1275,0.086553840858478,0.009475283027373334,0.07338319745042907,0.09972448426652694
Party,Not sure,65,0.1083525236873135,0.05022608476129593,0.03853826586911216,0.1781667815055148
Ideo,Very liberal,457,0.02879282444854123,0.009724039480858357,0.01527640957014812,0.04230923932693435
Ideo,Liberal,579,0.02942168902645739,0.008786888696650442,0.01720791373811328,0.04163546431480151
Ideo,Moderate,887,0.06355081158427546,0.01051767197732332,0.04893124753579604,0.07817037563275488
Ideo,Conservative,667,0.07042862840981783,0.01206874500263751,0.05365307285615169,0.08720418396348396
Ideo,Very conservative,453,0.1070610223989804,0.01675069127356668,0.0837775615287227,0.1303444832692381
Ideo,Not sure,181,0.1211068562306208,0.03148837897190555,0.07733800945967209,0.1648757030015695
"2020
Vote",Trump,1284,0.08318158690452093,0.008731388465590946,0.07104495693734952,0.09531821687169234
"2020
Vote",Biden,1473,0.02711295217036201,0.00482225198850162,0.02041002190634476,0.03381588243437926
"2020
Vote",Did not vote,397,0.09232578194627024,0.01635751082940917,0.06958884189339148,0.115062721999149
"Consp.
beliefs",0-20%,737,0.02453893477580094,0.006938263115932366,0.01489474904465495,0.03418312050694693
"Consp.
beliefs",21-40%,645,0.06674652090678361,0.01249707565580143,0.04937558574521962,0.0841174560683476
"Consp.
beliefs",41-60%,552,0.08582823140764335,0.0156433212017971,0.06408401493714538,0.1075724478781413
"Consp.
beliefs",61-80%,748,0.05243343873072914,0.009819604211925627,0.03878418887615252,0.06608268858530576
"Consp.
beliefs",81-100%,528,0.1100880781739161,0.01659101455912476,0.08702656793673264,0.1331495884110995
Male,18-29,157,0.1687542915981325,0.03995662610097606,0.1132145813177758,0.2242940018784892
Male,30-44,291,0.09655518310602838,0.02109601779836907,0.06723171836629538,0.1258786478457614
Male,45-64,588,0.04766090149982925,0.01064594060288983,0.0328630440618124,0.06245875893784611
Male,65+,424,0.0411784905886527,0.01142336667568176,0.02530001090945506,0.05705697026785034
Female,18-29,302,0.06435237172838472,0.01843162475105771,0.03873241332441451,0.08997233013235492
Female,30-44,392,0.03929780577428116,0.01241371936391729,0.02204273585843613,0.05655287569012619
Female,45-64,623,0.05561867438392822,0.01069909745957674,0.04074692891511655,0.07049041985273989
Female,65+,410,0.07695534975516687,0.01633207248072955,0.05425376900695279,0.09965693050338094
