predictor,level,estimate,SE,ci95_lower,ci95_upper,t,p_value,panel,teoria
total_hardships_bin,Zero,0.04727336184200811,0.0,0.04727336184200811,0.04727336184200811,7.156349990280334,1.021256174781065e-12,a,dificultades_personales
total_hardships_bin,One,0.07047858456080074,0.01022526357374584,0.05043706795625889,0.09052010116534258,2.26940093538262,0.02330975894860716,a,dificultades_personales
total_hardships_bin,Two,0.1077473157735806,0.01274222897850525,0.0827725469757103,0.1327220845714509,4.745947826992079,2.165630517721878e-06,a,dificultades_personales
total_hardships_bin,Three+,0.08298818148025966,0.01710343534744828,0.04946544819926103,0.1165109147612583,2.088166436316548,0.03686113483105615,a,dificultades_personales
pctChg,Bottom 25%,0.04738999201671808,0.0,0.04738999201671808,0.04738999201671808,4.074459191330424,4.866171358955561e-05,b,crecimiento_ocupacional
pctChg,Second,0.0746383889692091,0.01879061982680982,0.03780877410866186,0.1114680038297563,1.450106340484519,0.1472487689354111,b,crecimiento_ocupacional
pctChg,Third,0.07013672232248748,0.01726422491177294,0.03629884149541251,0.1039746031495624,1.317564525602177,0.1878611100099139,b,crecimiento_ocupacional
pctChg,Top 25%,0.07488070120023745,0.01789538647151056,0.03980574371607675,0.1099556586843981,1.536189745177315,0.1247136871479923,b,crecimiento_ocupacional
cty_distress,Bottom 25%,0.03995412120150858,0.0,0.03995412120150858,0.03995412120150858,4.40814628275572,1.076700755643137e-05,c,distress_condado
cty_distress,Second,0.08147765322811645,0.01267091136155539,0.0566426669594679,0.106312639496765,3.277075408529317,0.001060028069776628,c,distress_condado
cty_distress,Third,0.06699418522555994,0.01256393986704115,0.04236886308615929,0.09161950736496059,2.152196230657334,0.03145610365533006,c,distress_condado
cty_distress,Top 25%,0.07947715573531375,0.01255646960465437,0.05486647531019119,0.1040878361604363,3.147623159869314,0.001661103623378151,c,distress_condado
cty_wht_chg,Bottom 25%,0.06284894956287411,0.0,0.06284894956287411,0.06284894956287411,7.181858350884071,8.505371466578213e-13,d,cambio_pct_blanco_condado
cty_wht_chg,Second,0.05535781741109581,0.012535306239372,0.0307886171819267,0.07992701764026493,-0.5976026439824412,0.5501471747162135,d,cambio_pct_blanco_condado
cty_wht_chg,Third,0.05147855669087493,0.01239978875724599,0.02717497072667279,0.07578214265507707,-0.9169827885458722,0.3592204173344474,d,cambio_pct_blanco_condado
cty_wht_chg,Top 25%,0.09927326488218689,0.01238284098210241,0.07500289655726616,0.1235436332071076,2.941515228367934,0.003289426613051028,d,cambio_pct_blanco_condado
cty_pct_wht_2019,Bottom 25%,0.06447528810395707,0.0,0.06447528810395707,0.06447528810395707,7.39558282952508,1.786760174505565e-13,e,pct_blanco_condado
cty_pct_wht_2019,Second,0.02805525287170019,0.01246594517401781,0.003622000330625288,0.0524885054127751,-2.921562282189839,0.003507062928328527,e,pct_blanco_condado
cty_pct_wht_2019,Third,0.08692708862200842,0.01243151921708008,0.06256131095653146,0.1112928662874854,1.80603835508729,0.07100580520332204,e,pct_blanco_condado
cty_pct_wht_2019,Top 25%,0.08908094992874267,0.0123272115353503,0.06491961531945609,0.1132422845380293,1.996044422067782,0.04601327285864053,e,pct_blanco_condado
rural4,Central metro,0.06385547219442439,0.0,0.06385547219442439,0.06385547219442439,7.052966055170247,2.134945820143668e-12,f,ruralidad
rural4,Suburb. metro,0.06161589660372215,0.01310778662472983,0.03592463481925167,0.08730715838819261,-0.1708584107157302,0.8643458474796669,f,ruralidad
rural4,Small metro,0.06405044130747088,0.01167038429264333,0.04117648809388996,0.0869243945210518,0.01670631473287428,0.9866719457434828,f,ruralidad
rural4,Non- metro,0.08532414396327195,0.01370263642040162,0.05846697657928477,0.1121813113472591,1.566754828062374,0.1172703928717641,f,ruralidad
sm_freq_bin,Weekly or less,0.07572560160400267,0.0,0.07572560160400267,0.07572560160400267,9.051559236666558,2.384047499028612e-19,g,frecuencia_redes
sm_freq_bin,Once per day,0.06260926483563452,0.01358435565295115,0.03598392775585027,0.08923460191541877,-0.9655472150067482,0.3343433985773514,g,frecuencia_redes
sm_freq_bin,Multiple per day,0.05037447140590207,0.01083124312149149,0.02914523488777875,0.07160370792402539,-2.34055591899683,0.01931586545840516,g,frecuencia_redes
sm_freq_bin,>10 per day,0.09941550487479774,0.01411457082520752,0.07175094605739099,0.1270800636922045,1.678400538292439,0.09336608798955408,g,frecuencia_redes
sm_pol_bin,Never,0.06420836358671551,0.0,0.06420836358671551,0.06420836358671551,11.06476894608348,5.887617640666885e-28,h,politica_en_redes
sm_pol_bin,Once,0.06863684899563001,0.01213861043834092,0.04484517253648181,0.09242852545477821,0.3648263886059577,0.7152649416042325,h,politica_en_redes
sm_pol_bin,Twice,0.06278814756172697,0.0145010461520374,0.03436609710373367,0.09121019801972027,-0.09793886662370202,0.9219869272744393,h,politica_en_redes
sm_pol_bin,Three+,0.08142364822911656,0.01309158120922644,0.05576414905903274,0.1070831473992004,1.314988951087771,0.1886071674572244,h,politica_en_redes
online_bin,None,0.06168807648119555,0.0,0.06168807648119555,0.06168807648119555,12.1211524562694,4.824097793992685e-33,i,amigos_solo_online
online_bin,One,0.06418221974863152,0.01374730060409447,0.03723751056460636,0.09112692893265667,0.1814278554942715,0.8560440906267744,i,amigos_solo_online
online_bin,Two,0.1312444837049297,0.02699124276806576,0.07834164787952086,0.1841473195303386,2.576999059340414,0.01001388101853374,i,amigos_solo_online
online_bin,All three,0.190267308844884,0.02720816170559459,0.1369393119019186,0.2435953057878494,4.72575963620687,2.398785679634601e-06,i,amigos_solo_online
