caseid,peso,grupo_experimental,apoya_nacionalismo_blanco,apoya_sin_descripcion,apoya_con_descripcion,genero,edad,edad_grupo,educacion,ingreso_percentil,ingreso_quintil,asistencia_religiosa,partido,ideologia,voto_2020,dificultades_personales_n,amigos_solo_online_n,redes_frecuencia,redes_politica_n,identidad_blanca_indice,apoyo_violencia_indice,conspiracion_indice,condado_pct_blanco_2019,condado_cambio_pct_blanco,condado_distress,condado_ruralidad,info_pct_correcto
1636873467,1.44279247537555,control,0,0.0,,Woman,61,45-64,4-year,,,Never,Republican,Conservative,Trump,0,1.0,5.0,0.0,42.889763169786754,0.0,75.0,54.567047119140625,-8.975074768066406,-0.9139622449874878,Suburban metro,90.0
1638704467,0.138610041381869,control,0,0.0,,Woman,35,30-44,High school graduate,52.0,41-60%,Never,Independent,Moderate,Biden,0,1.0,3.0,0.0,32.19871644409804,0.0,63.29736503632217,54.99137878417969,-4.136608123779297,0.003968510311096907,Medium/small metro,10.0
1641147043,1.03614232536096,treated,0,,0.0,Man,66,65+,High school graduate,,,Yearly,Republican,Conservative,Trump,1,0.0,4.0,3.0,60.953176055406345,0.0,75.0,67.42913055419922,-5.052223205566406,-0.8297764658927917,Suburban metro,90.0
1644624827,0.344578476860254,treated,0,,0.0,Woman,35,30-44,High school graduate,10.0,0-20%,Never,Independent,Liberal,Biden,1,1.0,2.0,0.0,4.9380166328285275,0.0,50.0,38.0373420715332,-6.013134002685547,-0.6178629398345947,Medium/small metro,30.0
1645570517,1.07921595616997,control,0,0.0,,Woman,66,65+,2-year,52.0,41-60%,Never,Republican,Very conservative,Trump,0,0.0,4.0,0.0,72.55306592765267,0.0,50.0,79.97344207763672,-4.433349609375,-0.30087965726852417,Medium/small metro,60.0
1645715425,0.775237829175691,control,0,0.0,,Man,58,45-64,Some college,32.0,21-40%,Seldom,Republican,Moderate,Trump,0,0.0,5.0,0.0,54.531357901639225,0.0,41.40453330371697,26.203954696655273,-2.6932945251464844,-0.22114193439483643,Central metro,0.0
1648061519,0.435636403789737,control,0,0.0,,Woman,20,18-29,High school graduate,1.0,0-20%,Don't know,Independent,Not sure,Trump,2,0.0,8.0,0.0,73.28574680541594,63.41609753586487,71.89283173260522,95.39720153808594,-1.0390853881835938,-0.6093757152557373,Non-metro,0.0
1651145173,1.0264239126247,control,0,0.0,,Woman,52,45-64,Post-grad,93.0,81-100%,Seldom,Democrat,Liberal,Biden,0,0.0,2.0,1.0,20.959393794554305,0.0,0.0,36.5784912109375,4.674434661865234,-0.1690656989812851,Central metro,
1654274079,1.62022863825294,treated,0,,0.0,Woman,58,45-64,High school graduate,10.0,0-20%,Seldom,Democrat,Moderate,Did not vote,1,0.0,2.0,0.0,53.5763693243973,0.0,54.701898340039136,57.05282211303711,-5.678810119628906,-0.9289579391479492,Suburban metro,60.0
1655226019,1.17542332367566,treated,0,,0.0,Other,18,18-29,2-year,75.0,61-80%,Yearly,Independent,Very liberal,Did not vote,1,1.0,2.0,2.0,22.178385797432917,0.0,63.29736503632217,93.83020782470703,-1.296478271484375,-1.0440037250518799,Suburban metro,100.0
