grupo,ratio_alterno_cruzado
Control,2.0
Apallial,3.00000003
XCX,2.0
Control,0.666666666666667
Apallial,0.714285714285714
XCX,12.00000048
Control,1.33333333333333
Apallial,14.99999925
XCX,2.7500000275
Control,1.25
Apallial,1.33333333333333
XCX,3.33333333333333
Control,1.66666666666667
Apallial,3.33333333333333
XCX,5.0
Control,1.33333333333333
Apallial,4.600000092
XCX,1.7999999856
Control,1.33333333333333
Apallial,2.37500000890625
XCX,1.0
Control,1.33333333333333
Apallial,0.5
Control,1.85714285183673
Apallial,0.37499999953125
Control,0.727272727272727
Apallial,0.4
Control,0.357142857142857
Control,1.0
Control,0.562499999296875
Control,0.8
Control,1.0
Control,1.4000000084
