cluster,muestra_id,linea_hips,dias_diferenciacion,replica,pct_nucleos
GluN_Immature,1208-2_d168,1208-2,168,replicate_1,28.109
GluN_L2/3-IT,1208-2_d168,1208-2,168,replicate_1,14.785
GluN_L3-6-IT,1208-2_d168,1208-2,168,replicate_1,22.84
GluN_L5-ET,1208-2_d168,1208-2,168,replicate_1,2.225
GluN_L5/6-NP,1208-2_d168,1208-2,168,replicate_1,2.485
GluN_L6-CT,1208-2_d168,1208-2,168,replicate_1,3.795
GluN_L6b/SP,1208-2_d168,1208-2,168,replicate_1,4.737
GluN_other,1208-2_d168,1208-2,168,replicate_1,1.584
GluN_Immature,1208-2_d168,1208-2,168,replicate_2,23.383
GluN_L2/3-IT,1208-2_d168,1208-2,168,replicate_2,10.056
GluN_L3-6-IT,1208-2_d168,1208-2,168,replicate_2,15.396
GluN_L5-ET,1208-2_d168,1208-2,168,replicate_2,2.04
GluN_L5/6-NP,1208-2_d168,1208-2,168,replicate_2,3.368
GluN_L6-CT,1208-2_d168,1208-2,168,replicate_2,4.407
GluN_L6b/SP,1208-2_d168,1208-2,168,replicate_2,6.361
GluN_other,1208-2_d168,1208-2,168,replicate_2,4.398
GluN_Immature,8119-1_d168,8119-1,168,replicate_1,25.861
GluN_L2/3-IT,8119-1_d168,8119-1,168,replicate_1,14.753
GluN_L3-6-IT,8119-1_d168,8119-1,168,replicate_1,14.12
GluN_L5-ET,8119-1_d168,8119-1,168,replicate_1,3.971
GluN_L5/6-NP,8119-1_d168,8119-1,168,replicate_1,2.993
GluN_L6-CT,8119-1_d168,8119-1,168,replicate_1,3.904
GluN_L6b/SP,8119-1_d168,8119-1,168,replicate_1,6.628
GluN_other,8119-1_d168,8119-1,168,replicate_1,1.141
GluN_Immature,8119-1_d168,8119-1,168,replicate_2,26.861
GluN_L2/3-IT,8119-1_d168,8119-1,168,replicate_2,9.169
GluN_L3-6-IT,8119-1_d168,8119-1,168,replicate_2,8.879
GluN_L5-ET,8119-1_d168,8119-1,168,replicate_2,4.025
GluN_L5/6-NP,8119-1_d168,8119-1,168,replicate_2,2.907
GluN_L6-CT,8119-1_d168,8119-1,168,replicate_2,4.17
GluN_L6b/SP,8119-1_d168,8119-1,168,replicate_2,5.564
GluN_other,8119-1_d168,8119-1,168,replicate_2,10.221
GluN_Immature,8119-1_d177,8119-1,177,replicate_1,15.644
GluN_L2/3-IT,8119-1_d177,8119-1,177,replicate_1,26.621
GluN_L3-6-IT,8119-1_d177,8119-1,177,replicate_1,27.024
GluN_L5-ET,8119-1_d177,8119-1,177,replicate_1,2.895
GluN_L5/6-NP,8119-1_d177,8119-1,177,replicate_1,1.873
GluN_L6-CT,8119-1_d177,8119-1,177,replicate_1,3.4
GluN_L6b/SP,8119-1_d177,8119-1,177,replicate_1,4.682
GluN_other,8119-1_d177,8119-1,177,replicate_1,0.504
GluN_Immature,8119-1_d177,8119-1,177,replicate_2,20.79
GluN_L2/3-IT,8119-1_d177,8119-1,177,replicate_2,9.432
GluN_L3-6-IT,8119-1_d177,8119-1,177,replicate_2,18.161
GluN_L5-ET,8119-1_d177,8119-1,177,replicate_2,4.396
GluN_L5/6-NP,8119-1_d177,8119-1,177,replicate_2,3.587
GluN_L6-CT,8119-1_d177,8119-1,177,replicate_2,11.156
GluN_L6b/SP,8119-1_d177,8119-1,177,replicate_2,14.137
GluN_other,8119-1_d177,8119-1,177,replicate_2,0.213
