grupo,raton_idx,distancia_cm,alternancia_pct
Control,1,950.8,47.6
Control,2,1190.3,65.2
Control,3,1335.8,38.7
Control,4,1377.7,60.6
Control,5,900.6,66.7
Control,6,1271.8,64.3
Control,7,946.0,70.8
Control,8,688.9,85.7
Control,9,1061.9,43.5
Control,10,1808.7,48.7
Control,11,1206.2,77.3
Control,12,858.6,54.5
Control,13,1414.5,50.0
Control,14,1573.7,56.0
Control,15,1843.7,58.5
Control,16,1643.9,69.7
Control,17,1328.5,48.1
Control,18,1385.5,70.4
Control,19,1141.3,50.0
Control,20,1253.1,75.0
Control,21,1980.3,60.4
Control,22,2176.6,59.3
Control,23,2112.5,57.9
Control,24,1627.7,50.0
Control,25,1626.9,63.0
Control,26,1496.9,76.7
Control,27,1603.9,61.8
Control,28,1802.5,61.8
Control,29,2070.56,61.0
Control,30,1281.8,52.6
Control,31,1885.86,72.2
Control,32,2079.14,61.0
Control,33,1962.92,62.2
Control,34,1628.1,51.4
Control,35,1467.8,63.9
Control,36,1376.4,54.8
Control,37,933.1,81.3
Control,38,1457.3,51.6
Control,39,1437.5,62.1
Apallial,1,800.8,40.0
Apallial,2,1219.4,89.3
Apallial,3,2299.8,48.4
Apallial,4,2060.855,41.9
Apallial,5,1412.8,48.1
Apallial,6,927.2,40.0
Apallial,7,869.3,81.8
Apallial,8,1472.8,74.2
Apallial,9,765.1,30.8
Apallial,10,977.5,69.2
Apallial,11,1338.15,47.06
Apallial,12,1283.55,76.19
Apallial,13,961.49,83.33
Apallial,14,1058.44,46.15
Apallial,15,838.81,40.0
Apallial,16,1115.2,29.41
XCX,1,1392.0,84.6
XCX,2,1534.0,82.1
XCX,3,1037.373,94.4
XCX,4,1148.229,65.0
XCX,5,1159.357,40.0
XCX,6,1410.5,82.8
XCX,7,1197.8,44.0
XCX,8,1058.8,60.0
XCX,9,640.9,80.0
XCX,10,987.2,65.0
XCX,11,2444.1,56.6
XCX,12,1919.3,52.0
XCX,13,1894.7,77.4
XCX,14,1990.9,70.7
XCX,15,948.7,52.2
XCX,16,1438.8,51.4
XCX,17,1320.0,60.0
XCX,18,543.8,100.0
