orden,fecha,lat_grados,lon_grados,magnitud,intensidad
1,1424/05/24,42.8,130.2,3.5,2–4
2,1530/03/26,41.1,129.4,3.5,2–4
3,1532/10/12,41.3,128.0,4.7,5
4,1565/02/01,41.3,128.0,3.5,2–4
5,1565/02/03,41.3,128.0,3.5,2–4
6,1597/10/06,41.3,128.0,5.8,7
7,1597/10/07,41.3,128.0,5.8,8
8,1597/10/08,41.3,128.0,5.8,7
9,1665/02/01,41.6,129.6,4.7,5
10,1674/11/26,41.3,128.0,3.5,2–4
11,1693/10/15,41.0,128.9,5.2,6
12,1810/02/19,42.1,129.7,6.7,8–9
13,1810/02/20,42.1,129.7,3.5,2–4
14,1810/02/21,42.1,129.7,3.5,2–4
15,1810/02/22,42.1,129.7,3.5,2–4
16,1810/02/23,42.1,129.7,3.5,2–4
17,1810/02/24,42.1,129.7,3.5,2–4
18,1810/02/25,42.1,129.7,3.5,2–4
19,1810/02/26,42.1,129.7,3.5,2–4
20,1810/02/27,42.1,129.7,3.5,2–4
21,1810/02/28,42.1,129.7,3.5,2–4
22,1810/03/01,42.1,129.7,3.5,2–4
23,1810/03/02,42.1,129.7,3.5,2–4
24,1810/03/03,42.1,129.7,3.5,2–4
25,1810/03/04,42.1,129.7,3.5,2–4
