evento_id,fecha_hora_utc,lat_grados,lon_grados,profundidad_km,magnitud_ml
9,2013-05-27 15:10:14,41.1638,129.1214,-1.1,1.0
11,2013-05-28 16:29:50,41.2226,129.097,-1.9,0.9
12,2013-05-29 13:53:08,41.2601,129.1935,-1.0,1.5
16,2013-07-19 17:50:09,41.2289,129.0623,-1.9,1.1
18,2013-07-19 20:07:01,41.2229,129.0646,-1.4,1.0
22,2013-09-28 17:08:58,41.3668,129.1777,5.1,0.6
23,2013-09-28 17:10:31,41.3195,129.0633,-1.5,1.1
25,2013-09-28 17:21:48,41.4335,129.0792,-1.8,0.9
26,2013-09-28 17:27:42,41.3747,129.1674,3.0,0.7
28,2013-09-28 19:07:31,41.4601,129.0581,-1.7,0.9
29,2013-09-28 19:15:46,41.4336,129.079,-1.9,1.1
32,2014-05-25 05:16:34,41.4168,129.0229,-1.9,1.2
33,2016-01-10 16:30:16,41.3117,129.0787,-1.5,1.1
34,2016-02-03 04:16:28,41.3515,128.99,3.9,1.1
35,2016-02-11 20:31:49,41.3639,129.0382,-1.6,1.0
36,2016-02-16 18:02:24,41.043,129.1607,-1.0,1.0
37,2016-02-17 01:55:45,41.3336,129.0527,-1.6,1.1
38,2016-02-17 09:19:55,41.1494,129.1039,-0.8,1.1
39,2016-02-17 10:48:45,41.443,129.071,-1.7,1.2
40,2016-02-17 10:50:29,41.3355,129.0468,-1.5,1.0
41,2016-02-17 17:47:04,41.3245,129.0516,-1.8,1.1
42,2016-02-19 00:20:52,41.3133,129.0659,-1.1,1.0
43,2016-02-19 00:28:09,41.3303,129.0536,-1.6,1.6
44,2016-02-19 00:37:24,41.1504,129.1083,1.2,1.4
45,2016-02-19 00:49:25,41.0127,129.1797,-1.1,1.4
46,2016-02-19 02:37:16,41.3207,129.0577,-1.6,1.4
48,2016-07-02 15:40:08,41.3421,129.0934,-1.3,1.4
49,2016-07-02 19:52:29,41.3429,129.0937,-1.3,1.8
50,2016-08-20 06:16:07,41.5902,128.9368,-1.9,1.7
51,2016-08-31 03:17:36,41.4572,129.0576,-1.7,1.7
55,2016-09-19 00:39:10,41.4164,129.011,-1.9,1.7
60,2017-07-02 15:12:08,41.3356,129.1383,-1.2,1.0
62,2017-09-03 12:20:03,41.2496,129.1522,-1.7,1.4
64,2017-09-23 04:42:59,41.3173,129.1204,-1.9,2.3
65,2017-09-23 08:29:16,41.3267,129.1284,-1.9,2.9
67,2017-10-05 18:55:16,41.3491,129.1385,-1.9,1.2
69,2017-10-12 16:41:08,41.3218,129.1193,-1.8,2.6
70,2017-10-14 18:20:22,41.3257,129.1117,-1.9,1.3
73,2017-10-15 21:11:44,41.3779,128.9312,-1.9,1.4
77,2017-10-31 10:20:15,41.3523,129.0587,-1.1,1.5
78,2017-10-31 10:58:26,41.322,129.1551,-1.1,1.3
81,2017-11-12 16:45:20,41.3173,129.1035,-0.8,1.5
82,2017-11-15 17:55:25,41.5037,129.0743,-1.2,1.4
83,2017-11-17 10:32:54,41.1417,129.1033,-1.8,1.4
86,2017-12-01 22:45:57,41.354,129.0226,3.3,2.2
87,2017-12-02 14:06:28,41.3742,129.0145,3.6,1.4
88,2017-12-03 09:16:05,41.3876,128.9697,5.5,1.3
89,2017-12-04 15:29:00,41.369,129.1012,-0.4,1.3
90,2017-12-05 14:40:53,41.3315,129.1208,-1.6,2.4
91,2017-12-05 15:13:01,41.3459,129.1115,-1.8,1.3
92,2017-12-05 19:55:54,41.3446,129.0227,1.9,2.0
93,2017-12-05 23:30:11,41.2648,129.0775,2.1,1.9
94,2017-12-06 07:53:07,41.3592,129.1054,-1.3,1.4
95,2017-12-06 14:51:58,41.335,129.1112,-1.7,1.2
97,2017-12-06 16:20:07,41.3433,129.0257,1.8,1.7
99,2017-12-09 06:08:43,41.346,129.0239,2.9,1.9
100,2017-12-09 06:09:36,41.4136,129.0687,-1.3,1.6
101,2017-12-09 06:13:34,41.3478,129.0262,2.7,2.7
102,2017-12-09 06:40:03,41.3483,129.0248,2.9,2.4
104,2017-12-09 07:39:02,41.3056,129.1299,-1.9,1.7
105,2017-12-09 12:08:27,41.3734,129.0907,-1.5,1.4
107,2017-12-11 15:15:37,41.4292,128.9851,4.3,1.5
108,2017-12-11 15:16:53,41.381,129.0121,5.0,1.7
109,2017-12-15 14:31:53,41.4209,129.0741,-1.3,1.5
110,2017-12-24 19:49:50,41.5128,129.0237,1.5,1.3
111,2018-01-08 16:33:21,41.3414,128.992,3.5,1.4
112,2018-01-17 04:00:23,41.3208,129.0561,-1.6,1.5
115,2018-01-27 05:36:44,41.4153,129.0801,-1.7,1.6
116,2018-02-04 20:10:08,41.3859,129.021,-1.9,1.3
119,2018-02-04 23:18:19,41.3784,129.0202,-1.3,1.6
120,2018-02-04 23:30:25,41.5305,128.8631,-1.8,1.4
121,2018-02-04 23:33:08,41.3104,129.0572,-1.0,1.6
122,2018-02-05 00:08:57,41.3767,129.0208,-1.2,1.5
123,2018-02-05 00:33:23,41.3734,129.0258,-1.2,1.4
124,2018-02-05 01:04:50,41.3104,129.0583,-1.0,1.4
125,2018-02-05 02:56:26,41.3328,128.9956,5.1,1.4
127,2018-02-05 10:32:33,41.3388,129.0444,-1.6,2.0
128,2018-02-05 16:29:08,41.1586,129.0943,1.2,1.2
129,2018-02-05 16:35:25,41.3759,129.0228,-1.2,1.4
130,2018-02-05 19:38:57,41.3441,129.0399,-1.4,1.5
131,2018-02-05 20:05:46,41.1227,129.15,-1.0,1.4
132,2018-02-05 20:07:32,41.3376,128.9905,4.7,1.8
133,2018-02-05 21:57:38,41.3633,129.031,-1.2,1.8
134,2018-02-06 03:53:39,41.3059,129.0642,-0.8,1.4
135,2018-02-06 04:49:38,41.318,129.058,-1.2,1.6
136,2018-02-06 05:47:43,41.3021,129.0682,-0.7,1.5
137,2018-02-06 10:12:33,41.3398,129.0443,-1.6,1.6
138,2018-02-06 10:53:55,41.3383,129.045,-1.6,2.3
139,2018-02-06 11:59:22,41.4381,128.9864,-1.9,1.0
140,2018-02-06 21:27:19,41.3008,129.0759,2.8,1.3
141,2018-02-06 22:32:05,41.3296,129.0525,-1.4,1.1
142,2018-02-07 03:56:32,41.3138,128.9858,3.9,1.2
143,2018-02-07 21:46:02,41.2902,129.0729,-1.5,2.5
144,2018-02-07 22:18:12,41.048,129.1598,-1.0,1.2
145,2018-02-07 22:39:38,41.2882,129.0719,-1.4,1.2
146,2018-02-08 01:00:23,41.3292,129.0505,-1.4,1.5
147,2018-02-08 13:45:20,41.2658,129.082,-1.0,0.9
148,2018-02-08 17:39:18,41.2861,129.0719,-1.6,1.9
149,2018-02-09 00:49:36,41.277,129.0753,-1.4,1.4
150,2018-02-09 23:44:25,41.3393,129.0434,-1.7,1.2
151,2018-02-10 00:02:48,41.3279,129.0483,-1.2,1.2
152,2018-02-22 23:34:14,41.3728,129.0336,-1.1,1.1
153,2018-02-23 00:32:06,41.384,129.03,-0.9,1.0
154,2018-03-03 18:24:20,41.3302,129.0498,-1.3,1.0
155,2018-03-07 22:02:27,41.3243,129.0639,-0.7,1.0
156,2018-04-24 16:24:58,41.3299,129.0546,-1.4,0.7
157,2018-05-12 19:34:02,41.3942,129.0029,-1.4,1.0
158,2018-06-03 11:51:05,41.4216,129.0568,-1.5,1.1
159,2018-06-10 15:53:06,41.4152,129.058,-1.5,1.3
161,2018-09-05 06:06:26,41.4801,129.1352,-1.6,1.4
163,2018-11-01 15:08:37,41.4384,129.162,4.8,1.0
