region,cuenca,transecto,tipo_codigo,tipo,biomasa_aerea_mg_ha,carbono_mgc_ha,edad_secundario_anios,anios_desde_perturbacion
Santarem,103,103_1,AP,otros_usos_agricolas,193.65,96.825,16.1111,30.9943
Santarem,103,103_2,SFinter,secundario_intermedio,35.29,17.645,3.44444,15.6376
Santarem,103,103_3,SFold,secundario_viejo,135.84,67.92,0,144.34
Santarem,103,103_4,PA,pasto,0,0,0,39.1429
Santarem,103,103_5,SFinter,secundario_intermedio,43.41,21.705,0,39.9494
Santarem,103,103_7,AP,otros_usos_agricolas,295.5,147.75,0,217.314
Santarem,103,103_8,SFold,secundario_viejo,192.1,96.05,0,100.571
Santarem,103,103_9,SFinter,secundario_intermedio,0,0,0,42.5527
Santarem,112,112_1,MA,agricultura_mecanizada,0,0,0,29.6522
Santarem,112,112_11,MA,agricultura_mecanizada,0,0,0,0.148571
Santarem,112,112_12,PFlog,primario_talado,198.85,99.425,0,264.559
Santarem,112,112_2,FRU,otros_usos_agricolas,2.24,1.12,0,27.9282
Santarem,112,112_3,SFold,secundario_viejo,85.46,42.73,3.22222,86.8449
Santarem,112,112_4,SFyoung,secundario_joven,0.2,0.1,0,2.09633
Santarem,112,112_5,PA,pasto,0,0,0,36.0212
Santarem,112,112_6,SFold,secundario_viejo,204.74,102.37,1.33333,100.411
Santarem,112,112_7,PA,pasto,0,0,0,1.07429
Santarem,112,112_8,PFlog,primario_talado,216.37,108.185,0,219.25
Santarem,112,112_9,FRU,otros_usos_agricolas,0.22,0.11,0,0.498776
Santarem,125,125_10,PFbur,primario_quemado,349.17,174.585,0,212.526
Santarem,125,125_12,MA,agricultura_mecanizada,0,0,0,15.138
Santarem,125,125_2,MA,agricultura_mecanizada,0,0,0,0.0212245
Santarem,125,125_3,PA,pasto,0,0,0,9.66857
Santarem,125,125_5,SFinter,secundario_intermedio,43.17,21.585,0.333333,7.73388
Santarem,125,125_6,SFold,secundario_viejo,47.34,23.67,5.88889,34.1453
Santarem,125,125_8,MA,agricultura_mecanizada,0,0,0,20.3412
Santarem,125,125_9,PFlog,primario_talado,152.86,76.43,0,242.22
Santarem,129,129_10,PFlogbur,primario_talado_y_quemado,75.01,37.505,0,103.096
Santarem,129,129_11,SFold,secundario_viejo,82.84,41.42,21.3333,72.4743
Santarem,129,129_12,MA,agricultura_mecanizada,0,0,0,7.94122
Santarem,129,129_2,PFlogbur,primario_talado_y_quemado,116.35,58.175,0,65.3339
Santarem,129,129_3,PFlogbur,primario_talado_y_quemado,76.53,38.265,0,94.698
Santarem,129,129_5,PFlogbur,primario_talado_y_quemado,114.02,57.01,0,126.815
Santarem,129,129_6,PA,pasto,0,0,0,16.0865
Santarem,129,129_7,PA,pasto,0,0,0,53.618
Santarem,129,129_8,PA,pasto,0,0,0,80.8155
Santarem,129,129_9,MA,agricultura_mecanizada,0,0,0,23.5967
Santarem,157,157_1,SFold,secundario_viejo,259.27,129.635,0,232.518
Santarem,157,157_11,SHA,otros_usos_agricolas,0,0,0,21.0629
Santarem,157,157_2,PFlogbur,primario_talado_y_quemado,115.07,57.535,0,140.749
Santarem,157,157_3,PFlogbur,primario_talado_y_quemado,238.8,119.4,0,233.59
Santarem,157,157_4,PFlog,primario_talado,424.12,212.06,0,300
Santarem,157,157_5,PFlog,primario_talado,241.37,120.685,0,300
Santarem,157,157_6,PFlog,primario_talado,340.05,170.025,0,254.594
Santarem,157,157_7,PA,pasto,0.15,0.075,0,24.4441
Santarem,157,157_8,SFold,secundario_viejo,162.64,81.32,0,246.771
Santarem,160,160_10,PFlog,primario_talado,284.47,142.235,0,300
Santarem,160,160_11,SFold,secundario_viejo,56.47,28.235,2.11111,19.231
Santarem,160,160_12,MA,agricultura_mecanizada,0,0,0,0.761633
Santarem,160,160_5,SFold,secundario_viejo,92.52,46.26,10,121.378
Santarem,160,160_8,SFold,secundario_viejo,166.71,83.355,0,203.282
Santarem,160,160_9,PFlogbur,primario_talado_y_quemado,289.7,144.85,0,148.38
Santarem,165,165_1,PFlogbur,primario_talado_y_quemado,106.95,53.475,0,267.218
Santarem,165,165_2,PFbur,primario_quemado,228.88,114.44,0.555556,279.646
Santarem,165,165_3,PFbur,primario_quemado,169.3,84.65,0,299.086
Santarem,165,165_4,PFlogbur,primario_talado_y_quemado,398.6,199.3,0,287.001
Santarem,165,165_5,PFlogbur,primario_talado_y_quemado,514.89,257.445,0,286.176
