estado,pais,ibd_medio_cm,grupo_ancestria
Tennessee,United States,0.174648462565397,All
Alabama,United States,0.173630572667571,All
Arkansas,United States,0.166895613212931,All
Kentucky,United States,0.162477961916867,All
North Carolina,United States,0.155959436667015,All
Georgia,United States,0.155396421715941,All
Mississippi,United States,0.148897223836922,All
Oklahoma,United States,0.147939573392155,All
Virginia,United States,0.143056929222172,All
Florida,United States,0.141537019949123,All
Texas,United States,0.14128031520495,All
Missouri,United States,0.133338997715966,All
South Carolina,United States,0.127799909028208,All
West Virginia,United States,0.126231357853019,All
Louisiana,United States,0.105764076282388,All
Conwy,United Kingdom,0.104043729258396,All
Oregon,United States,0.102691632030833,All
Mid and East Antrim,United Kingdom,0.102504834528433,All
New Mexico,United States,0.102346145328395,All
Indiana,United States,0.102116004565758,All
Gwynedd,United Kingdom,0.101223656390691,All
Anglesey,United Kingdom,0.100696716732594,All
Colorado,United States,0.0963683967922668,All
Kansas,United States,0.0937906568970284,All
Ceredigion,United Kingdom,0.0915480663482573,All
Chubut,Argentina,0.0877793580372472,All
East Dunbartonshire,United Kingdom,0.0873852863076796,All
Powys,United Kingdom,0.0872015013614448,All
North Down and Ards,United Kingdom,0.0871465560049106,All
Illinois,United States,0.087131119648626,All
Herefordshire,United Kingdom,0.0870123913718053,All
Marlborough,New Zealand,0.0869991081087078,All
Wyoming,United States,0.0857770683188218,All
South Ayrshire,United Kingdom,0.0852060868138982,All
Idaho,United States,0.084308583035904,All
Washington,United States,0.0828824080624979,All
Causeway Coast and Glens,United Kingdom,0.0822152039975288,All
Dumfries and Galloway,United Kingdom,0.0819428491924818,All
Lisburn and Castlereagh,United Kingdom,0.081788150560323,All
Carmarthenshire,United Kingdom,0.0814377105298683,All
Nevada,United States,0.0802965711794209,All
Waikato,New Zealand,0.0799386934842939,All
Edinburgh,United Kingdom,0.0786342723503667,All
California,United States,0.077808108950828,All
Montana,United States,0.0767477112812478,All
Highland,United Kingdom,0.0766706207640066,All
Arizona,United States,0.0759188455528094,All
Ohio,United States,0.0754622507785986,All
Northland,New Zealand,0.0751037658519225,All
Darlington,United Kingdom,0.07448700453565,All
Fermanagh and Omagh,United Kingdom,0.0743745938158025,All
Auckland,New Zealand,0.0737965842357991,All
East Ayrshire,United Kingdom,0.0733206522093703,All
Wrexham,United Kingdom,0.0732743435624299,All
Scottish Borders,United Kingdom,0.0727875631416176,All
Maryland,United States,0.0723661940539253,All
South Lanarkshire,United Kingdom,0.0718292872089841,All
Antrim and Newtownabbey,United Kingdom,0.0718251090222057,All
"Armagh, Banbridge and Craigavon",United Kingdom,0.0706987681660001,All
Stirling,United Kingdom,0.0706719298701183,All
Denbighshire,United Kingdom,0.0705167424121611,All
Alberta,Canada,0.0704156222674122,All
Prince Edward Island,Canada,0.0700008098379198,All
Shropshire,United Kingdom,0.0696155732684269,All
Flintshire,United Kingdom,0.0695047009492549,All
Derry and Strabane,United Kingdom,0.0694463535965358,All
New Brunswick,Canada,0.0686324023868053,All
Perthshire and Kinross,United Kingdom,0.0684107650357001,All
Australian Capital Territory,Australia,0.0682130769232874,All
Delaware,United States,0.0679201259398052,All
Tasman,New Zealand,0.0678409884927693,All
Mid Ulster,United Kingdom,0.0678000681357695,All
Cardiff,United Kingdom,0.0675913107015846,All
East Lothian,United Kingdom,0.0675178678203278,All
Hawke's Bay,New Zealand,0.0673287204978223,All
North Ayrshire,United Kingdom,0.0671326268450785,All
Nebraska,United States,0.0670560482743329,All
